# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.64
metadata : {}


# id : NWRW1800000036.64.1.1
삼성전자, 중국서 또 ‘아동노동’ 논란

삼성전자,	삼성전자/NNP+,/SP
중국서	중국/NNP+서/JKB
또	또/MAG
‘아동노동’	‘/SS+아동/NNG+노동/NNG+’/SS
논란	논란/NNG


# id : NWRW1800000036.64.2.1
[한겨레] 미 비영리기구 “16살 미만 3명 확인”

[한겨레]	[/SS+한겨레/NNP+]/SS
미	미/NNP
비영리기구	비/XPN+영리/NNG+기구/NNG
“16살	“/SS+16/SN+살/NNB
미만	미만/NNG
3명	3/SN+명/NNB
확인”	확인/NNG+”/SS


# id : NWRW1800000036.64.3.1
‘삼성쪽 자체조사 결과’에 의문 제기

‘삼성쪽	‘/SS+삼성/NNP+쪽/NNB
자체조사	자체/NNG+조사/NNG
결과’에	결과/NNG+’/SS+에/JKB
의문	의문/NNG
제기	제기/NNG


# id : NWRW1800000036.64.4.1
삼성 “3명 다 18살 이상” 전면부인

삼성	삼성/NNP
“3명	“/SS+3/SN+명/NNB
다	다/MAG
18살	18/SN+살/NNB
이상”	이상/NNG+”/SS
전면부인	전면/NNG+부인/NNG


# id : NWRW1800000036.64.5.1
삼성전자의 중국 협력업체 공장에서 또다시 ‘어린이 노동’이 발견됐다는 폭로가 나왔다.

삼성전자의	삼성전자/NNP+의/JKG
중국	중국/NNP
협력업체	협력/NNG+업체/NNG
공장에서	공장/NNG+에서/JKB
또다시	또다시/MAG
‘어린이	‘/SS+어린이/NNG
노동’이	노동/NNG+’/SS+이/JKS
발견됐다는	발견/NNG+되/XSV+었/EP+다는/ETM
폭로가	폭로/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.64.5.2
한국 내 삼성전자 협력사의 중국법인인 해당 업체는 최근 삼성전자의 아동노동 관련 조사를 받은 곳이라 조사의 효과에 대한 의문도 제기됐다.

한국	한국/NNP
내	내/NNB
삼성전자	삼성전자/NNP
협력사의	협력사/NNG+의/JKG
중국법인인	중국/NNP+법인/NNG+이/VCP+ㄴ/ETM
해당	해당/NNG
업체는	업체/NNG+는/JX
최근	최근/MAG
삼성전자의	삼성전자/NNP+의/JKG
아동노동	아동/NNG+노동/NNG
관련	관련/NNG
조사를	조사/NNG+를/JKO
받은	받/VV+은/ETM
곳이라	곳/NNG+이/VCP+라/EC
조사의	조사/NNG+의/JKG
효과에	효과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의문도	의문/NNG+도/JX
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.64.5.3
삼성전자는 미국의 비영리기구인 중국노동감시(CLW)의 이런 주장을 전면 부인했다.

삼성전자는	삼성전자/NNP+는/JX
미국의	미국/NNP+의/JKG
비영리기구인	비/XPN+영리/NNG+기구/NNG+이/VCP+ㄴ/ETM
중국노동감시(CLW)의	중국노동감시/NNP+(/SS+CLW/SL+)/SS+의/JKG
이런	이런/MMD
주장을	주장/NNG+을/JKO
전면	전면/NNG
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.64.6.1
