# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.202
metadata : {}


# id : NWRW1800000033.202.1.1
“우린 소주 원샷 때리는 사이” 싸이 김장훈 전격 화해했다

“우린	“/SS+우리/NP+ㄴ/JX
소주	소주/NNG
원샷	원샷/NNG
때리는	때리/VV+는/ETM
사이”	사이/NNG+”/SS
싸이	싸이/NNP
김장훈	김장훈/NNP
전격	전격/NNG
화해했다	화해/NNG+하/XSV+았/EP+다/EF


# id : NWRW1800000033.202.2.1
金, 싸이 행사장 예고없이 찾아 ‘낙원’ 합창한 뒤 러브샷

金,	金/SH+,/SP
싸이	싸이/NNP
행사장	행사장/NNG
예고없이	예고/NNG+없이/MAG
찾아	찾/VV+아/EC
‘낙원’	‘/SS+낙원/NNG+’/SS
합창한	합창/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
러브샷	러브샷/NNG


# id : NWRW1800000033.202.3.1
최근 공연 표절 문제를 두고 불화를 빚어오던 가수 싸이(본명 박재상·35)와 김장훈(44)이 극적으로 화해했다.

최근	최근/MAG
공연	공연/NNG
표절	표절/NNG
문제를	문제/NNG+를/JKO
두고	두/VV+고/EC
불화를	불화/NNG+를/JKO
빚어오던	빚/VV+어/EC+오/VX+던/ETM
가수	가수/NNG
싸이(본명	싸이/NNP+(/SS+본명/NNG
박재상·35)와	박재상/NNP+·/SP+35/SN+)/SS+와/JC
김장훈(44)이	김장훈/NNP+(/SS+44/SN+)/SS+이/JKS
극적으로	극/NNG+적/XSN+으로/JKB
화해했다.	화해/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.202.3.2
김장훈은 10일 오후 10시 10분경 서울 장충동 신라호텔의 메르세데스 벤츠 홍보 행사장 무대에서 노래를 부르던 싸이를 예고 없이 찾았다.

김장훈은	김장훈/NNP+은/JX
10일	10/SN+일/NNB
오후	오후/NNG
10시	10/SN+시/NNB
10분경	10/SN+분/NNB+경/XSN
서울	서울/NNP
장충동	장충동/NNP
신라호텔의	신라호텔/NNP+의/JKG
메르세데스	메르세데스/NNP
벤츠	벤츠/NNP
홍보	홍보/NNG
행사장	행사장/NNG
무대에서	무대/NNG+에서/JKB
노래를	노래/NNG+를/JKO
부르던	부르/VV+던/ETM
싸이를	싸이/NNP+를/JKO
예고	예고/NNG
없이	없이/MAG
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.202.4.1
싸이는 놀랐지만 두 사람은 곧 어깨동무를 한 채 싸이의 ‘낙원’을 합창했다.

싸이는	싸이/NNP+는/JX
놀랐지만	놀라/VV+았/EP+지만/EC
두	두/MMN
사람은	사람/NNG+은/JX
곧	곧/MAG
어깨동무를	어깨동무/NNG+를/JKO
한	하/VV+ㄴ/ETM
채	채/NNB
싸이의	싸이/NNP+의/JKG
‘낙원’을	‘/SS+낙원/NNG+’/SS+을/JKO
합창했다.	합창/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.202.4.2
노래를 마친 후 김장훈은 “제 속이 좁은 탓에 국제적으로 커가는 싸이의 앞길을 막는 것 같아 가슴이 아팠다.

노래를	노래/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
후	후/NNG
김장훈은	김장훈/NNP+은/JX
“제	“/SS+저/NP+의/JKG
속이	속/NNG+이/JKS
좁은	좁/VA+은/ETM
탓에	탓/NNG+에/JKB
국제적으로	국제/NNG+적/XSN+으로/JKB
커가는	크/VV+어/EC+가/VX+는/ETM
싸이의	싸이/NNP+의/JKG
앞길을	앞길/NNG+을/JKO
막는	막/VV+는/ETM
것	것/NNB
같아	같/VA+아/EC
가슴이	가슴/NNG+이/JKS
아팠다.	아프/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.202.4.3
(싸이를) 볼 낯이 없어 이렇게 공연장에 불쑥 찾아올 수밖에 없었다”고 밝혔다.

(싸이를)	(/SS+싸이/NNP+를/JKO+)/SS
볼	보/VV+ㄹ/ETM
낯이	낯/NNG+이/JKS
없어	없/VA+어/EC
이렇게	이렇/VA+게/EC
공연장에	공연장/NNG+에/JKB
불쑥	불쑥/MAG
찾아올	찾아오/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.202.4.4
또 “세계 최고의 가수와 화해를 하는 자리”라며 “속 좁은 나를 용서해주길 바란다”고 말했다.

또	또/MAG
“세계	“/SS+세계/NNG
최고의	최고/NNG+의/JKG
가수와	가수/NNG+와/JKB
화해를	화해/NNG+를/JKO
하는	하/VV+는/ETM
자리”라며	자리/NNG+”/SS+이/VCP+라며/EC
“속	“/SS+속/NNG
좁은	좁/VA+은/ETM
나를	나/NP+를/JKO
용서해주길	용서/NNG+하/XSV+아/EC+주/VX+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.202.5.1
이어 김장훈은 준비해둔 각각 다른 레이블의 소주 두 병을 꺼내 싸이와 나눠 들고 러브샷을 권했다.

이어	이어/MAG
김장훈은	김장훈/NNP+은/JX
준비해둔	준비/NNG+하/XSV+아/EC+두/VX+ㄴ/ETM
각각	각각/MAG
다른	다르/VA+ㄴ/ETM
레이블의	레이블/NNG+의/JKG
소주	소주/NNG
두	두/MMN
병을	병/NNG+을/JKO
꺼내	꺼내/VV+어/EC
싸이와	싸이/NNP+와/JKB
나눠	나누/VV+어/EC
들고	들/VV+고/EC
러브샷을	러브샷/NNG+을/JKO
