# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.353
metadata : {}


# id : NWRW1800000049.353.1.1
“집 잘 지어놨으니 산에서 내려오면 들러 달라”

“집	“/SS+집/NNG
잘	잘/MAG
지어놨으니	짓/VV+어/EC+놓/VX+았/EP+으니/EC
산에서	산/NNG+에서/JKB
내려오면	내려오/VV+면/EC
들러	들르/VV+어/EC
달라”	달/VX+라/EF+”/SS


# id : NWRW1800000049.353.2.1
국민의당, 손학규에 합류 요청 안철수, 박형규 목사 빈소 찾아 회동 “저녁이 있는 삶 얘기 나누고 싶다”

국민의당,	국민의당/NNP+,/SP
손학규에	손학규/NNP+에/JKB
합류	합류/NNG
요청	요청/NNG
안철수,	안철수/NNP+,/SP
박형규	박형규/NNP
목사	목사/NNG
빈소	빈소/NNG
찾아	찾/VV+아/EC
회동	회동/NNG
“저녁이	“/SS+저녁/NNG+이/JKS
있는	있/VA+는/ETM
삶	삶/NNG
얘기	얘기/NNG
나누고	나누/VV+고/EC
싶다”	싶/VX+다/EF+”/SS


# id : NWRW1800000049.353.3.1
국민의당 안철수 전 상임공동대표가 21일 더불어민주당 손학규 전 상임고문을 만나 러브 콜을 보냈다.

국민의당	국민의당/NNP
안철수	안철수/NNP
전	전/MMD
상임공동대표가	상임/NNG+공동/NNG+대표/NNG+가/JKS
21일	21/SN+일/NNB
더불어민주당	더불어민주당/NNP
손학규	손학규/NNP
상임고문을	상임/NNG+고문/NNG+을/JKO
만나	만나/VV+아/EC
러브	러브/NNG
콜을	콜/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.353.3.2
다음 달 정계 복귀 선언을 할 것으로 보이는 손 전 고문 영입에 공을 들인 것이다.

다음	다음/NNG
달	달/NNG
정계	정계/NNG
복귀	복귀/NNG
선언을	선언/NNG+을/JKO
할	하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보이는	보이/VV+는/ETM
손	손/NNP
전	전/MMD
고문	고문/NNG
영입에	영입/NNG+에/JKB
공을	공/NNG+을/JKO
들인	들이/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.353.4.1
안 전 대표는 이날 서울대병원 장례식장에 마련된 박형규 목사 빈소를 찾아 상주 역할을 자청한 손 전 고문과 15분가량 면담했다.

안	안/NNP
전	전/MMD
대표는	대표/NNG+는/JX
이날	이날/NNG
서울대병원	서울대병원/NNP
장례식장에	장례식장/NNG+에/JKB
마련된	마련/NNG+되/XSV+ㄴ/ETM
박형규	박형규/NNP
목사	목사/NNG
빈소를	빈소/NNG+를/JKO
찾아	찾/VV+아/EC
상주	상주/NNG
역할을	역할/NNG+을/JKO
자청한	자청/NNG+하/XSV+ㄴ/ETM
손	손/NNP
고문과	고문/NNG+과/JKB
15분가량	15/SN+분/NNB+가량/XSN
면담했다.	면담/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.353.4.2
이 자리에서 안 전 대표는 손 전 고문에게 “요즘은 예전에 하셨던 말씀대로 ‘저녁이 있는 삶’이 정말 필요한 때”라며 “언제 한번 편한 시간이 있으시면 저녁이 있는 삶과 격차 해소 문제에 대해 깊은 말씀을 나누고 싶다”고 제안했다.

이	이/MMD
자리에서	자리/NNG+에서/JKB
안	안/NNP
전	전/MMD
대표는	대표/NNG+는/JX
손	손/NNP
고문에게	고문/NNG+에게/JKB
“요즘은	“/SS+요즘/NNG+은/JX
예전에	예전/NNG+에/JKB
하셨던	하/VV+시/EP+었/EP+던/ETM
