# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.385
metadata : {}


# id : NWRW1800000026.385.1.1
[강원] '김치'를 매개로 한 韓日 드라마 제작

[강원]	[/SS+강원/NNP+]/SS
'김치'를	'/SS+김치/NNG+'/SS+를/JKO
매개로	매개/NNG+로/JKB
한	하/VV+ㄴ/ETM
韓日	韓日/SH
드라마	드라마/NNG
제작	제작/NNG


# id : NWRW1800000026.385.2.1
춘천시 직원과 일본의 자매도시 직원간 사랑 이야기를 다룬 드라마가 일본에서 방영될 예정이다.

춘천시	춘천시/NNP
직원과	직원/NNG+과/JC
일본의	일본/NNP+의/JKG
자매도시	자매/NNG+도시/NNG
직원간	직원/NNG+간/NNB
사랑	사랑/NNG
이야기를	이야기/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
드라마가	드라마/NNG+가/JKS
일본에서	일본/NNP+에서/JKB
방영될	방영/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.385.3.1
춘천시에 따르면 일본 기후현 NHK방송국은 개국 70주년 특집으로 춘천시와 자매도시인 가카미가하라시 직원을 주인공으로 다룬 드라마를 제작, 내년 초 방영한다.

춘천시에	춘천시/NNP+에/JKB
따르면	따르/VV+면/EC
일본	일본/NNP
기후현	기후현/NNP
NHK방송국은	NHK/SL+방송국/NNG+은/JX
개국	개국/NNG
70주년	70/SN+주년/NNB
특집으로	특집/NNG+으로/JKB
춘천시와	춘천시/NNP+와/JC
자매도시인	자매/NNG+도시/NNG+이/VCP+ㄴ/ETM
가카미가하라시	가카미가하라시/NNP
직원을	직원/NNG+을/JKO
주인공으로	주인공/NNG+으로/JKB
다룬	다루/VV+ㄴ/ETM
드라마를	드라마/NNG+를/JKO
제작,	제작/NNG+,/SP
내년	내년/NNG
초	초/NNB
방영한다.	방영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.385.4.1
드라마 제목은 '사랑하는 김치'.

드라마	드라마/NNG
제목은	제목/NNG+은/JX
'사랑하는	'/SS+사랑/NNG+하/XSV+는/ETM
김치'.	김치/NNG+'/SS+./SF


# id : NWRW1800000026.385.4.2
가카미가하라시에 교환근무를 간 춘천시 남자 직원과 가카미가하라시 관광과에서 일하는 여직원이 김치를 매개로 사랑에 빠진다는 내용.

가카미가하라시에	가카미가하라시/NNP+에/JKB
교환근무를	교환/NNG+근무/NNG+를/JKO
간	가/VV+ㄴ/ETM
춘천시	춘천시/NNP
남자	남자/NNG
직원과	직원/NNG+과/JC
가카미가하라시	가카미가하라시/NNP
관광과에서	관광과/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
여직원이	여직원/NNG+이/JKS
김치를	김치/NNG+를/JKO
매개로	매개/NNG+로/JKB
사랑에	사랑/NNG+에/JKB
빠진다는	빠지/VV+ㄴ다는/ETM
내용.	내용/NNG+./SF


# id : NWRW1800000026.385.4.3
새로운 특산물 개발에 나선 여직원이 춘천시 직원으로부터 자극을 받아 '가카미가하라 김치'를 만들며 사랑을 엮어간다는 줄거리다.

새로운	새롭/VA+ㄴ/ETM
특산물	특산물/NNG
개발에	개발/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
여직원이	여직원/NNG+이/JKS
춘천시	춘천시/NNP
직원으로부터	직원/NNG+으로부터/JKB
자극을	자극/NNG+을/JKO
받아	받/VV+아/EC
'가카미가하라	'/SS+가카미가하라/NNP
김치'를	김치/NNG+'/SS+를/JKO
만들며	만들/VV+며/EC
사랑을	사랑/NNG+을/JKO
엮어간다는	엮/VV+어/EC+가/VX+ㄴ다는/ETM
줄거리다.	줄거리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.385.5.1
남자 주인공은 한류 스타인 아이돌 그룹 '초신성'의 리더 윤학, 여주인공은 일본의 여배우 간지야 시호리가 캐스팅됐다.

남자	남자/NNG
주인공은	주인공/NNG+은/JX
한류	한류/NNG
스타인	스타/NNG+이/VCP+ㄴ/ETM
아이돌	아이돌/NNG
