# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.385
metadata : {}


# id : NWRW1800000030.385.1.1
[수도권Ⅱ] 고양시, 아파트형 공장 허가신청 반려 행정심판서 '패소'

[수도권Ⅱ]	[/SS+수도/NNG+권/XSN+Ⅱ/SL+]/SS
고양시,	고양시/NNP+,/SP
아파트형	아파트/NNG+형/XSN
공장	공장/NNG
허가신청	허가/NNG+신청/NNG
반려	반려/NNG
행정심판서	행정/NNG+심판/NNG+서/JKB
'패소'	'/SS+패소/NNG+'/SS


# id : NWRW1800000030.385.2.1
고양시 덕양구 행신동 서정초등학교 인근 아파트형 공장과 관련해 열린 행정심판에서 당초 업체들의 건축허가 신청을 반려했던 시가 패소함에 따라 이 지역 공장 건축에 대한 논란이 다시 달아오르고 있다.

고양시	고양시/NNP
덕양구	덕양구/NNP
행신동	행신동/NNP
서정초등학교	서정초등학교/NNP
인근	인근/NNG
아파트형	아파트/NNG+형/XSN
공장과	공장/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
열린	열리/VV+ㄴ/ETM
행정심판에서	행정/NNG+심판/NNG+에서/JKB
당초	당초/NNG
업체들의	업체/NNG+들/XSN+의/JKG
건축허가	건축/NNG+허가/NNG
신청을	신청/NNG+을/JKO
반려했던	반려/NNG+하/XSV+았/EP+던/ETM
시가	시/NNG+가/JKS
패소함에	패소/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
이	이/MMD
지역	지역/NNG
공장	공장/NNG
건축에	건축/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
논란이	논란/NNG+이/JKS
다시	다시/MAG
달아오르고	달아오르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.385.3.1
18일 경기도 행정심판위원회에 따르면 위원회측은 L업체 등 4개사가 지난 1월 '시의 건축허가 신청 반려는 부당하다'며 청구한 행정심판에 대해 서면심리를 열고 14일 청구인 승소 판결을 내렸다.

18일	18/SN+일/NNB
경기도	경기도/NNP
행정심판위원회에	행정/NNG+심판/NNG+위원회/NNG+에/JKB
따르면	따르/VV+면/EC
위원회측은	위원회/NNG+측/NNB+은/JX
L업체	L/SL+업체/NNG
등	등/NNB
4개사가	4/SN+개사/NNB+가/JKS
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
'시의	'/SS+시/NNG+의/JKG
건축허가	건축/NNG+허가/NNG
신청	신청/NNG
반려는	반려/NNG+는/JX
부당하다'며	부당/NNG+하/XSA+다/EF+'/SS+며/EC
청구한	청구/NNG+하/XSV+ㄴ/ETM
행정심판에	행정/NNG+심판/NNG+에/JKB
대해	대하/VV+아/EC
서면심리를	서면/NNG+심리/NNG+를/JKO
열고	열/VV+고/EC
14일	14/SN+일/NNB
청구인	청구/NNG+이/VCP+ㄴ/ETM
승소	승소/NNG
판결을	판결/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.385.3.2
앞서 지난해 9∼10월 시는 고양교육청의 '협의 부동의'를 이유로 의료기기 제조업체 L사 등이 덕양구 행신2지구 도시지원시설용지(5600㎡)에 대해 제출한 아파트형 공장 건축허가 신청서를 반려했다.

앞서	앞서/MAG
지난해	지난해/NNG
9∼10월	9/SN+∼/SO+10/SN+월/NNB
시는	시/NNG+는/JX
고양교육청의	고양교육청/NNP+의/JKG
'협의	'/SS+협의/NNG
부동의'를	부/XPN+동의/NNG+'/SS+를/JKO
이유로	이유/NNG+로/JKB
의료기기	의료/NNG+기기/NNG
제조업체	제조업체/NNG
L사	L/SL+사/NNG
등이	등/NNB+이/JKS
덕양구	덕양구/NNP
행신2지구	행신2지구/NNP
도시지원시설용지(5600㎡)에	도시/NNG+지원/NNG+시설/NNG+용지/NNG+(/SS+5600/SN+㎡/SW+)/SS+에/JKB
대해	대하/VV+아/EC
제출한	제출/NNG+하/XSV+ㄴ/ETM
아파트형	아파트/NNG+형/XSN
공장	공장/NNG
건축허가	건축/NNG+허가/NNG
신청서를	신청서/NNG+를/JKO
반려했다.	반려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.385.3.3
고양교육청은 공장 부지 인근에 있는 서정초등학교가 공사 중 발생하는 소음·악취·분진 등으로 피해를 입을 수 있고, 조망권·일조권 등 학습권 침해를 받는다며 시에 부동의 의견을 제출했었다.

고양교육청은	고양교육청/NNP+은/JX
공장	공장/NNG
부지	부지/NNG
인근에	인근/NNG+에/JKB
있는	있/VA+는/ETM
서정초등학교가	서정초등학교/NNP+가/JKS
공사	공사/NNG
중	중/NNB
발생하는	발생/NNG+하/XSV+는/ETM
소음·악취·분진	소음/NNG+·/SP+악취/NNG+·/SP+분진/NNG
등으로	등/NNB+으로/JKB
피해를	피해/NNG+를/JKO
입을	입/VV+을/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
조망권·일조권	조망/NNG+권/XSN+·/SP+일조/NNG+권/XSN
등	등/NNB
학습권	학습/NNG+권/XSN
침해를	침해/NNG+를/JKO
받는다며	받/VV+는다며/EC
시에	시/NNG+에/JKB
부동의	부/XPN+동의/NNG
의견을	의견/NNG+을/JKO
제출했었다.	제출/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000030.385.4.1
경기도 행정심판위측은 18일 "(아파트형 공장이) 학교보건법상 200m 이내 금지시설에 해당하지 않고, 일조권 침해 등도 관련이 없다고 판단해 이 같은 결정을 내렸다"며 "재결서가 작성돼 양측에 송달되면 효력이 발생한다"고 밝혔다.

경기도	경기도/NNP
행정심판위측은	행정/NNG+심판위/NNG+측/NNB+은/JX
18일	18/SN+일/NNB
"(아파트형	"/SS+(/SS+아파트/NNG+형/XSN
공장이)	공장/NNG+이/JKS+)/SS
학교보건법상	학교/NNG+보건법/NNG+상/XSN
200m	200/SN+m/SW
이내	이내/MAG
금지시설에	금지/NNG+시설/NNG+에/JKB
해당하지	해당/NNG+하/XSV+지/EC
않고,	않/VX+고/EC+,/SP
일조권	일조/NNG+권/XSN
침해	침해/NNG
등도	등/NNB+도/JX
관련이	관련/NNG+이/JKS
없다고	없/VA+다고/EC
판단해	판단/NNG+하/XSV+아/EC
이	이/MMD
같은	같/VA+은/ETM
결정을	결정/NNG+을/JKO
내렸다"며	내리/VV+었/EP+다/EF+"/SS+며/EC
"재결서가	"/SS+재결서/NNG+가/JKS
작성돼	작성/NNG+되/XSV+어/EC
양측에	양측/NNG+에/JKB
송달되면	송달/NNG+되/XSV+면/EC
효력이	효력/NNG+이/JKS
발생한다"고	발생/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.385.4.2
이에 따라 시는 재결서를 받은 뒤 건축 허가를 내주거나 다른 사유를 들어 반려해야 한다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
시는	시/NNG+는/JX
재결서를	재결서/NNG+를/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
건축	건축/NNG
허가를	허가/NNG+를/JKO
내주거나	내주/VV+거나/EC
다른	다른/MMD
사유를	사유/NNG+를/JKO
들어	들/VV+어/EC
반려해야	반려/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.385.5.1
시 관계자는 "시 차원에서 건축허가 신청을 반려했지만 현재로서는 행정심판 결과에 따를 수밖에 없는 상황"이라며 "패소 이후 수차례 회의를 열어 향후 대책을 논의하고 있다"고 말했다.

시	시/NNG
관계자는	관계자/NNG+는/JX
"시	"/SS+시/NNG
차원에서	차원/NNG+에서/JKB
건축허가	건축/NNG+허가/NNG
신청을	신청/NNG+을/JKO
반려했지만	반려/NNG+하/XSV+았/EP+지만/EC
현재로서는	현재/NNG+로서/JKB+는/JX
행정심판	행정/NNG+심판/NNG
결과에	결과/NNG+에/JKB
따를	따르/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
상황"이라며	상황/NNG+"/SS+이/VCP+라며/EC
"패소	"/SS+패소/NNG
이후	이후/NNG
수차례	수차례/NNG
회의를	회의/NNG+를/JKO
열어	열/VV+어/EC
향후	향후/NNG
