# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.435
metadata : {}


# id : NWRW1800000022.435.1.1
[제주·서울] 제주 방문 외국인 관광객 60만명 넘었다

[제주·서울]	[/SS+제주/NNP+·/SP+서울/NNP+]/SS
제주	제주/NNP
방문	방문/NNG
외국인	외국인/NNG
관광객	관광객/NNG
60만명	60/SN+만/NR+명/NNB
넘었다	넘/VV+었/EP+다/EF


# id : NWRW1800000022.435.2.1
제주를 찾은 외국인 관광객이 처음으로 60만명을 넘어섰다.

제주를	제주/NNP+를/JKO
찾은	찾/VV+은/ETM
외국인	외국인/NNG
관광객이	관광객/NNG+이/JKS
처음으로	처음/NNG+으로/JKB
60만명을	60/SN+만/NR+명/NNB+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.435.3.1
제주도는 11일 현재 외국인 관광객이 60만1234명으로 올해 외국인 관광객 유치 목표인 60만명을 넘어섰다고 밝혔다.

제주도는	제주도/NNP+는/JX
11일	11/SN+일/NNB
현재	현재/MAG
외국인	외국인/NNG
관광객이	관광객/NNG+이/JKS
60만1234명으로	60/SN+만/NR+1234/SN+명/NNB+으로/JKB
올해	올해/NNG
관광객	관광객/NNG
유치	유치/NNG
목표인	목표/NNG+이/VCP+ㄴ/ETM
60만명을	60/SN+만/NR+명/NNB+을/JKO
넘어섰다고	넘어서/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.435.3.2
이는 지난해 같은 기간 51만2135명에 비해 17.4% 늘어난 규모다.

이는	이/NP+는/JX
지난해	지난해/NNG
같은	같/VA+은/ETM
기간	기간/NNG
51만2135명에	51/SN+만/NR+2135/SN+명/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
17.4%	17/SN+./SP+4/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.435.3.3
국적별로는 중국인 관광객이 24만2569명으로 가장 많고, 일본인이 17만1414명, 대만인 3만9610명, 싱가포르인 2만2726명, 홍콩인 1만4333명 등 순이다

국적별로는	국적/NNG+별/XSN+로/JKB+는/JX
중국인	중국인/NNG
관광객이	관광객/NNG+이/JKS
24만2569명으로	24/SN+만/NR+2569/SN+명/NNB+으로/JKB
가장	가장/MAG
많고,	많/VA+고/EC+,/SP
일본인이	일본인/NNG+이/JKS
17만1414명,	17/SN+만/NR+1414/SN+명/NNB+,/SP
대만인	대만인/NNG
3만9610명,	3/SN+만/NR+9610/SN+명/NNB+,/SP
싱가포르인	싱가포르인/NNG
2만2726명,	2/SN+만/NR+2726/SN+명/NNB+,/SP
홍콩인	홍콩인/NNG
1만4333명	1/SN+만/NR+4333/SN+명/NNB
등	등/NNB
순이다	순/NNB+이/VCP+다/EF


# id : NWRW1800000022.435.4.1
제주방문 외국인 관광객은 1990년 23만5073명을 기록하면서 20만명을 넘어선 이후 2004년 32만9215명으로 30만명을 넘기까지 무려 14년이 걸렸다.

제주방문	제주/NNP+방문/NNG
외국인	외국인/NNG
관광객은	관광객/NNG+은/JX
1990년	1990/SN+년/NNB
23만5073명을	23/SN+만/NR+5073/SN+명/NNB+을/JKO
기록하면서	기록/NNG+하/XSV+면서/EC
20만명을	20/SN+만/NR+명/NNB+을/JKO
넘어선	넘어서/VV+ㄴ/ETM
이후	이후/NNG
2004년	2004/SN+년/NNB
32만9215명으로	32/SN+만/NR+9215/SN+명/NNB+으로/JKB
30만명을	30/SN+만/NR+명/NNB+을/JKO
넘기까지	넘/VV+기/ETN+까지/JX
