# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.256
metadata : {}


# id : NWRW1800000032.256.1.1
“카드사 대출장사가 보이스피싱 키웠다”

“카드사	“/SS+카드사/NNG
대출장사가	대출/NNG+장사/NNG+가/JKS
보이스피싱	보이스피싱/NNG
키웠다”	키우/VV+었/EP+다/EF+”/SS


# id : NWRW1800000032.256.2.1
소송 나선 피해자 모임

소송	소송/NNG
나선	나서/VV+ㄴ/ETM
피해자	피해자/NNG
모임	모임/NNG


# id : NWRW1800000032.256.3.1
본인확인도 없이 수백·수천만원 내줘 ‘안전 불감’

본인확인도	본인/NNG+확인/NNG+도/JX
없이	없이/MAG
수백·수천만원	수백/NR+·/SP+수천만/NR+원/NNB
내줘	내주/VV+어/EC
‘안전	‘/SS+안전/NNG
불감’	불감/NNG+’/SS


# id : NWRW1800000032.256.4.1
피해자들 유산·이혼 당하고 자살충동까지 느껴

피해자들	피해자/NNG+들/XSN
유산·이혼	유산/NNG+·/SP+이혼/NNG
당하고	당하/VV+고/EC
자살충동까지	자살/NNG+충동/NNG+까지/JX
느껴	느끼/VV+어/EF


# id : NWRW1800000032.256.5.1
“당신 계좌가 범죄에 악용” 검사 사칭 일당에 속아

“당신	“/SS+당신/NP
계좌가	계좌/NNG+가/JKS
범죄에	범죄/NNG+에/JKB
악용”	악용/NNG+”/SS
검사	검사/NNG
사칭	사칭/NNG
일당에	일당/NNG+에/JKB
속아	속/VV+아/EC


# id : NWRW1800000032.256.6.1
# 취업준비생인 김영신(가명·29)씨는 검사를 사칭한 일당에게 990만원의 카드론 보이스피싱 피해를 당했다.

#	#/SW
취업준비생인	취업/NNG+준비/NNG+생/XSN+이/VCP+ㄴ/ETM
김영신(가명·29)씨는	김영신/NNP+(/SS+가명/NNG+·/SP+29/SN+)/SS+씨/NNB+는/JX
검사를	검사/NNG+를/JKO
사칭한	사칭/NNG+하/XSV+ㄴ/ETM
일당에게	일당/NNG+에게/JKB
990만원의	990/SN+만/NR+원/NNB+의/JKG
카드론	카드론/NNG
보이스피싱	보이스피싱/NNG
피해를	피해/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.256.6.2
김씨가 보이스피싱을 의심해 카드번호와 유효성 검사 코드(CVC) 등을 알려주기를 망설이자 범인들은 ‘당신 계좌가 범죄에 악용됐는데, 협조하지 않으면 당신도 방조책임을 물어 구속할 수 있다’고 협박했다.

김씨가	김/NNP+씨/NNB+가/JKS
보이스피싱을	보이스피싱/NNG+을/JKO
의심해	의심/NNG+하/XSV+아/EC
카드번호와	카드/NNG+번호/NNG+와/JC
유효성	유효/NNG+성/XSN
검사	검사/NNG
코드(CVC)	코드/NNG+(/SS+CVC/SL+)/SS
등을	등/NNB+을/JKO
알려주기를	알리/VV+어/EC+주/VX+기/ETN+를/JKO
망설이자	망설이/VV+자/EC
범인들은	범인/NNG+들/XSN+은/JX
‘당신	‘/SS+당신/NP
계좌가	계좌/NNG+가/JKS
범죄에	범죄/NNG+에/JKB
악용됐는데,	악용/NNG+되/XSV+었/EP+는데/EC+,/SP
협조하지	협조/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
당신도	당신/NP+도/JX
방조책임을	방조/NNG+책임/NNG+을/JKO
물어	묻/VV+어/EC
구속할	구속/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다’고	있/VA+다/EF+’/SS+고/JKQ
협박했다.	협박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.256.6.3
김씨는 “혹시라도 돈을 갚지 않으면 신용불량자나 파산자가 돼 취업도 못할 것 같아 우선 500만원을 대출받고, 적금까지 털어 변제를 한 상태”라고 분통을 터뜨렸다.

김씨는	김/NNP+씨/NNB+는/JX
“혹시라도	“/SS+혹시/MAG+이/VCP+라도/EC
돈을	돈/NNG+을/JKO
갚지	갚/VV+지/EC
않으면	않/VX+으면/EC
신용불량자나	신용/NNG+불량자/NNG+나/JC
파산자가	파산자/NNG+가/JKC
돼	되/VV+어/EC
취업도	취업/NNG+도/JX
못할	못/MAG+하/VV+ㄹ/ETM
것	것/NNB
같아	같/VA+아/EC
우선	우선/MAG
500만원을	500/SN+만/NR+원/NNB+을/JKO
대출받고,	대출/NNG+받/XSV+고/EC+,/SP
적금까지	적금/NNG+까지/JX
털어	털/VV+어/EC
변제를	변제/NNG+를/JKO
한	하/VV+ㄴ/ETM
상태”라고	상태/NNG+”/SS+라고/JKQ
분통을	분통/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.256.7.1
경찰 사칭 범인이 개인정보 도용 공인인증서 발급

경찰	경찰/NNG
사칭	사칭/NNG
범인이	범인/NNG+이/JKS
개인정보	개인/NNG+정보/NNG
도용	도용/NNG
공인인증서	공인/NNG+인증서/NNG
발급	발급/NNG


# id : NWRW1800000032.256.8.1
# 아이티(IT) 업계에서 일하는 송아무개(30)씨는 경찰청 사이버수사대를 사칭한 범인들에게 속아 카드사 3곳에서 3740만원의 카드론 피해를 봤다.

#	#/SW
아이티(IT)	아이티/NNG+(/SS+IT/SL+)/SS
업계에서	업계/NNG+에서/JKB
