# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.97
metadata : {}


# id : NWRW1800000048.97.1.1
SKT, 헬로비전 인수…경쟁사들 “독점 확대”

SKT,	SKT/SL+,/SP
헬로비전	헬로비전/NNP
인수…경쟁사들	인수/NNG+…/SE+경쟁사/NNG+들/XSN
“독점	“/SS+독점/NNG
확대”	확대/NNG+”/SS


# id : NWRW1800000048.97.2.1
5000억원에 지분 30% 매입

5000억원에	5000/SN+억/NR+원/NNB+에/JKB
지분	지분/NNG
30%	30/SN+%/SW
매입	매입/NNG


# id : NWRW1800000048.97.3.1
SK브로드밴드와 합병 추진

SK브로드밴드와	SK브로드밴드/NNP+와/JKB
합병	합병/NNG
추진	추진/NNG


# id : NWRW1800000048.97.4.1
KT·엘지 “공정경쟁 훼손” 비난

KT·엘지	KT/SL+·/SP+엘지/NNP
“공정경쟁	“/SS+공정/NNG+경쟁/NNG
훼손”	훼손/NNG+”/SS
비난	비난/NNG


# id : NWRW1800000048.97.5.1
에스케이텔레콤(SKT)이 2일 이사회를 열어 케이블방송 가입자 점유율 1위 업체 씨제이(CJ)헬로비전을 인수하고, 융합 미디어 시장에서 씨제이그룹과 적극 협력하기로 의결했다.

에스케이텔레콤(SKT)이	에스케이텔레콤/NNP+(/SS+SKT/SL+)/SS+이/JKS
2일	2/SN+일/NNB
이사회를	이사회/NNG+를/JKO
열어	열/VV+어/EC
케이블방송	케이블/NNG+방송/NNG
가입자	가입자/NNG
점유율	점유/NNG+율/XSN
1위	1/SN+위/NNB
업체	업체/NNG
씨제이(CJ)헬로비전을	씨제이/NNP+(/SS+CJ/SL+)/SS+헬로비전/NNP+을/JKO
인수하고,	인수/NNG+하/XSV+고/EC+,/SP
융합	융합/NNG
미디어	미디어/NNG
시장에서	시장/NNG+에서/JKB
씨제이그룹과	씨제이그룹/NNP+과/JKB
적극	적극/NNG
협력하기로	협력/NNG+하/XSV+기/ETN+로/JKB
의결했다.	의결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.97.5.2
경쟁사인 케이티(KT)와 엘지유플러스(LGU+)는 “통신에 이어 방송까지 독점력을 확대해 공정경쟁을 훼손하고 시장을 황폐화할 것”이라며 강하게 반발했다.

경쟁사인	경쟁사/NNG+이/VCP+ㄴ/ETM
케이티(KT)와	케이티/NNP+(/SS+KT/SL+)/SS+와/JC
엘지유플러스(LGU+)는	엘지유플러스/NNP+(/SS+LGU/SL++/SW+)/SS+는/JX
“통신에	“/SS+통신/NNG+에/JKB
이어	잇/VV+어/EC
방송까지	방송/NNG+까지/JX
독점력을	독점력/NNG+을/JKO
확대해	확대/NNG+하/XSV+아/EC
공정경쟁을	공정/NNG+경쟁/NNG+을/JKO
훼손하고	훼손/NNG+하/XSV+고/EC
시장을	시장/NNG+을/JKO
황폐화할	황폐/NNG+화/XSN+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
강하게	강하/VA+게/EC
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.97.6.1
이동통신 점유율 1위 업체 에스케이텔레콤은 이날 오전 이사회 개최 뒤 씨제이오쇼핑이 보유한 씨제이헬로비전 지분 30%를 5000억원에 인수하기로 했다고 밝혔다.

이동통신	이동/NNG+통신/NNG
점유율	점유/NNG+율/XSN
1위	1/SN+위/NNB
업체	업체/NNG
에스케이텔레콤은	에스케이텔레콤/NNP+은/JX
