# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.275
metadata : {}


# id : NWRW1800000029.275.1.1
‘골프 신들린 김경태’ 21언더파

‘골프	‘/SS+골프/NNG
신들린	신들리/VV+ㄴ/ETM
김경태’	김경태/NNP+’/SS
21언더파	21/SN+언더/NNG+파/NNG


# id : NWRW1800000029.275.2.1
매경오픈 최저타 우승

매경오픈	매경/NNP+오픈/NNG
최저타	최저타/NNG
우승	우승/NNG


# id : NWRW1800000029.275.3.1
2위 그룹 8타차 따돌려

2위	2/SN+위/NNB
그룹	그룹/NNG
8타차	8/SN+타/NNG+차/NNG
따돌려	따돌리/VV+어/EF


# id : NWRW1800000029.275.4.1
평소 조심스럽기로 소문난 그의 입에서 남다른 자신감이 흘러나왔다.

평소	평소/NNG
조심스럽기로	조심/NNG+스럽/XSA+기/ETN+로/JKB
소문난	소문나/VV+ㄴ/ETM
그의	그/NP+의/JKG
입에서	입/NNG+에서/JKB
남다른	남다르/VA+ㄴ/ETM
자신감이	자신감/NNG+이/JKS
흘러나왔다.	흘러나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.275.4.2
1일 이천 블랙스톤GC에서 끝난 유럽투어 발렌타인챔피언십을 공동 10위로 마친 김경태(25·신한금융그룹·사진)를 만났을 때였다.

1일	1/SN+일/NNB
이천	이천/NNP
블랙스톤GC에서	블랙스톤/NNP+GC/SL+에서/JKB
끝난	끝나/VV+ㄴ/ETM
유럽투어	유럽/NNP+투어/NNG
발렌타인챔피언십을	발렌타인/NNP+챔피언십/NNG+을/JKO
공동	공동/NNG
10위로	10/SN+위/NNB+로/JKB
마친	마치/VV+ㄴ/ETM
김경태(25·신한금융그룹·사진)를	김경태/NNP+(/SS+25/SN+·/SP+신한금융그룹/NNP+·/SP+사진/NNG+)/SS+를/JKO
만났을	만나/VV+았/EP+을/ETM
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.275.4.3
당시 3, 4라운드에서 세계 1위 리 웨스트우드(잉글랜드)와 동반 플레이를 했던 그는 “샷 감각이 워낙 좋다.

당시	당시/NNG
3,	3/SN+,/SP
4라운드에서	4/SN+라운드/NNG+에서/JKB
세계	세계/NNG
1위	1/SN+위/NNB
리	리/NNP
웨스트우드(잉글랜드)와	웨스트우드/NNP+(/SS+잉글랜드/NNP+)/SS+와/JKB
동반	동반/NNG
플레이를	플레이/NNG+를/JKO
했던	하/VV+았/EP+던/ETM
그는	그/NP+는/JX
“샷	“/SS+샷/NNG
감각이	감각/NNG+이/JKS
워낙	워낙/MAG
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000029.275.4.4
다음 주를 기대해 달라”며 웃었다.

다음	다음/NNG
주를	주/NNG+를/JKO
기대해	기대/NNG+하/XSV+아/EC
달라”며	달/VX+라/EF+”/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.275.5.1
1주일 만에 김경태는 트로피에 입을 맞추며 자신의 말이 괜한 공수표가 아니었다는 사실을 입증했다.

1주일	1/SN+주일/NNB
만에	만/NNB+에/JKB
김경태는	김경태/NNP+는/JX
트로피에	트로피/NNG+에/JKB
입을	입/NNG+을/JKO
맞추며	맞추/VV+며/EC
자신의	자신/NNG+의/JKG
말이	말/NNG+이/JKS
괜한	괜하/VA+ㄴ/ETM
공수표가	공수표/NNG+가/JKC
아니었다는	아니/VCN+었/EP+다는/ETM
사실을	사실/NNG+을/JKO
입증했다.	입증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.275.5.2
8일 성남 남서울CC(파72)에서 끝난 제30회 GS칼텍스 매경오픈 최종 4라운드.

8일	8/SN+일/NNB
성남	성남/NNP
남서울CC(파72)에서	남서울/NNP+CC/SL+(/SS+파/NNG+72/SN+)/SS+에서/JKB
끝난	끝나/VV+ㄴ/ETM
제30회	제/XPN+30/SN+회/NNB
GS칼텍스	GS칼텍스/NNP
매경오픈	매경/NNP+오픈/NNG
최종	최종/NNG
4라운드.	4/SN+라운드/NNG+./SF


# id : NWRW1800000029.275.5.3
6타 차 선두로 여유 있게 출발한 김경태는 버디 7개와 보기 1개로 6타를 더 줄여 대회 최저타인 합계 21언더파 267타로 공동 2위 조민규, 김형성을 8타 차로 따돌렸다.

6타	6/SN+타/NNG
차	차/NNG
선두로	선두/NNG+로/JKB
여유	여유/NNG
있게	있/VA+게/EC
출발한	출발/NNG+하/XSV+ㄴ/ETM
김경태는	김경태/NNP+는/JX
버디	버디/NNG
7개와	7/SN+개/NNB+와/JC
보기	보기/NNG
1개로	1/SN+개/NNB+로/JKB
6타를	6/SN+타/NNG+를/JKO
더	더/MAG
줄여	줄이/VV+어/EC
대회	대회/NNG
최저타인	최저타/NNG+이/VCP+ㄴ/ETM
합계	합계/NNG
21언더파	21/SN+언더/NNG+파/NNG
267타로	267/SN+타/NNG+로/JKB
공동	공동/NNG
2위	2/SN+위/NNB
조민규,	조민규/NNP+,/SP
김형성을	김형성/NNP+을/JKO
8타	8/SN+타/NNG
차로	차/NNG+로/JKB
