# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.7
metadata : {}


# id : NWRW1800000054.7.1.1
金부총리, 결국 보유세(재산세+종부세) 인상 카드 만지작

金부총리,	金/SH+부총리/NNG+,/SP
결국	결국/MAG
보유세(재산세+종부세)	보유세/NNG+(/SS+재산세/NNG++/SW+종부세/NNG+)/SS
인상	인상/NNG
카드	카드/NNG
만지작	만지작/XR


# id : NWRW1800000054.7.2.1
검토하고 있지 않다더니… "모든 시나리오 검토" 발언 수위 높여

검토하고	검토/NNG+하/XSV+고/EC
있지	있/VX+지/EC
않다더니…	않/VX+다더니/EC+…/SE
"모든	"/SS+모든/MMN
시나리오	시나리오/NNG
검토"	검토/NNG+"/SS
발언	발언/NNG
수위	수위/NNG
높여	높이/VV+어/EF


# id : NWRW1800000054.7.3.1
부동산 '보유세(재산세+종합부동산세)' 인상 여부에 대한 김동연 경제부총리의 말이 수위가 높아지고 있다.

부동산	부동산/NNG
'보유세(재산세+종합부동산세)'	'/SS+보유세/NNG+(/SS+재산세/NNG++/SW+종합/NNG+부동산세/NNG+)/SS+'/SS
인상	인상/NNG
여부에	여부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
김동연	김동연/NNP
경제부총리의	경제/NNG+부총리/NNG+의/JKG
말이	말/NNG+이/JKS
수위가	수위/NNG+가/JKS
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.7.3.2
"현재 검토하고 있지 않다"는 종전 입장과 달리 "모든 시나리오를 검토하고 있다"는 발언을 최근 공개석상에서 잇따라 내놓고 있다.

"현재	"/SS+현재/MAG
검토하고	검토/NNG+하/XSV+고/EC
있지	있/VX+지/EC
않다"는	않/VX+다/EF+"/SS+는/ETM
종전	종전/NNG
입장과	입장/NNG+과/JKB
달리	달리/MAG
"모든	"/SS+모든/MMN
시나리오를	시나리오/NNG+를/JKO
있다"는	있/VX+다/EF+"/SS+는/ETM
발언을	발언/NNG+을/JKO
최근	최근/NNG
공개석상에서	공개/NNG+석상/NNG+에서/JKB
잇따라	잇따르/VV+아/EC
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.7.3.3
여당인 더불어민주당에서 초(超)고소득자에 대한 소득세 인상과 법인세 인상에 이어 보유세 인상론을 꺼내자, 정부가 보유세 인상 카드를 만지작거리기 시작한 것 아니냐는 관측이 나오고 있다.

여당인	여당/NNG+이/VCP+ㄴ/ETM
더불어민주당에서	더불어민주당/NNP+에서/JKB
초(超)고소득자에	초/XPN+(/SS+超/SH+)/SS+고소득자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
소득세	소득세/NNG
인상과	인상/NNG+과/JC
법인세	법인세/NNG
인상에	인상/NNG+에/JKB
이어	잇/VV+어/EC
보유세	보유세/NNG
인상론을	인상/NNG+론/XSN+을/JKO
꺼내자,	꺼내/VV+자/EC+,/SP
정부가	정부/NNG+가/JKS
인상	인상/NNG
카드를	카드/NNG+를/JKO
만지작거리기	만지작거리/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
관측이	관측/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.7.4.1
◇보유세 인상 "검토 안 한다"→"모든 시나리오 검토"

◇보유세	◇/SW+보유세/NNG
인상	인상/NNG
"검토	"/SS+검토/NNG
안	안/MAG
한다"→"모든	하/VV+ㄴ다/EF+"/SS+→/SW+"/SS+모든/MMN
시나리오	시나리오/NNG
검토"	검토/NNG+"/SS


# id : NWRW1800000054.7.5.1
김 부총리는 20일 기획재정부 국정감사에서 "보유세는 어떻게 할지 여러 가지 시나리오를 가지고 검토해왔다"면서 "준비를 해놓고 있다가 정책적 환경을 종합적으로 고려해 결정할 것"이라고 밝혔다.

김	김/NNP
부총리는	부총리/NNG+는/JX
20일	20/SN+일/NNB
기획재정부	기획/NNG+재정부/NNG
국정감사에서	국정/NNG+감사/NNG+에서/JKB
"보유세는	"/SS+보유세/NNG+는/JX
어떻게	어떻/VA+게/EC
할지	하/VV+ㄹ지/EC
여러	여러/MMN
가지	가지/NNB
시나리오를	시나리오/NNG+를/JKO
가지고	가지/VV+고/EC
검토해왔다"면서	검토/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+"/SS+면서/EC
"준비를	"/SS+준비/NNG+를/JKO
해놓고	하/VV+아/EC+놓/VX+고/EC
있다가	있/VX+다가/EC
정책적	정책/NNG+적/XSN
환경을	환경/NNG+을/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
고려해	고려/NNG+하/XSV+아/EC
결정할	결정/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.7.5.2
부동산 값이 잡히지 않으면 언제든지 보유세 인상 카드를 꺼낼 수 있도록 준비 중이라는 뜻으로 해석됐다.

부동산	부동산/NNG
값이	값/NNG+이/JKS
잡히지	잡히/VV+지/EC
않으면	않/VX+으면/EC
언제든지	언제/NP+든지/JX
보유세	보유세/NNG
인상	인상/NNG
카드를	카드/NNG+를/JKO
꺼낼	꺼내/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
준비	준비/NNG
중이라는	중/NNB+이/VCP+라는/ETM
