# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.85
metadata : {}


# id : NWRW1800000025.85.1.1
[다시 뛰는 금융]증권사들도 세계시장서 초대형 투자은행에 도전장

[다시	[/SS+다시/MAG
뛰는	뛰/VV+는/ETM
금융]증권사들도	금융/NNG+]/SS+증권사/NNG+들/XSN+도/JX
세계시장서	세계/NNG+시장/NNG+서/JKB
초대형	초/XPN+대형/NNG
투자은행에	투자/NNG+은행/NNG+에/JKB
도전장	도전장/NNG


# id : NWRW1800000025.85.2.1
‘내게 맞는 해외 블루오션을 찾아라.’

‘내게	‘/SS+나/NP+에게/JKB
맞는	맞/VV+는/ETM
해외	해외/NNG
블루오션을	블루오션/NNG+을/JKO
찾아라.’	찾/VV+아라/EF+./SF+’/SS


# id : NWRW1800000025.85.3.1
글로벌 금융위기 여파로 주춤했던 증권사들의 해외 진출 발걸음이 다시 빨라지고 있다.

글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
여파로	여파/NNG+로/JKB
주춤했던	주춤/MAG+하/XSV+았/EP+던/ETM
증권사들의	증권사/NNG+들/XSN+의/JKG
해외	해외/NNG
진출	진출/NNG
발걸음이	발걸음/NNG+이/JKS
다시	다시/MAG
빨라지고	빠르/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.85.3.2
실탄과 실력 준비가 덜 된 상태에서 무모하게 미국 뉴욕, 영국 런던 등 국제금융허브 지역에 진출했던 과거와 달리 홍콩을 거점으로 동남아시아, 인도, 중동, 중앙아시아 등 ‘될성부른’ 지역을 꼼꼼히 두드리고 있다.

실탄과	실탄/NNG+과/JC
실력	실력/NNG
준비가	준비/NNG+가/JKC
덜	덜/MAG
된	되/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
무모하게	무모/NNG+하/XSA+게/EC
미국	미국/NNP
뉴욕,	뉴욕/NNP+,/SP
영국	영국/NNP
런던	런던/NNP
등	등/NNB
국제금융허브	국제/NNG+금융/NNG+허브/NNG
지역에	지역/NNG+에/JKB
진출했던	진출/NNG+하/XSV+았/EP+던/ETM
과거와	과거/NNG+와/JKB
달리	달리/MAG
홍콩을	홍콩/NNP+을/JKO
거점으로	거점/NNG+으로/JKB
동남아시아,	동남아시아/NNP+,/SP
인도,	인도/NNP+,/SP
중동,	중동/NNP+,/SP
중앙아시아	중앙아시아/NNP
‘될성부른’	‘/SS+될성부르/VV+ㄴ/ETM+’/SS
지역을	지역/NNG+을/JKO
꼼꼼히	꼼꼼히/MAG
두드리고	두드리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.85.4.1
합작회사, 현지법인 등을 설립하며 연락사무소 수준은 이미 넘어선 지 오래됐고 주식 위탁매매(브로커리지)뿐 아니라 기업의 상장(IPO), 인수합병(M&A) 등 본격적인 투자은행(IB) 역할을 하겠다는 포부다.

합작회사,	합작/NNG+회사/NNG+,/SP
현지법인	현지/NNG+법인/NNG
등을	등/NNB+을/JKO
설립하며	설립/NNG+하/XSV+며/EC
연락사무소	연락/NNG+사무소/NNG
수준은	수준/NNG+은/JX
이미	이미/MAG
넘어선	넘어서/VV+ㄴ/ETM
지	지/NNB
오래됐고	오래/MAG+되/XSA+었/EP+고/EC
주식	주식/NNG
위탁매매(브로커리지)뿐	위탁/NNG+매매/NNG+(/SS+브로커리지/NNG+)/SS+뿐/JX
아니라	아니/VCN+라/EC
기업의	기업/NNG+의/JKG
상장(IPO),	상장/NNG+(/SS+IPO/SL+)/SS+,/SP
인수합병(M&A)	인수/NNG+합병/NNG+(/SS+M/SL+&/SW+A/SL+)/SS
등	등/NNB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
투자은행(IB)	투자/NNG+은행/NNG+(/SS+IB/SL+)/SS
역할을	역할/NNG+을/JKO
하겠다는	하/VV+겠/EP+다는/ETM
포부다.	포부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.4.2
특히 글로벌 IB들의 체력이 약해진 요즘 해외시장에서도 이들과 정면대결을 해볼 만하다는 자신감에 차 있다.

특히	특히/MAG
글로벌	글로벌/NNG
IB들의	IB/SL+들/XSN+의/JKG
체력이	체력/NNG+이/JKS
약해진	약하/VA+아/EC+지/VX+ㄴ/ETM
요즘	요즘/NNG
해외시장에서도	해외/NNG+시장/NNG+에서/JKB+도/JX
이들과	이/NP+들/XSN+과/JKB
정면대결을	정면/NNG+대결/NNG+을/JKO
해볼	하/VV+아/EC+보/VX+ㄹ/ETM
만하다는	만/NNB+하/XSA+다는/ETM
자신감에	자신감/NNG+에/JKB
차	차/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.85.5.1
○ ‘오일머니’의 매력, 뜨거운 중동시장

○	○/SW
‘오일머니’의	‘/SS+오일머니/NNG+’/SS+의/JKG
매력,	매력/NNG+,/SP
뜨거운	뜨겁/VA+ㄴ/ETM
중동시장	중동/NNP+시장/NNG


# id : NWRW1800000025.85.6.1
“가보면 가볼수록 매력적인 시장입니다.

“가보면	“/SS+가/VV+아/EC+보/VX+면/EC
가볼수록	가/VV+아/EC+보/VX+ㄹ수록/EC
매력적인	매력/NNG+적/XSN+이/VCP+ㄴ/ETM
시장입니다.	시장/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.85.6.2
우리의 금융상품에 투자할 만한 자금이 풍부할 뿐만 아니라 금융시장 자체가 클 수 있는 곳이지요.”

우리의	우리/NP+의/JKG
금융상품에	금융/NNG+상품/NNG+에/JKB
투자할	투자/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
자금이	자금/NNG+이/JKS
풍부할	풍부하/VA+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
금융시장	금융/NNG+시장/NNG
자체가	자체/NNG+가/JKS
클	크/VA+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
곳이지요.”	곳/NNG+이/VCP+지요/EF+./SF+”/SS


# id : NWRW1800000025.85.7.1
유상호 한국투자증권 사장은 중동시장 예찬론자다.

유상호	유상호/NNP
한국투자증권	한국투자증권/NNP
사장은	사장/NNG+은/JX
중동시장	중동/NNP+시장/NNG
예찬론자다.	예찬론자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.7.2
지금껏 한국 금융회사들이 진출하지 못했던 지역이지만 세계의 부가 집중돼 있기 때문이다.

지금껏	지금껏/MAG
한국	한국/NNP
금융회사들이	금융/NNG+회사/NNG+들/XSN+이/JKS
진출하지	진출/NNG+하/XSV+지/EC
못했던	못하/VX+았/EP+던/ETM
지역이지만	지역/NNG+이/VCP+지만/EC
세계의	세계/NNG+의/JKG
부가	부/NNG+가/JKS
집중돼	집중/NNG+되/XSV+어/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.7.3
채권을 발행해 장기 저리인 오일머니를 유인할 수 있다면 선진국에 편향된 자본조달시장의 균형을 맞출 수 있을 것으로 본다.

채권을	채권/NNG+을/JKO
발행해	발행/NNG+하/XSV+아/EC
장기	장기/NNG
저리인	저리/NNG+이/VCP+ㄴ/ETM
오일머니를	오일머니/NNG+를/JKO
유인할	유인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다면	있/VA+다면/EC
선진국에	선진국/NNG+에/JKB
편향된	편향/NNG+되/XSV+ㄴ/ETM
자본조달시장의	자본/NNG+조달/NNG+시장/NNG+의/JKG
균형을	균형/NNG+을/JKO
맞출	맞추/VV+ㄹ/ETM
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.85.7.4
또 산업과 연결된 금융투자이기 때문에 성장성이 매우 높을 것으로 예상된다.

또	또/MAG
산업과	산업/NNG+과/JKB
연결된	연결/NNG+되/XSV+ㄴ/ETM
금융투자이기	금융/NNG+투자/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
성장성이	성장/NNG+성/XSN+이/JKS
매우	매우/MAG
높을	높/VA+을/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.85.8.1
한국투자증권은 이슬람 채권인 수쿠크를 발행하기 위해 이미 말레이시아 출신 이슬람 율법학자를 영입해 이슬람금융전담팀을 운영하고 있다.

한국투자증권은	한국투자증권/NNP+은/JX
이슬람	이슬람/NNG
채권인	채권/NNG+이/VCP+ㄴ/ETM
수쿠크를	수쿠크/NNG+를/JKO
발행하기	발행/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
이미	이미/MAG
말레이시아	말레이시아/NNP
출신	출신/NNG
율법학자를	율법/NNG+학자/NNG+를/JKO
영입해	영입/NNG+하/XSV+아/EC
이슬람금융전담팀을	이슬람/NNG+금융/NNG+전담/NNG+팀/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.85.8.2
이 팀에서는 이슬람 율법을 연구해 이자를 못 받게 돼 있는 이슬람권에 자본 이득 형태로 돈을 돌려주는 등의 방안을 마련 중이다.

이	이/MMD
팀에서는	팀/NNG+에서/JKB+는/JX
이슬람	이슬람/NNG
율법을	율법/NNG+을/JKO
연구해	연구/NNG+하/XSV+아/EC
이자를	이자/NNG+를/JKO
못	못/MAG
받게	받/VV+게/EC
돼	되/VV+어/EC
있는	있/VX+는/ETM
이슬람권에	이슬람/NNG+권/XSN+에/JKB
자본	자본/NNG
이득	이득/NNG
형태로	형태/NNG+로/JKB
돈을	돈/NNG+을/JKO
돌려주는	돌려주/VV+는/ETM
등의	등/NNB+의/JKG
방안을	방안/NNG+을/JKO
마련	마련/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.9.1
우리투자증권도 중동 대열에 최근 합류했다.

우리투자증권도	우리투자증권/NNP+도/JX
중동	중동/NNP
대열에	대열/NNG+에/JKB
최근	최근/NNG
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.85.9.2
지난해부터 IB사업부에 중동 태스크포스팀을 만들어 중동 진출 전략을 짜 왔다.

지난해부터	지난해/NNG+부터/JX
IB사업부에	IB/SL+사업부/NNG+에/JKB
중동	중동/NNP
태스크포스팀을	태스크포스/NNG+팀/NNG+을/JKO
만들어	만들/VV+어/EC
진출	진출/NNG
전략을	전략/NNG+을/JKO
짜	짜/VV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.85.9.3
그 성과로 지난달 카타르 현지 이슬람은행인 카타르이슬람은행과 IB 및 투자업무 분야에서 서로 협력한다는 양해각서(MOU)를 체결했다.

그	그/MMD
성과로	성과/NNG+로/JKB
지난달	지난달/NNG
카타르	카타르/NNP
현지	현지/NNG
이슬람은행인	이슬람/NNG+은행/NNG+이/VCP+ㄴ/ETM
카타르이슬람은행과	카타르이슬람은행/NNP+과/JC
IB	IB/SL
및	및/MAG
투자업무	투자/NNG+업무/NNG
분야에서	분야/NNG+에서/JKB
서로	서로/MAG
협력한다는	협력/NNG+하/XSV+ㄴ다는/ETM
양해각서(MOU)를	양해/NNG+각서/NNG+(/SS+MOU/SL+)/SS+를/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.85.9.4
1월에는 인도의 아디트야비를라그룹의 금융자회사인 아디트야비를라파이낸셜서비스와 전략적 제휴도 맺었다.

1월에는	1/SN+월/NNB+에/JKB+는/JX
인도의	인도/NNP+의/JKG
아디트야비를라그룹의	아디트야비를라그룹/NNP+의/JKG
금융자회사인	금융/NNG+자회사/NNG+이/VCP+ㄴ/ETM
아디트야비를라파이낸셜서비스와	아디트야비를라파이낸셜서비스/NNP+와/JKB
전략적	전략/NNG+적/XSN
제휴도	제휴/NNG+도/JX
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.85.9.5
조만간 5억 달러 규모의 공동 펀드 조성 방안도 확정할 예정이다.

조만간	조만간/MAG
5억	5/SN+억/NR
달러	달러/NNB
규모의	규모/NNG+의/JKG
공동	공동/NNG
펀드	펀드/NNG
조성	조성/NNG
방안도	방안/NNG+도/JX
확정할	확정/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.10.1
