# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.403
metadata : {}


# id : NWRW1800000029.403.1.1
[김정일 사망]이영호가 ‘김정일시대 오진우’ 역할하나

[김정일	[/SS+김정일/NNP
사망]이영호가	사망/NNG+]/SS+이영호/NNP+가/JKS
‘김정일시대	‘/SS+김정일/NNP+시대/NNG
오진우’	오진우/NNP+’/SS
역할하나	역할/NNG+하/XSV+나/EF


# id : NWRW1800000029.403.2.1
1994년 김일성 사망이후 김정일 버팀목 된 吳처럼군부 충성다짐 이끌지 관심

1994년	1994/SN+년/NNB
김일성	김일성/NNP
사망이후	사망/NNG+이후/NNG
김정일	김정일/NNP
버팀목	버팀목/NNG
된	되/VV+ㄴ/ETM
吳처럼군부	吳/SH+처럼/JKB+군부/NNG
충성다짐	충성/NNG+다짐/NNG
이끌지	이끌/VV+지/EC
관심	관심/NNG


# id : NWRW1800000029.403.3.1
이영호 북한 인민군 총참모장(69)이 김정일 시대의 오진우 전 인민무력부장의 역할을 맡을 것인지에 관심이 쏠리고 있다.

이영호	이영호/NNP
북한	북한/NNP
인민군	인민군/NNG
총참모장(69)이	총참모장/NNG+(/SS+69/SN+)/SS+이/JKS
김정일	김정일/NNP
시대의	시대/NNG+의/JKG
오진우	오진우/NNP
전	전/MMD
인민무력부장의	인민무력부장/NNG+의/JKG
역할을	역할/NNG+을/JKO
맡을	맡/VV+을/ETM
것인지에	것/NNB+이/VCP+ㄴ지/EF+에/JKB
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.403.3.2
총참모장은 한국군 합동참모본부 의장에 해당된다.

총참모장은	총참모장/NNG+은/JX
한국군	한국군/NNG
합동참모본부	합동/NNG+참모/NNG+본부/NNG
의장에	의장/NNG+에/JKB
해당된다.	해당/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.403.3.3
19일 발표된 김정일 국방위원장의 장의위원 232명 중에서 이영호는 김정은 노동당 중앙군사위 부위원장, 김영남 최고인민회의 상임위원장, 최영림 내각총리에 이어 네 번째로 이름을 올렸다.

19일	19/SN+일/NNB
발표된	발표/NNG+되/XSV+ㄴ/ETM
김정일	김정일/NNP
국방위원장의	국방/NNG+위원장/NNG+의/JKG
장의위원	장의/NNG+위원/NNG
232명	232/SN+명/NNB
중에서	중/NNB+에서/JKB
이영호는	이영호/NNP+는/JX
김정은	김정은/NNP
노동당	노동당/NNP
중앙군사위	중앙군사위/NNP
부위원장,	부위원장/NNG+,/SP
김영남	김영남/NNP
최고인민회의	최고인민회의/NNG
상임위원장,	상임/NNG+위원장/NNG+,/SP
최영림	최영림/NNP
내각총리에	내각/NNG+총리/NNG+에/JKB
이어	잇/VV+어/EC
네	네/MMN
번째로	번/NNB+째/XSN+로/JKB
이름을	이름/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.403.4.1
오진우는 1994년 7월 김일성 주석이 사망한 뒤 장의위원 명단에 김 위원장에 이어 두 번째로 이름을 올렸다.

오진우는	오진우/NNP+는/JX
1994년	1994/SN+년/NNB
7월	7/SN+월/NNB
김일성	김일성/NNP
주석이	주석/NNG+이/JKS
사망한	사망/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
장의위원	장의/NNG+위원/NNG
명단에	명단/NNG+에/JKB
김	김/NNP
위원장에	위원장/NNG+에/JKB
이어	잇/VV+어/EC
두	두/MMN
번째로	번/NNB+째/XSN+로/JKB
이름을	이름/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.403.4.2
그는 혁명1세대 출신으로 김 주석이 사망한 1994년 7월부터 자신이 숨진 1995년 2월까지 김 위원장의 버팀목이 돼 줬다.

그는	그/NP+는/JX
혁명1세대	혁명/NNG+1/SN+세대/NNG
출신으로	출신/NNG+으로/JKB
김	김/NNP
주석이	주석/NNG+이/JKS
사망한	사망/NNG+하/XSV+ㄴ/ETM
1994년	1994/SN+년/NNB
7월부터	7/SN+월/NNB+부터/JX
자신이	자신/NNG+이/JKS
숨진	숨지/VV+ㄴ/ETM
1995년	1995/SN+년/NNB
2월까지	2/SN+월/NNB+까지/JX
위원장의	위원장/NNG+의/JKG
버팀목이	버팀목/NNG+이/JKC
돼	되/VV+어/EC
줬다.	주/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.403.4.3
김 위원장은 1991년 군 최고사령관에 올랐지만 사실상 민간인 출신으로 군 기반이 부족했다.

김	김/NNP
위원장은	위원장/NNG+은/JX
1991년	1991/SN+년/NNB
군	군/NNG
최고사령관에	최고/NNG+사령관/NNG+에/JKB
올랐지만	오르/VV+았/EP+지만/EC
사실상	사실/NNG+상/XSN
민간인	민간인/NNG
출신으로	출신/NNG+으로/JKB
기반이	기반/NNG+이/JKS
부족했다.	부족/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000029.403.5.1
김정은은 아버지보다도 군 기반이 취약해 지난해 9월 인민군 대장에 올랐다.

김정은은	김정은/NNP+은/JX
아버지보다도	아버지/NNG+보다/JKB+도/JX
군	군/NNG
기반이	기반/NNG+이/JKS
취약해	취약/NNG+하/XSA+아/EC
지난해	지난해/NNG
9월	9/SN+월/NNB
인민군	인민군/NNG
대장에	대장/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.403.5.2
김 위원장이 김 주석 사망 2년 전에 군 최고사령관에 오른 것과 비교된다.

김	김/NNP
위원장이	위원장/NNG+이/JKS
