# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.148
metadata : {}


# id : NWRW1800000045.148.1.1
일본에서 돌아온 우리 기와-전돌 어떻게 생겼나

일본에서	일본/NNP+에서/JKB
돌아온	돌아오/VV+ㄴ/ETM
우리	우리/NP
기와-전돌	기와/NNG+-/SO+전돌/NNG
어떻게	어떻/VA+게/EC
생겼나	생기/VV+었/EP+나/EF


# id : NWRW1800000045.148.2.1
유금와당박물관 ‘이우치 컬렉션’ 展… 국외소재문화재재단은 단행본 출간

유금와당박물관	유금와당박물관/NNP
‘이우치	‘/SS+이우치/NNP
컬렉션’	컬렉션/NNG+’/SS
展…	展/SH+…/SE
국외소재문화재재단은	국외소재문화재재단/NNP+은/JX
단행본	단행본/NNG
출간	출간/NNG


# id : NWRW1800000045.148.3.1
부리부리한 눈과 커다란 주먹코, 날카로운 송곳니….

부리부리한	부리부리/MAG+하/XSA+ㄴ/ETM
눈과	눈/NNG+과/JC
커다란	커다랗/VA+ㄴ/ETM
주먹코,	주먹코/NNG+,/SP
날카로운	날카롭/VA+ㄴ/ETM
송곳니….	송곳니/NNG+…/SE+./SF


# id : NWRW1800000045.148.3.2
여기에 붉은 낯빛까지 더해져 강한 인상을 풍긴다.

여기에	여기/NP+에/JKB
붉은	붉/VA+은/ETM
낯빛까지	낯빛/NNG+까지/JX
더해져	더/MAG+하/XSV+아/EC+지/VX+어/EC
강한	강하/VA+ㄴ/ETM
인상을	인상/NNG+을/JKO
풍긴다.	풍기/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.148.3.3
하지만 오래 쳐다보면 전혀 색다른 모습이 서서히 떠오른다.

하지만	하지만/MAJ
오래	오래/MAG
쳐다보면	쳐다보/VV+면/EC
전혀	전혀/MAG
색다른	색다르/VA+ㄴ/ETM
모습이	모습/NNG+이/JKS
서서히	서서히/MAG
떠오른다.	떠오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.148.3.4
마치 씨익 웃는 것 같은 표정의 입술과 전체적으로 동글동글한 외곽선이 친근하고도 해학적인 느낌마저 준다.

마치	마치/MAG
씨익	씨익/MAG
웃는	웃/VV+는/ETM
것	것/NNB
같은	같/VA+은/ETM
표정의	표정/NNG+의/JKG
입술과	입술/NNG+과/JC
전체적으로	전체/NNG+적/XSN+으로/JKB
동글동글한	동글동글/MAG+하/XSA+ㄴ/ETM
외곽선이	외곽선/NNG+이/JKS
친근하고도	친근하/VA+고/EC+도/JX
해학적인	해학/NNG+적/XSN+이/VCP+ㄴ/ETM
느낌마저	느낌/NNG+마저/JX
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.148.4.1
9일 서울 종로구 유금와당박물관에 전시된 ‘귀면문마루끝기와’는 액운을 막으려는 벽사((벽,피)邪)의 의미에서 귀신의 얼굴 모양을 새긴 고구려 기와다.

9일	9/SN+일/NNB
서울	서울/NNP
종로구	종로구/NNP
유금와당박물관에	유금와당박물관/NNP+에/JKB
전시된	전시/NNG+되/XSV+ㄴ/ETM
‘귀면문마루끝기와’는	‘/SS+귀면문마루끝기와/NNG+’/SS+는/JX
액운을	액운/NNG+을/JKO
막으려는	막/VV+으려는/ETM
벽사((벽,피)邪)의	벽사/NNG+(/SS+(/SS+벽/NNG+,/SP+피/NNG+)/SS+邪/SH+)/SS+의/JKG
의미에서	의미/NNG+에서/JKB
귀신의	귀신/NNG+의/JKG
얼굴	얼굴/NNG
모양을	모양/NNG+을/JKO
새긴	새기/VV+ㄴ/ETM
고구려	고구려/NNP
기와다.	기와/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.148.4.2
완만한 방형 형태의 이 기와는 지붕마루에 얹혀지기 때문에 아랫부분이 둥글게 파여 있다.

완만한	완만하/VA+ㄴ/ETM
방형	방형/NNG
형태의	형태/NNG+의/JKG
이	이/MMD
기와는	기와/NNG+는/JX
지붕마루에	지붕마루/NNG+에/JKB
얹혀지기	얹히/VV+어/EC+지/VX+기/ETN
때문에	때문/NNB+에/JKB
아랫부분이	아랫부분/NNG+이/JKS
둥글게	둥글/VA+게/EC
파여	파이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.148.4.3
특히 이 귀면문마루끝기와는 높이가 39.3cm에 달해 신라나 백제 것에 비해 큰 편이다.

특히	특히/MAG
이	이/MMD
귀면문마루끝기와는	귀면문마루끝기와/NNG+는/JX
높이가	높이/NNG+가/JKS
39.3cm에	39/SN+./SP+3/SN+cm/SW+에/JKB
달해	달하/VV+아/EC
신라나	신라/NNP+나/JC
백제	백제/NNP
것에	것/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
큰	크/VA+ㄴ/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.148.4.4
일본인 이우치 이사오(1911∼1992)의 수집품 중 하나였다.

일본인	일본인/NNG
이우치	이우치/NNP
이사오(1911∼1992)의	이사오/NNP+(/SS+1911/SN+∼/SO+1992/SN+)/SS+의/JKG
수집품	수집품/NNG
중	중/NNB
하나였다.	하나/NR+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.148.5.1
일본인 의사였던 이우치 이사오는 삼국시대∼근현대 한국 전통기와와 벽돌 5000여 점을 한 일본인 수집가로부터 1964년 사들였다.

일본인	일본인/NNG
의사였던	의사/NNG+이/VCP+었/EP+던/ETM
이우치	이우치/NNP
이사오는	이사오/NNP+는/JX
삼국시대∼근현대	삼국/NNG+시대/NNG+∼/SO+근현대/NNG
한국	한국/NNP
전통기와와	전통/NNG+기와/NNG+와/JC
벽돌	벽돌/NNG
5000여	5000/SN+여/XSN
점을	점/NNB+을/JKO
한	한/MMN
수집가로부터	수집가/NNG+로부터/JKB
1964년	1964/SN+년/NNB
사들였다.	사들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.148.5.2
그는 이 중 2000여 점을 선별해 1987년 도록(조선와전도보)을 간행하는 한편 1987년 기와 1082점을 국립중앙박물관에 기증했다.

그는	그/NP+는/JX
이	이/MMD
중	중/NNB
2000여	2000/SN+여/XSN
점을	점/NNB+을/JKO
선별해	선별/NNG+하/XSV+아/EC
1987년	1987/SN+년/NNB
도록(조선와전도보)을	도록/NNG+(/SS+조선와전도보/NNP+)/SS+을/JKO
간행하는	간행/NNG+하/XSV+는/ETM
한편	한편/MAG
기와	기와/NNG
1082점을	1082/SN+점/NNB+을/JKO
국립중앙박물관에	국립중앙박물관/NNP+에/JKB
기증했다.	기증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.148.5.3
이어 2005년 유창종 유금와당박물관장이 1296점의 기와를 추가로 매입했다.

이어	이어/MAG
2005년	2005/SN+년/NNB
유창종	유창종/NNP
유금와당박물관장이	유금와당박물관장/NNG+이/JKS
1296점의	1296/SN+점/NNB+의/JKG
기와를	기와/NNG+를/JKO
추가로	추가/NNG+로/JKB
매입했다.	매입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.148.6.1
한국기와학회 초대 회장이자 기와 연구 권위자인 김성구 전 국립경주박물관장은 “고구려가 큰 기와를 사용한 것은 그만큼 무게를 감당할 수 있는 목조건축 기술이 발달했음을 뜻한다”고 설명했다.

한국기와학회	한국기와학회/NNP
초대	초대/NNG
회장이자	회장/NNG+이/VCP+자/EC
기와	기와/NNG
연구	연구/NNG
권위자인	권위자/NNG+이/VCP+ㄴ/ETM
김성구	김성구/NNP
전	전/MMD
국립경주박물관장은	국립경주박물관장/NNG+은/JX
“고구려가	“/SS+고구려/NNP+가/JKS
큰	크/VA+ㄴ/ETM
기와를	기와/NNG+를/JKO
사용한	사용/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
그만큼	그만큼/MAG
무게를	무게/NNG+를/JKO
감당할	감당/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
목조건축	목조/NNG+건축/NNG
기술이	기술/NNG+이/JKS
발달했음을	발달/NNG+하/XSV+았/EP+음/ETN+을/JKO
뜻한다”고	뜻/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
