# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.445
metadata : {}


# id : NWRW1800000024.445.1.1
민간건설사 토지 강제수용권에 제동

민간건설사	민간/NNG+건설사/NNG
토지	토지/NNG
강제수용권에	강제/NNG+수용/NNG+권/XSN+에/JKB
제동	제동/NNG


# id : NWRW1800000024.445.2.1
아파트 건설 부지의 80% 이상을 확보한 민간 건설사가 나머지 20%의 땅을 확보하려고 강제수용권을 행사하는 과정에서 땅 주인의 이익이 현저하게 침해된다면 지방자치단체가 허가한 주택건설사업을 취소할 수 있다는 법원의 판단이 나왔다.

아파트	아파트/NNG
건설	건설/NNG
부지의	부지/NNG+의/JKG
80%	80/SN+%/SW
이상을	이상/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
민간	민간/NNG
건설사가	건설사/NNG+가/JKS
나머지	나머지/NNG
20%의	20/SN+%/SW+의/JKG
땅을	땅/NNG+을/JKO
확보하려고	확보/NNG+하/XSV+려고/EC
강제수용권을	강제/NNG+수용/NNG+권/XSN+을/JKO
행사하는	행사/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
땅	땅/NNG
주인의	주인/NNG+의/JKG
이익이	이익/NNG+이/JKS
현저하게	현저하/VA+게/EC
침해된다면	침해/NNG+되/XSV+ㄴ다면/EC
지방자치단체가	지방/NNG+자치/NNG+단체/NNG+가/JKS
허가한	허가/NNG+하/XSV+ㄴ/ETM
주택건설사업을	주택/NNG+건설/NNG+사업/NNG+을/JKO
취소할	취소/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
법원의	법원/NNG+의/JKG
판단이	판단/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.445.3.1
수원지법 행정2부(재판장 전광식)는 ㅈ건설사에 땅을 강제매각해야 할 처지에 놓인 조아무개(57)씨가 경기 화성시를 상대로 낸 ‘주택건설사업계획 승인처분 취소 청구소송’에서 “화성시는 주택건설사업계획 승인처분을 취소하라”며 원고 승소 판결했다고 29일 밝혔다.

수원지법	수원지법/NNP
행정2부(재판장	행정/NNG+2/SN+부/NNG+(/SS+재판장/NNG
전광식)는	전광식/NNP+)/SS+는/JX
ㅈ건설사에	ㅈ/NNG+건설사/NNG+에/JKB
땅을	땅/NNG+을/JKO
강제매각해야	강제/NNG+매각/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
처지에	처지/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
조아무개(57)씨가	조/NNP+아무개/NP+(/SS+57/SN+)/SS+씨/NNB+가/JKS
경기	경기/NNP
화성시를	화성시/NNP+를/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
