# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.412
metadata : {}


# id : NWRW1800000028.412.1.1
한국토지주택공사 /‘한마음 가족행사’로 직원 화합 유도

한국토지주택공사	한국토지주택공사/NNP
/‘한마음	//SP+‘/SS+한마음/NNG
가족행사’로	가족/NNG+행사/NNG+’/SS+로/JKB
직원	직원/NNG
화합	화합/NNG
유도	유도/NNG


# id : NWRW1800000028.412.2.1
휴일인 지난달 6일 경기 성남 분당 새도시의 한국토지주택공사(LH) 운동장은 직원과 가족들로 가득 찼다.

휴일인	휴일/NNG+이/VCP+ㄴ/ETM
지난달	지난달/NNG
6일	6/SN+일/NNB
경기	경기/NNP
성남	성남/NNP
분당	분당/NNP
새도시의	새/MMA+도시/NNG+의/JKG
한국토지주택공사(LH)	한국토지주택공사/NNP+(/SS+LH/SL+)/SS
운동장은	운동장/NNG+은/JX
직원과	직원/NNG+과/JC
가족들로	가족/NNG+들/XSN+로/JKB
가득	가득/MAG
찼다.	차/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.412.2.2
각자 준비해온 음식을 서로 나누어 먹고 풍선 터뜨리기, 오리발 뛰기 등의 게임에 다 함께 참여했다.

각자	각자/MAG
준비해온	준비/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
음식을	음식/NNG+을/JKO
서로	서로/MAG
나누어	나누/VV+어/EC
먹고	먹/VV+고/EC
풍선	풍선/NNG
터뜨리기,	터뜨리/VV+기/ETN+,/SP
오리발	오리발/NNG
뛰기	뛰/VV+기/ETN
등의	등/NNB+의/JKG
게임에	게임/NNG+에/JKB
다	다/MAG
함께	함께/MAG
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.412.3.1
이 행사는 올해로 두번째 맞는 ‘엘에이치 한마음 가족행사’다.

이	이/MMD
행사는	행사/NNG+는/JX
올해로	올해/NNG+로/JKB
두번째	두/MMN+번/NNB+째/XSN
맞는	맞/VV+는/ETM
‘엘에이치	‘/SS+엘에이치/NNP
한마음	한마음/NNG
가족행사’다.	가족/NNG+행사/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000028.412.3.2
엘에이치는 지난해 10월1일 한국토지공사와 대한주택공사가 통합해 출범한 회사다.

엘에이치는	엘에이치/NNP+는/JX
지난해	지난해/NNG
10월1일	10/SN+월/NNB+1/SN+일/NNB
한국토지공사와	한국토지공사/NNP+와/JC
대한주택공사가	대한주택공사/NNP+가/JKS
통합해	통합/NNG+하/XSV+아/EC
출범한	출범/NNG+하/XSV+ㄴ/ETM
회사다.	회사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.412.3.3
서로 경쟁했던 두 기관이 합치다 보니 처음에는 조직 융합이 가장 큰 과제였다.

서로	서로/MAG
경쟁했던	경쟁/NNG+하/XSV+았/EP+던/ETM
두	두/MMN
기관이	기관/NNG+이/JKS
합치다	합치/VV+다/EC
보니	보/VX+니/EC
처음에는	처음/NNG+에/JKB+는/JX
조직	조직/NNG
융합이	융합/NNG+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
과제였다.	과제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.412.3.4
따라서 통합하고 가장 먼저 시행한 행사가 한마음 가족행사다.

따라서	따라서/MAJ
통합하고	통합/NNG+하/XSV+고/EC
가장	가장/MAG
먼저	먼저/MAG
시행한	시행/NNG+하/XSV+ㄴ/ETM
행사가	행사/NNG+가/JKS
한마음	한마음/NNG
가족행사다.	가족/NNG+행사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.412.3.5
박성옥 엘에이치 부장은 “지금은 어디 출신인지 따지는 직원이 없다”고 말했다.

박성옥	박성옥/NNP
엘에이치	엘에이치/NNP
부장은	부장/NNG+은/JX
“지금은	“/SS+지금/NNG+은/JX
어디	어디/NP
출신인지	출신/NNG+이/VCP+ㄴ지/EF
따지는	따지/VV+는/ETM
직원이	직원/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.412.3.6
엘에이치는 출범하면서부터 기존의 금품 기부 위주의 지원에서 벗어나 인력 자원봉사 중심의 참여형 사회공헌활동도 추진해 오고 있다.

엘에이치는	엘에이치/NNP+는/JX
출범하면서부터	출범/NNG+하/XSV+면서/EC+부터/JX
기존의	기존/NNG+의/JKG
금품	금품/NNG
기부	기부/NNG
위주의	위주/NNG+의/JKG
지원에서	지원/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
인력	인력/NNG
자원봉사	자원봉사/NNG
중심의	중심/NNG+의/JKG
참여형	참여/NNG+형/XSN
사회공헌활동도	사회/NNG+공헌/NNG+활동/NNG+도/JX
추진해	추진/NNG+하/XSV+아/EC
오고	오/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.412.4.1
지난 어린이날에는 ‘엘에이치 어린이날 천사들의 축제’를 열어 주거복지사업 수혜 어린이와 인근지역 임대주택 거주 가족 등 2000여명을 초청해 색다른 즐거움을 선사했다.

지난	지나/VV+ㄴ/ETM
어린이날에는	어린이날/NNG+에/JKB+는/JX
‘엘에이치	‘/SS+엘에이치/NNP
어린이날	어린이날/NNG
천사들의	천사/NNG+들/XSN+의/JKG
축제’를	축제/NNG+’/SS+를/JKO
열어	열/VV+어/EC
주거복지사업	주거/NNG+복지/NNG+사업/NNG
수혜	수혜/NNG
어린이와	어린이/NNG+와/JC
인근지역	인근/NNG+지역/NNG
임대주택	임대/NNG+주택/NNG
거주	거주/NNG
가족	가족/NNG
등	등/NNB
2000여명을	2000/SN+여/XSN+명/NNB+을/JKO
초청해	초청/NNG+하/XSV+아/EC
색다른	색다르/VA+ㄴ/ETM
즐거움을	즐거움/NNG+을/JKO
선사했다.	선사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.412.4.2
또한 해비타트의 사랑의 집짓기에 1만 시간 봉사 참여, 사랑나눔 행복채움 한마당 행사도 진행중이다.

또한	또한/MAG
해비타트의	해비타트/NNP+의/JKG
사랑의	사랑/NNG+의/JKG
집짓기에	집/NNG+짓/VV+기/ETN+에/JKB
1만	1/SN+만/NR
시간	시간/NNB
봉사	봉사/NNG
참여,	참여/NNG+,/SP
사랑나눔	사랑/NNG+나누/VV+ㅁ/ETN
행복채움	행복/NNG+채우/VV+ㅁ/ETN
한마당	한/XPN+마당/NNG
행사도	행사/NNG+도/JX
진행중이다.	진행/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.412.4.3
10월1일 창립기념일에는 이지송 사장을 비롯한 1000여명의 임직원이 서울 신월동 수해 복구 현장을 찾았다.

10월1일	10/SN+월/NNB+1/SN+일/NNB
창립기념일에는	창립/NNG+기념일/NNG+에/JKB+는/JX
이지송	이지송/NNP
사장을	사장/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
1000여명의	1000/SN+여/XSN+명/NNB+의/JKG
임직원이	임직원/NNG+이/JKS
서울	서울/NNP
신월동	신월동/NNP
수해	수해/NNG
복구	복구/NNG
현장을	현장/NNG+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.412.4.4
처음 맞는 생일임에도 기존의 휴무 관행에서 탈피해 의미 있는 행사로 사회공헌활동을 선택한 것이다.

처음	처음/NNG
맞는	맞/VV+는/ETM
생일임에도	생일/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
기존의	기존/NNG+의/JKG
휴무	휴무/NNG
관행에서	관행/NNG+에서/JKB
탈피해	탈피/NNG+하/XSV+아/EC
의미	의미/NNG
있는	있/VA+는/ETM
행사로	행사/NNG+로/JKB
사회공헌활동을	사회/NNG+공헌/NNG+활동/NNG+을/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.412.4.5
행사에 참여한 한 직원은 “함께 땀 흘리며 협력하는 과정에서 직원 화합이 저절로 된 것이 더 큰 만족이었다”고 말했다.

행사에	행사/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
한	한/MMN
직원은	직원/NNG+은/JX
“함께	“/SS+함께/MAG
땀	땀/NNG
흘리며	흘리/VV+며/EC
협력하는	협력/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
직원	직원/NNG
화합이	화합/NNG+이/JKS
저절로	저절로/MAG
된	되/VV+ㄴ/ETM
것이	것/NNB+이/JKS
더	더/MAG
큰	크/VA+ㄴ/ETM
만족이었다”고	만족/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


