# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.313
metadata : {}


# id : NWRW1800000048.313.1.1
서울시, 법인 세무조사 방식 확 바꾼다

서울시,	서울시/NNP+,/SP
법인	법인/NNG
세무조사	세무/NNG+조사/NNG
방식	방식/NNG
확	확/MAG
바꾼다	바꾸/VV+ㄴ다/EF


# id : NWRW1800000048.313.2.1
외부 전문가 등 선정단서 대상 선정

외부	외부/NNG
전문가	전문가/NNG
등	등/NNB
선정단서	선정단/NNG+서/JKB
대상	대상/NNG
선정	선정/NNG


# id : NWRW1800000048.313.3.1
인터넷서 진행상황 파악할 수 있게

인터넷서	인터넷/NNG+서/JKB
진행상황	진행/NNG+상황/NNG
파악할	파악/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC


# id : NWRW1800000048.313.4.1
과세 전 적부심사 거치게 하기로

과세	과세/NNG
전	전/NNG
적부심사	적부/NNG+심사/NNG
거치게	거치/VV+게/EC
하기로	하/VX+기/ETN+로/JKB


# id : NWRW1800000048.313.5.1
억울한 가산세 없게 지침 마련도

억울한	억울/NNG+하/XSA+ㄴ/ETM
가산세	가산세/NNG
없게	없/VA+게/EC
지침	지침/NNG
마련도	마련/NNG+도/JX


# id : NWRW1800000048.313.6.1
젊을 때 집을 나온 김아무개씨는 2011년 부동산 취득세와 가산세 등 4700여만원을 내라는 고지서를 받았다.

젊을	젊/VA+을/ETM
때	때/NNG
집을	집/NNG+을/JKO
나온	나오/VV+ㄴ/ETM
김아무개씨는	김/NNP+아무개/NP+씨/NNB+는/JX
2011년	2011/SN+년/NNB
부동산	부동산/NNG
취득세와	취득세/NNG+와/JC
가산세	가산세/NNG
등	등/NNB
4700여만원을	4700/SN+여/XSN+만/NR+원/NNB+을/JKO
내라는	내/VV+라는/ETM
고지서를	고지서/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.313.6.2
2년 전 어머니가 사망하면서 이미 돌아가신 아버지의 아파트를 2순위 상속권자인 김씨가 상속받았지만 취득세를 제때 내지 않았다며 세무서가 가산세까지 부과한 것이다.

2년	2/SN+년/NNB
전	전/NNG
어머니가	어머니/NNG+가/JKS
사망하면서	사망/NNG+하/XSV+면서/EC
이미	이미/MAG
돌아가신	돌아가/VV+시/EP+ㄴ/ETM
아버지의	아버지/NNG+의/JKG
아파트를	아파트/NNG+를/JKO
2순위	2/SN+순위/NNG
상속권자인	상속권자/NNG+이/VCP+ㄴ/ETM
김씨가	김/NNP+씨/NNB+가/JKS
상속받았지만	상속/NNG+받/XSV+았/EP+지만/EC
취득세를	취득세/NNG+를/JKO
제때	제때/NNG
내지	내/VV+지/EC
않았다며	않/VX+았/EP+다며/EC
세무서가	세무서/NNG+가/JKS
가산세까지	가산세/NNG+까지/JX
부과한	부과/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.313.7.1
부모의 죽음을 몰랐던 김씨는 가산세 부과가 억울하다며 행정심판을 제기했고, 2012년 서울행정법원은 상속 개시를 안 날로부터 6개월이 지나지 않았기 때문에 가산세 1100여만원은 내지 않아도 된다고 판결했다.

부모의	부모/NNG+의/JKG
죽음을	죽음/NNG+을/JKO
몰랐던	모르/VV+았/EP+던/ETM
김씨는	김/NNP+씨/NNB+는/JX
가산세	가산세/NNG
부과가	부과/NNG+가/JKS
억울하다며	억울/NNG+하/XSA+다며/EC
행정심판을	행정/NNG+심판/NNG+을/JKO
제기했고,	제기/NNG+하/XSV+았/EP+고/EC+,/SP
2012년	2012/SN+년/NNB
서울행정법원은	서울행정법원/NNP+은/JX
상속	상속/NNG
개시를	개시/NNG+를/JKO
안	안/MAG
날로부터	날/NNG+로부터/JKB
6개월이	6/SN+개월/NNB+이/JKS
지나지	지나/VV+지/EC
않았기	않/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
1100여만원은	1100/SN+여/XSN+만/NR+원/NNB+은/JX
내지	내/VV+지/EC
않아도	않/VX+아도/EC
된다고	되/VV+ㄴ다고/EC
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.313.7.2
하지만 이 때문에 버린 시간과 상처는 보상받지 못했다.

하지만	하지만/MAJ
이	이/MMD
때문에	때문/NNB+에/JKB
버린	버리/VV+ㄴ/ETM
시간과	시간/NNG+과/JC
상처는	상처/NNG+는/JX
보상받지	보상/NNG+받/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.313.8.1
