# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.411
metadata : {}


# id : NWRW1800000038.411.1.1
[靑·與·野 3자회담] 경제·민생 관련 현안

[靑·與·野	[/SS+靑/SH+·/SP+與/SH+·/SP+野/SH
3자회담]	3/SN+자/NNB+회담/NNG+]/SS
경제·민생	경제/NNG+·/SP+민생/NNG
관련	관련/NNG
현안	현안/NNG


# id : NWRW1800000038.411.2.1
金 "부자감세만 철회해도 5년간 50조원 마련", 朴 "법인세율 인상 안 된다는 것은 내 소신"

金	金/SH
"부자감세만	"/SS+부자/NNG+감세/NNG+만/JX
철회해도	철회/NNG+하/XSV+아도/EC
5년간	5/SN+년/NNB+간/XSN
50조원	50/SN+조/NR+원/NNB
마련",	마련/NNG+"/SS+,/SP
朴	朴/SH
"법인세율	"/SS+법인세/NNG+율/XSN
인상	인상/NNG
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
내	나/NP+의/JKG
소신"	소신/NNG+"/SS


# id : NWRW1800000038.411.3.1
16일 회담에서 박근혜 대통령과 김한길 민주당 대표는 경제와 민생 관련 현안에 대해서도 견해차를 드러냈다.

16일	16/SN+일/NNB
회담에서	회담/NNG+에서/JKB
박근혜	박근혜/NNP
대통령과	대통령/NNG+과/JC
김한길	김한길/NNP
민주당	민주당/NNP
대표는	대표/NNG+는/JX
경제와	경제/NNG+와/JC
민생	민생/NNG
관련	관련/NNG
현안에	현안/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
견해차를	견해차/NNG+를/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.411.3.2
김 대표가 "부자 감세만 철회해도 50조원을 마련할 수 있다"고 주장하자 박 대통령은 "법인세 인상은 경제에 악영향을 미치기 때문에 바람직하지 않다"고 했다.

김	김/NNP
대표가	대표/NNG+가/JKS
"부자	"/SS+부자/NNG
감세만	감세/NNG+만/JX
철회해도	철회/NNG+하/XSV+아도/EC
50조원을	50/SN+조/NR+원/NNB+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
주장하자	주장/NNG+하/XSV+자/EC
박	박/NNP
대통령은	대통령/NNG+은/JX
"법인세	"/SS+법인세/NNG
인상은	인상/NNG+은/JX
경제에	경제/NNG+에/JKB
악영향을	악영향/NNG+을/JKO
미치기	미치/VV+기/ETN
때문에	때문/NNB+에/JKB
바람직하지	바람직하/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.411.4.1
◇증세 및 세제 관련

◇증세	◇/SW+증세/NNG
및	및/MAG
세제	세제/NNG
관련	관련/NNG


# id : NWRW1800000038.411.5.1
박근혜 대통령=세출 구조조정과 비과세 축소로 복지 재원을 마련하고 그래도 부족하면 국민 공감대 하에 증세도 할 수 있다.

박근혜	박근혜/NNP
대통령=세출	대통령/NNG+=/SW+세출/NNG
구조조정과	구조/NNG+조정/NNG+과/JC
비과세	비/XPN+과세/NNG
축소로	축소/NNG+로/JKB
복지	복지/NNG
재원을	재원/NNG+을/JKO
마련하고	마련/NNG+하/XSV+고/EC
그래도	그러/VV+어도/EC
부족하면	부족/NNG+하/XSA+면/EC
국민	국민/NNG
공감대	공감대/NNG
하에	하/XSN+에/JKB
증세도	증세/NNG+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.411.5.2
지금 정부의 방침은 서민과 중산층의 부담을 덜어주고 고소득층의 부담을 늘려서 그 재원으로 저소득층의 세 부담을 경감시켜주고 복지에 충당하는 것이다.

지금	지금/MAG
정부의	정부/NNG+의/JKG
방침은	방침/NNG+은/JX
서민과	서민/NNG+과/JC
중산층의	중산/NNG+층/XSN+의/JKG
부담을	부담/NNG+을/JKO
덜어주고	덜/VV+어/EC+주/VX+고/EC
고소득층의	고/XPN+소득/NNG+층/XSN+의/JKG
늘려서	늘리/VV+어서/EC
그	그/MMD
재원으로	재원/NNG+으로/JKB
저소득층의	저/XPN+소득/NNG+층/XSN+의/JKG
세	세/NNG
경감시켜주고	경감/NNG+시키/XSV+어/EC+주/VX+고/EC
복지에	복지/NNG+에/JKB
충당하는	충당/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.411.5.3
(새누리당)

(새누리당)	(/SS+새누리당/NNP+)/SS


# id : NWRW1800000038.411.6.1
김한길 대표=MB 정부 때 부자 감세한 것을 원상회복하는 것이 급하지 않으냐.(새)

김한길	김한길/NNP
대표=MB	대표/NNG+=/SW+MB/SL
정부	정부/NNG
때	때/NNG
부자	부자/NNG
감세한	감세/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
원상회복하는	원상회복/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
급하지	급하/VA+지/EC
않으냐.(새)	않/VX+으냐/EF+./SF+(/SS+새/NNP+)/SS


# id : NWRW1800000038.411.7.1
박=MB 정부 때도 고소득층 감세는 없었다.

박=MB	박/NNP+=/SW+MB/SL
정부	정부/NNG
때도	때/NNG+도/JX
고소득층	고/XPN+소득/NNG+층/XSN
감세는	감세/NNG+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.411.7.2
(새)

(새)	(/SS+새/NNP+)/SS


# id : NWRW1800000038.411.8.1
김=세법 개정안, 그건 철학의 문제다.

김=세법	김/NNP+=/SW+세법/NNG
개정안,	개정안/NNG+,/SP
그건	그거/NP+ㄴ/JX
철학의	철학/NNG+의/JKG
문제다.	문제/NNG+이/VCP+다/EF+./SF


