# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.375
metadata : {}


# id : NWRW1800000029.375.1.1
“남북협력기금에 세금 추가… 통일재원 ‘20조원+α’ 마련”

“남북협력기금에	“/SS+남북협력기금/NNP+에/JKB
세금	세금/NNG
추가…	추가/NNG+…/SE
통일재원	통일/NNG+재원/NNG
‘20조원+α’	‘/SS+20/SN+조/NR+원/NNB++/SW+α/SW+’/SS
마련”	마련/NNG+”/SS


# id : NWRW1800000029.375.2.1
통일부가 통일재원을 마련하기 위한 방안으로 ‘남북협력기금+세금’ 방식을 사실상 확정했다.

통일부가	통일부/NNG+가/JKS
통일재원을	통일/NNG+재원/NNG+을/JKO
마련하기	마련/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
방안으로	방안/NNG+으로/JKB
‘남북협력기금+세금’	‘/SS+남북협력기금/NNP++/SW+세금/NNG+’/SS
방식을	방식/NNG+을/JKO
사실상	사실/NNG+상/XSN
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.375.2.2
그러나 통일재원의 규모와 이를 확보하기 위한 구체적인 방식, 발표 시기 등을 놓고 정부 내에서조차 의견이 엇갈려 최종 합의에 난항을 겪고 있는 것으로 알려졌다.

그러나	그러나/MAJ
통일재원의	통일/NNG+재원/NNG+의/JKG
규모와	규모/NNG+와/JC
이를	이/NP+를/JKO
확보하기	확보/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
방식,	방식/NNG+,/SP
발표	발표/NNG
시기	시기/NNG
등을	등/NNB+을/JKO
놓고	놓/VV+고/EC
정부	정부/NNG
내에서조차	내/NNB+에서/JKB+조차/JX
의견이	의견/NNG+이/JKS
엇갈려	엇갈리/VV+어/EC
최종	최종/NNG
합의에	합의/NNG+에/JKB
난항을	난항/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.375.3.1
○ 기금과 세금 동시 활용 방안

○	○/SW
기금과	기금/NNG+과/JC
세금	세금/NNG
동시	동시/NNG
활용	활용/NNG
방안	방안/NNG


# id : NWRW1800000029.375.4.1
정부 고위 당국자는 15일 경의선 남북출입사무소(CIQ)에서 열린 기자간담회에서 “통일재원 마련 방안이 거의 (완성)됐다”며 “정부 내 협의에 필요한 절차들을 밟아 3∼4주 내 발표할 목표로 작업을 하고 있다”고 밝혔다.

정부	정부/NNG
고위	고위/NNG
당국자는	당국자/NNG+는/JX
15일	15/SN+일/NNB
경의선	경의선/NNP
남북출입사무소(CIQ)에서	남북출입사무소/NNP+(/SS+CIQ/SL+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“통일재원	“/SS+통일/NNG+재원/NNG
마련	마련/NNG
방안이	방안/NNG+이/JKS
거의	거의/MAG
(완성)됐다”며	(/SS+완성/NNG+)/SS+되/XSV+었/EP+다/EF+”/SS+며/EC
“정부	“/SS+정부/NNG
내	내/NNB
협의에	협의/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
절차들을	절차/NNG+들/XSN+을/JKO
밟아	밟/VV+아/EC
3∼4주	3/SN+∼/SO+4/SN+주/NNB
발표할	발표/NNG+하/XSV+ㄹ/ETM
목표로	목표/NNG+로/JKB
작업을	작업/NNG+을/JKO
하고	하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.375.5.1
그는 재원 마련 방식에 대해 “두 가지 정도를 생각하고 있다”며 “우선 남북협력기금을 어떻게 활용하느냐 하는 문제를 고민하고 있다”고 말했다.

그는	그/NP+는/JX
재원	재원/NNG
마련	마련/NNG
방식에	방식/NNG+에/JKB
대해	대하/VV+아/EC
“두	“/SS+두/MMN
가지	가지/NNB
정도를	정도/NNG+를/JKO
생각하고	생각/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“우선	“/SS+우선/MAG
남북협력기금을	남북협력기금/NNP+을/JKO
어떻게	어떻/VA+게/EC
활용하느냐	활용/NNG+하/XSV+느냐/EF
하는	하/VV+는/ETM
문제를	문제/NNG+를/JKO
고민하고	고민/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.375.5.2
그동안 정부 내에서는 1조1000억 원대인 남북협력기금 중 집행되지 않은 채 불용액으로 매년 국고에 반환하는 1조 원가량을 통일재원으로 적립하고, 다음 연도의 기금은 별도로 편성하는 방안이 거론돼 왔다.

그동안	그동안/NNG
정부	정부/NNG
내에서는	내/NNB+에서/JKB+는/JX
1조1000억	1/SN+조/NR+1000/SN+억/NR
원대인	원/NNB+대/XSN+이/VCP+ㄴ/ETM
남북협력기금	남북협력기금/NNP
중	중/NNB
집행되지	집행/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
불용액으로	불용액/NNG+으로/JKB
매년	매년/MAG
