# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.41
metadata : {}


# id : NWRW1800000056.41.1.1
[단독] 주요 재벌 총수들 대거 중국 경제사절단 참석

[단독]	[/SS+단독/NNG+]/SS
주요	주요/NNG
재벌	재벌/NNG
총수들	총수/NNG+들/XSN
대거	대거/MAG
중국	중국/NNP
경제사절단	경제/NNG+사절단/NNG
참석	참석/NNG


# id : NWRW1800000056.41.2.1
[한겨레] SK 최태원·한화 김승연·두산 박정원·LS 구자열 회장 신청

[한겨레]	[/SS+한겨레/NNP+]/SS
SK	SK/SL
최태원·한화	최태원/NNP+·/SP+한화/NNP
김승연·두산	김승연/NNP+·/SP+두산/NNP
박정원·LS	박정원/NNP+·/SP+LS/SL
구자열	구자열/NNP
회장	회장/NNG
신청	신청/NNG


# id : NWRW1800000056.41.3.1
‘총수 유고’ 삼성 윤부근·현대차 정의선·LG 구본준 참석

‘총수	‘/SS+총수/NNG
유고’	유고/NNG+’/SS
삼성	삼성/NNP
윤부근·현대차	윤부근/NNP+·/SP+현대차/NNP
정의선·LG	정의선/NNP+·/SP+LG/SL
구본준	구본준/NNP
참석	참석/NNG


# id : NWRW1800000056.41.4.1
롯데, 재판 중인 신동빈 회장 대신 이원준 부회장 대참

롯데,	롯데/NNP+,/SP
재판	재판/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
신동빈	신동빈/NNP
회장	회장/NNG
대신	대신/NNG
이원준	이원준/NNP
부회장	부회장/NNG
대참	대참/NNG


# id : NWRW1800000056.41.5.1
미국·인니 사절단 참석 못한 포스코·KT 전문경영인 신청

미국·인니	미국/NNP+·/SP+인니/NNP
사절단	사절단/NNG
참석	참석/NNG
못한	못/MAG+하/VV+ㄴ/ETM
포스코·KT	포스코/NNP+·/SP+KT/SL
전문경영인	전문/NNG+경영인/NNG
신청	신청/NNG


# id : NWRW1800000056.41.6.1
문재인 대통령의 중국 방문에 주요 그룹 재벌 총수들이 포함된 대규모 중국 경제사절단이 동행한다.

문재인	문재인/NNP
대통령의	대통령/NNG+의/JKG
중국	중국/NNP
방문에	방문/NNG+에/JKB
주요	주요/NNG
그룹	그룹/NNG
재벌	재벌/NNG
총수들이	총수/NNG+들/XSN+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
대규모	대/XPN+규모/NNG
경제사절단이	경제/NNG+사절단/NNG+이/JKS
동행한다.	동행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.41.6.2
재벌 총수들의 경제사절단 참가는 지난 6월 미국에 이어 두번째다.

재벌	재벌/NNG
총수들의	총수/NNG+들/XSN+의/JKG
경제사절단	경제/NNG+사절단/NNG
