# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.8
metadata : {}


# id : NWRW1800000030.8.1.1
위키리크스, 스위스은행 비밀 거래 폭로 예고

위키리크스,	위키리크스/NNP+,/SP
스위스은행	스위스/NNP+은행/NNG
비밀	비밀/NNG
거래	거래/NNG
폭로	폭로/NNG
예고	예고/NNG


# id : NWRW1800000030.8.2.1
•각국 유력 정치인 40명도 포함 '핵폭풍'

•각국	•/SW+각국/NNG
유력	유력/NNG
정치인	정치인/NNG
40명도	40/SN+명/NNB+도/JX
포함	포함/NNG
'핵폭풍'	'/SS+핵/NNG+폭풍/NNG+'/SS


# id : NWRW1800000030.8.3.1
'드디어 올 것이 왔다.'

'드디어	'/SS+드디어/MAG
올	오/VV+ㄹ/ETM
것이	것/NNB+이/JKS
왔다.'	오/VV+았/EP+다/EF+./SF+'/SS


# id : NWRW1800000030.8.4.1
국제적인 조세피난처 영국령 케이맨군도에서 비밀을 원하는 고객들의 돈 거래를 도맡았던 스위스 은행 간부가 폭로사이트 위키리크스와 손잡고 고객 2000여명에 관한 정보를 폭로할 예정이어서 각국 재계·금융계·정계 인사들이 바짝 긴장하고 있다.

국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
조세피난처	조세/NNG+피난처/NNG
영국령	영국령/NNG
케이맨군도에서	케이맨군도/NNP+에서/JKB
비밀을	비밀/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
고객들의	고객/NNG+들/XSN+의/JKG
돈	돈/NNG
거래를	거래/NNG+를/JKO
도맡았던	도맡/VV+았/EP+던/ETM
스위스	스위스/NNP
은행	은행/NNG
간부가	간부/NNG+가/JKS
폭로사이트	폭로/NNG+사이트/NNG
위키리크스와	위키리크스/NNP+와/JKB
손잡고	손잡/VV+고/EC
고객	고객/NNG
2000여명에	2000/SN+여/XSN+명/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
폭로할	폭로/NNG+하/XSV+ㄹ/ETM
예정이어서	예정/NNG+이/VCP+어서/EC
각국	각국/NNG
재계·금융계·정계	재계/NNG+·/SP+금융/NNG+계/XSN+·/SP+정계/NNG
인사들이	인사/NNG+들/XSN+이/JKS
바짝	바짝/MAG
긴장하고	긴장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.8.5.1
2000년대 중반까지 스위스에 본사를 둔 '율리우스 바에르'은행에서 근무했던 루돌프 엘머는 지난 2007년 신생조직이었던 위키리크스에 자사 고객 명단을 넘겨 전 세계의 주목을 받았던 인물.

2000년대	2000/SN+년대/NNB
중반까지	중반/NNG+까지/JX
스위스에	스위스/NNP+에/JKB
본사를	본사/NNG+를/JKO
둔	두/VV+ㄴ/ETM
'율리우스	'/SS+율리우스/NNP
바에르'은행에서	바에르/NNP+'/SS+은행/NNG+에서/JKB
근무했던	근무/NNG+하/XSV+았/EP+던/ETM
루돌프	루돌프/NNP
엘머는	엘머/NNP+는/JX
지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
신생조직이었던	신생/NNG+조직/NNG+이/VCP+었/EP+던/ETM
위키리크스에	위키리크스/NNP+에/JKB
자사	자사/NNG
고객	고객/NNG
명단을	명단/NNG+을/JKO
넘겨	넘기/VV+어/EC
전	전/MMN
세계의	세계/NNG+의/JKG
주목을	주목/NNG+을/JKO
받았던	받/VV+았/EP+던/ETM
인물.	인물/NNG+./SF


# id : NWRW1800000030.8.5.2
그동안 모리셔스에서 생활해왔다.

그동안	그동안/NNG
모리셔스에서	모리셔스/NNP+에서/JKB
생활해왔다.	생활/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.8.5.3
그는 오는 19일 금융비밀법 위반 혐의로 스위스 취리히 법정에 설 예정이며, 유죄 판결을 받을 경우 최소 3년형에 처해질 수 있다.

그는	그/NP+는/JX
오는	오/VV+는/ETM
19일	19/SN+일/NNB
금융비밀법	금융/NNG+비밀/NNG+법/NNG
위반	위반/NNG
혐의로	혐의/NNG+로/JKB
스위스	스위스/NNP
취리히	취리히/NNP
법정에	법정/NNG+에/JKB
설	서/VV+ㄹ/ETM
예정이며,	예정/NNG+이/VCP+며/EC+,/SP
유죄	유죄/NNG
판결을	판결/NNG+을/JKO
받을	받/VV+을/ETM
경우	경우/NNG
최소	최소/NNG
3년형에	3/SN+년/NNB+형/NNG+에/JKB
처해질	처하/VV+아/EC+지/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.8.6.1
엘머는 스위스 신문 존타그와의 인터뷰에서 "법의 보호 뒤에 숨어서 누가 어떻게 탈세를 저질렀는지 밝힐 예정"이라고 말했다.

엘머는	엘머/NNP+는/JX
스위스	스위스/NNP
신문	신문/NNG
존타그와의	존타그/NNP+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
"법의	"/SS+법/NNG+의/JKG
보호	보호/NNG
뒤에	뒤/NNG+에/JKB
숨어서	숨/VV+어서/EC
누가	누구/NP+가/JKS
어떻게	어떻/VA+게/EC
탈세를	탈세/NNG+를/JKO
저질렀는지	저지르/VV+었/EP+는지/EF
밝힐	밝히/VV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.8.6.2
