# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.412
metadata : {}


# id : NWRW1800000030.412.1.1
[서울] 서울 자장면, 제주 삼겹살 제일 비싸

[서울]	[/SS+서울/NNP+]/SS
서울	서울/NNP
자장면,	자장면/NNG+,/SP
제주	제주/NNP
삼겹살	삼겹살/NNG
제일	제일/MAG
비싸	비싸/VA+아/EF


# id : NWRW1800000030.412.2.1
•전국 10개 생활품 가격 비교

•전국	•/SW+전국/NNG
10개	10/SN+개/NNB
생활품	생활품/NNG
가격	가격/NNG
비교	비교/NNG


# id : NWRW1800000030.412.3.1
삼겹살·돼지갈비는 제주도가 가장 비싸고 김치찌개·된장찌개는 전남, 자장면은 서울, 설렁탕은 부산에서 가격이 높은 것으로 나타났다.

삼겹살·돼지갈비는	삼겹살/NNG+·/SP+돼지갈비/NNG+는/JX
제주도가	제주도/NNP+가/JKS
가장	가장/MAG
비싸고	비싸/VA+고/EC
김치찌개·된장찌개는	김치찌개/NNG+·/SP+된장찌개/NNG+는/JX
전남,	전남/NNP+,/SP
자장면은	자장면/NNG+은/JX
서울,	서울/NNP+,/SP
설렁탕은	설렁탕/NNG+은/JX
부산에서	부산/NNP+에서/JKB
가격이	가격/NNG+이/JKS
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.412.4.1
이 같은 결과는 행정안전부가 전국 65개 시·구 2318개 업소를 대상으로 조사, 25일 공개한 서민생활 10개 품목 가격 비교표(평균)에 따른 것이다.

이	이/NP
같은	같/VA+은/ETM
결과는	결과/NNG+는/JX
행정안전부가	행정/NNG+안전부/NNG+가/JKS
전국	전국/NNG
65개	65/SN+개/NNB
시·구	시/NNG+·/SP+구/NNG
2318개	2318/SN+개/NNB
업소를	업소/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
조사,	조사/NNG+,/SP
25일	25/SN+일/NNB
공개한	공개/NNG+하/XSV+ㄴ/ETM
서민생활	서민/NNG+생활/NNG
10개	10/SN+개/NNB
품목	품목/NNG
가격	가격/NNG
비교표(평균)에	비교표/NNG+(/SS+평균/NNG+)/SS+에/JKB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.412.4.2
조사 대상은 공공요금, 외식비용, 채소 등 10개 품목이다.

조사	조사/NNG
대상은	대상/NNG+은/JX
공공요금,	공공요금/NNG+,/SP
외식비용,	외식/NNG+비용/NNG+,/SP
채소	채소/NNG
등	등/NNB
10개	10/SN+개/NNB
품목이다.	품목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.412.5.1
삼겹살은 제주(1만1800원) 다음으로 인천(1만960원), 전북(1만667원) 순으로 비쌌고 대구(7533원)가 가장 쌌다.

삼겹살은	삼겹살/NNG+은/JX
제주(1만1800원)	제주/NNP+(/SS+1/SN+만/NR+1800/SN+원/NNB+)/SS
다음으로	다음/NNG+으로/JKB
인천(1만960원),	인천/NNP+(/SS+1/SN+만/NR+960/SN+원/NNB+)/SS+,/SP
전북(1만667원)	전북/NNP+(/SS+1/SN+만/NR+667/SN+원/NNB+)/SS
순으로	순/NNB+으로/JKB
비쌌고	비싸/VA+았/EP+고/EC
대구(7533원)가	대구/NNP+(/SS+7533/SN+원/NNB+)/SS+가/JKS
가장	가장/MAG
쌌다.	싸/VA+았/EP+다/EF+./SF


# id : NWRW1800000030.412.5.2
돼지갈비 가격은 제주(1만1222원), 충남(1만967원), 인천(1만833원)이 높았고 대구(6733원), 경북(6760원)이 낮았다.

돼지갈비	돼지갈비/NNG
가격은	가격/NNG+은/JX
제주(1만1222원),	제주/NNP+(/SS+1/SN+만/NR+1222/SN+원/NNB+)/SS+,/SP
충남(1만967원),	충남/NNP+(/SS+1/SN+만/NR+967/SN+원/NNB+)/SS+,/SP
인천(1만833원)이	인천/NNP+(/SS+1/SN+만/NR+833/SN+원/NNB+)/SS+이/JKS
높았고	높/VA+았/EP+고/EC
대구(6733원),	대구/NNP+(/SS+6733/SN+원/NNB+)/SS+,/SP
경북(6760원)이	경북/NNP+(/SS+6760/SN+원/NNB+)/SS+이/JKS
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000030.412.5.3
삼겹살과 돼지갈비는 1인분을 기준으로 조사했으나, 1인분이 지역마다 120~350g으로 각각 달라 이를 다시 200g으로 환산하면 삼겹살은 인천·제주·서울, 돼지갈비는 인천·광주·전남 순으로 비쌌다.

삼겹살과	삼겹살/NNG+과/JC
돼지갈비는	돼지갈비/NNG+는/JX
1인분을	1/SN+인분/NNB+을/JKO
기준으로	기준/NNG+으로/JKB
조사했으나,	조사/NNG+하/XSV+았/EP+으나/EC+,/SP
1인분이	1/SN+인분/NNB+이/JKS
지역마다	지역/NNG+마다/JX
120~350g으로	120/SN+~/SO+350/SN+g/SW+으로/JKB
각각	각각/MAG
달라	다르/VA+아/EC
이를	이/NP+를/JKO
다시	다시/MAG
200g으로	200/SN+g/SW+으로/JKB
환산하면	환산/NNG+하/XSV+면/EC
삼겹살은	삼겹살/NNG+은/JX
인천·제주·서울,	인천/NNP+·/SP+제주/NNP+·/SP+서울/NNP+,/SP
인천·광주·전남	인천/NNP+·/SP+광주/NNP+·/SP+전남/NNP
순으로	순/NNB+으로/JKB
비쌌다.	비싸/VA+았/EP+다/EF+./SF


# id : NWRW1800000030.412.6.1
설렁탕 한 그릇은 부산이 가장 비싸 7000원, 대전이 가장 싸 5967원이었다.

설렁탕	설렁탕/NNG
한	한/MMN
그릇은	그릇/NNG+은/JX
부산이	부산/NNP+이/JKS
가장	가장/MAG
비싸	비싸/VA+아/EC
7000원,	7000/SN+원/NNB+,/SP
대전이	대전/NNP+이/JKS
싸	싸/VV+아/EC
5967원이었다.	5967/SN+원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.412.6.2
김치찌개와 된장찌개는 전남이 각각 5760원과 5740원으로 최고가, 대구가 둘 다 4667원으로 최저가를 기록했다.

김치찌개와	김치찌개/NNG+와/JC
된장찌개는	된장찌개/NNG+는/JX
전남이	전남/NNP+이/JKS
각각	각각/MAG
5760원과	5760/SN+원/NNB+과/JC
5740원으로	5740/SN+원/NNB+으로/JKB
최고가,	최고/NNG+가/XSN+,/SP
대구가	대구/NNP+가/JKS
둘	둘/NR
다	다/MAG
4667원으로	4667/SN+원/NNB+으로/JKB
최저가를	최저/NNG+가/XSN+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.412.6.3
자장면은 서울이 4263원으로 1위, 제주가 3550원으로 최하위였다.

자장면은	자장면/NNG+은/JX
서울이	서울/NNP+이/JKS
4263원으로	4263/SN+원/NNB+으로/JKB
1위,	1/SN+위/NNB+,/SP
제주가	제주/NNP+가/JKS
3550원으로	3550/SN+원/NNB+으로/JKB
최하위였다.	최/XPN+하위/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.412.7.1
배추와 무는 전통시장이 아닌 마트를 대상으로 조사했다.

배추와	배추/NNG+와/JC
무는	무/NNG+는/JX
전통시장이	전통/NNG+시장/NNG+이/JKS
