# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.443
metadata : {}


# id : NWRW1800000028.443.1.1
몸낮춘 오바마 ‘부자감세 2년 더’

몸낮춘	몸/NNG+낮추/VV+ㄴ/ETM
오바마	오바마/NNP
‘부자감세	‘/SS+부자/NNG+감세/NNG
2년	2/SN+년/NNB
더’	더/MAG+’/SS


# id : NWRW1800000028.443.2.1
부자 감세 연장 논란을 불러왔던 미국의 감세 연장 법안이 16일 마지막 관문인 하원을 통과했다.

부자	부자/NNG
감세	감세/NNG
연장	연장/NNG
논란을	논란/NNG+을/JKO
불러왔던	불러오/VV+았/EP+던/ETM
미국의	미국/NNP+의/JKG
법안이	법안/NNG+이/JKS
16일	16/SN+일/NNB
마지막	마지막/NNG
관문인	관문/NNG+이/VCP+ㄴ/ETM
하원을	하원/NNG+을/JKO
통과했다.	통과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.443.3.1
미국 하원은 이날 자정 직전 이달 말로 만료 예정이었던 조지 부시 전임 대통령 시절 시행된 감세조처를 2년 더 연장하고 지난달 만료된 실업수당의 지급을 내년 말까지 연장하는 것 등을 내용으로 한 감세 연장 법안을 찬성 227표 대 반대 148표로 가결했다.

미국	미국/NNP
하원은	하원/NNG+은/JX
이날	이날/NNG
자정	자정/NNG
직전	직전/NNG
이달	이달/NNG
말로	말/NNB+로/JKB
만료	만료/NNG
예정이었던	예정/NNG+이/VCP+었/EP+던/ETM
조지	조지/NNP
부시	부시/NNP
전임	전임/NNG
대통령	대통령/NNG
시절	시절/NNG
시행된	시행/NNG+되/XSV+ㄴ/ETM
감세조처를	감세/NNG+조처/NNG+를/JKO
2년	2/SN+년/NNB
더	더/MAG
연장하고	연장/NNG+하/XSV+고/EC
지난달	지난달/NNG
만료된	만료/NNG+되/XSV+ㄴ/ETM
실업수당의	실업/NNG+수당/NNG+의/JKG
지급을	지급/NNG+을/JKO
내년	내년/NNG
말까지	말/NNB+까지/JX
연장하는	연장/NNG+하/XSV+는/ETM
것	것/NNB
등을	등/NNB+을/JKO
내용으로	내용/NNG+으로/JKB
한	하/VV+ㄴ/ETM
감세	감세/NNG
연장	연장/NNG
법안을	법안/NNG+을/JKO
찬성	찬성/NNG
227표	227/SN+표/NNG
대	대/NNB
반대	반대/NNG
148표로	148/SN+표/NNG+로/JKB
가결했다.	가결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.443.3.2
