# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.180
metadata : {}


# id : NWRW1800000024.180.1.1
이 슬픔의 정체는 무엇인가

이	이/MMD
슬픔의	슬픔/NNG+의/JKG
정체는	정체/NNG+는/JX
무엇인가	무엇/NP+이/VCP+ㄴ가/EF


# id : NWRW1800000024.180.2.1
중견기업 사장인 이아무개(45)씨.

중견기업	중견/NNG+기업/NNG
사장인	사장/NNG+이/VCP+ㄴ/ETM
이아무개(45)씨.	이/NNP+아무개/NP+(/SS+45/SN+)/SS+씨/NNB+./SF


# id : NWRW1800000024.180.2.2
그는 최근 눈물을 흘리는 일이 많아졌다.

그는	그/NP+는/JX
최근	최근/NNG
눈물을	눈물/NNG+을/JKO
흘리는	흘리/VV+는/ETM
일이	일/NNG+이/JKS
많아졌다.	많아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.180.2.3
지난 23일 노무현 전 대통령의 서거 소식을 접한 뒤 신문이나 방송 뉴스를 볼 때면 “그냥 눈물이 난다”고 했다.

지난	지나/VV+ㄴ/ETM
23일	23/SN+일/NNB
노무현	노무현/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
서거	서거/NNG
소식을	소식/NNG+을/JKO
접한	접하/VV+ㄴ/ETM
뒤	뒤/NNG
신문이나	신문/NNG+이나/JC
방송	방송/NNG
뉴스를	뉴스/NNG+를/JKO
볼	보/VV+ㄹ/ETM
때면	때/NNG+이/VCP+면/EC
“그냥	“/SS+그냥/MAG
눈물이	눈물/NNG+이/JKS
난다”고	나/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.180.2.4
이씨는 “슬픔의 정체를 알 길이 없지만, 내가 이렇게 정서적으로 그와 교감하고 있다는 사실을 이제야 깨달았다”고 말했다.

이씨는	이/NNP+씨/NNB+는/JX
“슬픔의	“/SS+슬픔/NNG+의/JKG
정체를	정체/NNG+를/JKO
알	알/VV+ㄹ/ETM
길이	길/NNG+이/JKS
없지만,	없/VA+지만/EC+,/SP
내가	내/NP+가/JKS
이렇게	이렇/VA+게/EC
정서적으로	정서/NNG+적/XSN+으로/JKB
그와	그/NP+와/JKB
교감하고	교감/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
사실을	사실/NNG+을/JKO
이제야	이제야/MAG
깨달았다”고	깨닫/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.180.3.1
슬픔이 끝모르게 퍼져가고 있다.

슬픔이	슬픔/NNG+이/JKS
끝모르게	끝/NNG+모르/VV+게/EC
퍼져가고	퍼지/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.180.3.2
노 전 대통령의 서거 닷새째인 27일에도 추모 인파는 경남 김해시 봉하마을과 서울 덕수궁 대한문 앞, 서울역 등 전국 300여곳의 분향소에서 끝없이 이어졌다.

노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
서거	서거/NNG
닷새째인	닷새/NNG+째/XSN+이/VCP+ㄴ/ETM
27일에도	27/SN+일/NNB+에/JKB+도/JX
추모	추모/NNG
인파는	인파/NNG+는/JX
경남	경남/NNP
김해시	김해시/NNP
봉하마을과	봉하마을/NNP+과/JC
서울	서울/NNP
덕수궁	덕수궁/NNP
대한문	대한문/NNP
앞,	앞/NNG+,/SP
서울역	서울역/NNP
등	등/NNB
전국	전국/NNG
300여곳의	300/SN+여/XSN+곳/NNG+의/JKG
분향소에서	분향소/NNG+에서/JKB
끝없이	끝없이/MAG
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.180.4.1
추모객들은 국화꽃 한 송이를 바치며 눈물을 떨어뜨린다.

추모객들은	추모객/NNG+들/XSN+은/JX
국화꽃	국화꽃/NNG
한	한/MMN
송이를	송이/NNG+를/JKO
바치며	바치/VV+며/EC
눈물을	눈물/NNG+을/JKO
떨어뜨린다.	떨어뜨리/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.180.4.2
“미안하다”며 흐느끼는 이들도 많다.

“미안하다”며	“/SS+미안/NNG+하/XSA+다/EF+”/SS+며/EC
흐느끼는	흐느끼/VV+는/ETM
이들도	이/NNB+들/XSN+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000024.180.4.3
부모 손에 이끌려 나온 철부지들도 환하게 웃고 있는 노 전 대통령의 영정 앞에서 눈물을 짓는다.

부모	부모/NNG
손에	손/NNG+에/JKB
이끌려	이끌리/VV+어/EC
나온	나오/VV+ㄴ/ETM
철부지들도	철부지/NNG+들/XSN+도/JX
환하게	환하/VA+게/EC
웃고	웃/VV+고/EC
있는	있/VX+는/ETM
노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
영정	영정/NNG
앞에서	앞/NNG+에서/JKB
눈물을	눈물/NNG+을/JKO
짓는다.	짓/VV+는다/EF+./SF


# id : NWRW1800000024.180.4.4
분향소를 찾지 못하는 사람들은 소박했던 노 전 대통령의 사진과 동영상을 돌려보며 눈시울을 훔쳤다.

분향소를	분향소/NNG+를/JKO
찾지	찾/VV+지/EC
못하는	못하/VX+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
소박했던	소박하/VA+았/EP+던/ETM
노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
사진과	사진/NNG+과/JC
동영상을	동영상/NNG+을/JKO
돌려보며	돌리/VV+어/EC+보/VV+며/EC
눈시울을	눈시울/NNG+을/JKO
훔쳤다.	훔치/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.180.4.5
인터넷에선 노 전 대통령을 추모하는 글마다 ‘지못미’(지켜주지 못해 미안해)라는 댓글이 꼬리를 문다.

인터넷에선	인터넷/NNG+에서/JKB+ㄴ/JX
노	노/NNP
전	전/MMD
대통령을	대통령/NNG+을/JKO
추모하는	추모/NNG+하/XSV+는/ETM
글마다	글/NNG+마다/JX
‘지못미’(지켜주지	‘/SS+지못미/NA+’/SS+(/SS+지키/VV+어/EC+주/VX+지/EC
못해	못하/VX+아/EC
미안해)라는	미안/NNG+하/XSA+아/EF+)/SS+이/VCP+라는/ETM
댓글이	댓글/NNG+이/JKS
꼬리를	꼬리/NNG+를/JKO
문다.	물/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.180.5.1
죽음 이후 쏟아지는 ‘추모’의 열기는, 살아생전 그의 몫이었던 ‘애증’의 부피를 훨씬 뛰어넘고 있다.

죽음	죽음/NNG
이후	이후/NNG
쏟아지는	쏟아지/VV+는/ETM
‘추모’의	‘/SS+추모/NNG+’/SS+의/JKG
열기는,	열기/NNG+는/JX+,/SP
살아생전	살아생전/NNG
그의	그/NP+의/JKG
몫이었던	몫/NNG+이/VCP+었/EP+던/ETM
‘애증’의	‘/SS+애증/NNG+’/SS+의/JKG
부피를	부피/NNG+를/JKO
훨씬	훨씬/MAG
뛰어넘고	뛰어넘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.180.5.2
사람들은 그의 이상과 열정, 순수함에 반해 표를 던졌고, 탄핵에서 그를 구해냈다.

사람들은	사람/NNG+들/XSN+은/JX
그의	그/NP+의/JKG
이상과	이상/NNG+과/JC
열정,	열정/NNG+,/SP
순수함에	순수/NNG+하/XSA+ㅁ/ETN+에/JKB
반해	반하/VV+아/EC
