# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.383
metadata : {}


# id : NWRW1800000037.383.1.1
[단독]與 ‘정몽준 서울시장 후보 차출설’ 솔솔

[단독]與	[/SS+단독/NNG+]/SS+與/SH
‘정몽준	‘/SS+정몽준/NNP
서울시장	서울시장/NNG
후보	후보/NNG
차출설’	차출설/NNG+’/SS
솔솔	솔솔/MAG


# id : NWRW1800000037.383.2.1
鄭의원측 “黨 요청땐 검토할 수도”

鄭의원측	鄭/SH+의원/NNG+측/NNB
“黨	“/SS+黨/SH
요청땐	요청/NNG+때/NNG+ㄴ/JX
검토할	검토/NNG+하/XSV+ㄹ/ETM
수도”	수/NNB+도/JX+”/SS


# id : NWRW1800000037.383.3.1
새누리당 내에서 내년 서울시장 선거에 정몽준 의원(서울 동작을·사진)을 차출해야 한다는 목소리가 커지고 있다.

새누리당	새누리당/NNP
내에서	내/NNB+에서/JKB
내년	내년/NNG
서울시장	서울시장/NNG
선거에	선거/NNG+에/JKB
정몽준	정몽준/NNP
의원(서울	의원/NNG+(/SS+서울/NNP
동작을·사진)을	동작을/NNP+·/SP+사진/NNG+)/SS+을/JKO
차출해야	차출/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
목소리가	목소리/NNG+가/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.383.3.2
박원순 시장을 꺾을 만한 인물이 마땅치 않다는 분위기 탓에 ‘정몽준 차출설’은 점차 힘을 얻고 있다.

박원순	박원순/NNP
시장을	시장/NNG+을/JKO
꺾을	꺾/VV+을/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
인물이	인물/NNG+이/JKS
마땅치	마땅하/VA+지/EC
않다는	않/VX+다는/ETM
분위기	분위기/NNG
탓에	탓/NNG+에/JKB
‘정몽준	‘/SS+정몽준/NNP
차출설’은	차출설/NNG+’/SS+은/JX
점차	점차/MAG
힘을	힘/NNG+을/JKO
얻고	얻/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.383.3.3
그동안 서울시장 출마설에 거부감까지 보이기도 했던 정 의원 측도 “당이 공식으로 요청하면 검토해 볼 수는 있을 것”이라는 반응을 보이고 있다.

그동안	그동안/NNG
서울시장	서울시장/NNG
출마설에	출마설/NNG+에/JKB
거부감까지	거부감/NNG+까지/JX
보이기도	보이/VV+기/ETN+도/JX
했던	하/VX+았/EP+던/ETM
정	정/NNP
의원	의원/NNG
측도	측/NNB+도/JX
“당이	“/SS+당/NNG+이/JKS
공식으로	공식/NNG+으로/JKB
요청하면	요청/NNG+하/XSV+면/EC
검토해	검토/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
수는	수/NNB+는/JX
있을	있/VA+을/ETM
것”이라는	것/NNB+”/SS+이/VCP+라는/ETM
반응을	반응/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.383.4.1
새누리당 지도부의 한 관계자는 17일 “당 안팎에 좋은 인물들이 있지만 박 시장과 맞붙어 승리를 장담할 수 있는 사람은 많지 않다”며 “정 의원이 박 시장과 대등한 구도에서 선거를 치를 수 있는 것으로 보고 있다”고 말했다.

새누리당	새누리당/NNP
지도부의	지도부/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
17일	17/SN+일/NNB
“당	“/SS+당/NNG
안팎에	안팎/NNG+에/JKB
좋은	좋/VA+은/ETM
인물들이	인물/NNG+들/XSN+이/JKS
있지만	있/VA+지만/EC
박	박/NNP
시장과	시장/NNG+과/JKB
맞붙어	맞붙/VV+어/EC
승리를	승리/NNG+를/JKO
장담할	장담/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사람은	사람/NNG+은/JX
많지	많/VA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
“정	“/SS+정/NNP
의원이	의원/NNG+이/JKS
대등한	대등/NNG+하/XSA+ㄴ/ETM
구도에서	구도/NNG+에서/JKB
선거를	선거/NNG+를/JKO
치를	치르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.383.4.2
당내에서는 김황식 전 국무총리 등 외부 영입 카드보다 인지도가 높고 경륜과 경쟁력을 갖춘 정 의원을 후보로 추대해 서울시장직을 탈환해야 한다는 의견이 적지 않다.

당내에서는	당내/NNG+에서/JKB+는/JX
김황식	김황식/NNP
전	전/MMD
국무총리	국무총리/NNG
등	등/NNB
외부	외부/NNG
영입	영입/NNG
카드보다	카드/NNG+보다/JKB
인지도가	인지도/NNG+가/JKS
높고	높/VA+고/EC
경륜과	경륜/NNG+과/JC
경쟁력을	경쟁력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
