# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.66
metadata : {}


# id : NWRW1800000045.66.1.1
코리아테크인스펙션㈜, 제철-강교-항만·육상크레인 검사, 세계시장 도전!

코리아테크인스펙션㈜,	코리아테크인스펙션/NNP+㈜/SW+,/SP
본사는 서울, 기술본부는 창원에 위치시켜 공업단지 접근성을 용이하게 하여 고객의 요청이 있을 경우 즉각 대처할 수 있도록 한 KOTEC은 해양수산부에서 지정한 항만시설장비 전문 검사기관이기도 하다.

본사는	본사/NNG+는/JX
서울,	서울/NNP+,/SP
기술본부는	기술/NNG+본부/NNG+는/JX
창원에	창원/NNP+에/JKB
위치시켜	위치/NNG+시키/XSV+어/EC
공업단지	공업/NNG+단지/NNG
접근성을	접근/NNG+성/XSN+을/JKO
용이하게	용이하/VA+게/EC
하여	하/VX+아/EC
고객의	고객/NNG+의/JKG
요청이	요청/NNG+이/JKS
있을	있/VA+을/ETM
경우	경우/NNG
즉각	즉각/MAG
대처할	대처/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한	하/VV+ㄴ/ETM
KOTEC은	KOTEC/SL+은/JX
해양수산부에서	해양/NNG+수산부/NNG+에서/JKB
지정한	지정/NNG+하/XSV+ㄴ/ETM
항만시설장비	항만/NNG+시설/NNG+장비/NNG
전문	전문/NNG
검사기관이기도	검사/NNG+기관/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000045.66.5.2
1991년 출범해 항만 및 육상크레인 분야에 대한 각종 검사서비스 및 종합적인 기술컨설팅을 제공하고 있다.

1991년	1991/SN+년/NNB
출범해	출범/NNG+하/XSV+아/EC
항만	항만/NNG
및	및/MAG
육상크레인	육상/NNG+크레인/NNG
분야에	분야/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
각종	각종/NNG
검사서비스	검사/NNG+서비스/NNG
종합적인	종합/NNG+적/XSN+이/VCP+ㄴ/ETM
기술컨설팅을	기술/NNG+컨설팅/NNG+을/JKO
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.66.5.3
항만 하역설비는 물론 석유화학설비·발전설비·제철설비·강교·빌딩 등의 제작 및 설치·시운전검사, 안전진단, 장비수명 예측 등 다방면에서 검사 엔지니어링 서비스를 수행한다.

항만	항만/NNG
하역설비는	하역/NNG+설비/NNG+는/JX
물론	물론/MAG
석유화학설비·발전설비·제철설비·강교·빌딩	석유/NNG+화학/NNG+설비/NNG+·/SP+발전/NNG+설비/NNG+·/SP+제철/NNG+설비/NNG+·/SP+강교/NNG+·/SP+빌딩/NNG
등의	등/NNB+의/JKG
제작	제작/NNG
및	및/MAG
설치·시운전검사,	설치/NNG+·/SP+시운전/NNG+검사/NNG+,/SP
안전진단,	안전/NNG+진단/NNG+,/SP
장비수명	장비/NNG+수명/NNG
예측	예측/NNG
등	등/NNB
다방면에서	다방면/NNG+에서/JKB
검사	검사/NNG
엔지니어링	엔지니어링/NNG
서비스를	서비스/NNG+를/JKO
수행한다.	수행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.66.6.1
KOTEC은 세계 최고 주 탑 높이를 자랑하는 현수교인 이순신대교와 세계 최초의 사장교·현수교 복합교량인 터키의 보스포러스 대교를 비롯해 국내 최고층 빌딩인 롯데월드타워 철골 제작·설치 등의 감리·검사 업무를 수행했다.

KOTEC은	KOTEC/SL+은/JX
세계	세계/NNG
최고	최고/NNG
주	주/MMA
탑	탑/NNG
높이를	높이/NNG+를/JKO
자랑하는	자랑/NNG+하/XSV+는/ETM
현수교인	현수교/NNG+이/VCP+ㄴ/ETM
이순신대교와	이순신대교/NNP+와/JC
최초의	최초/NNG+의/JKG
사장교·현수교	사장교/NNG+·/SP+현수교/NNG
복합교량인	복합/NNG+교량/NNG+이/VCP+ㄴ/ETM
터키의	터키/NNP+의/JKG
보스포러스	보스포러스/NNP
대교를	대교/NNG+를/JKO
비롯해	비롯하/VV+아/EC
국내	국내/NNG
최고층	최고/NNG+층/XSN
빌딩인	빌딩/NNG+이/VCP+ㄴ/ETM
롯데월드타워	롯데월드타워/NNP
철골	철골/NNG
제작·설치	제작/NNG+·/SP+설치/NNG
등의	등/NNB+의/JKG
감리·검사	감리/NNG+·/SP+검사/NNG
업무를	업무/NNG+를/JKO
수행했다.	수행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.66.7.1
포항제철과 현대제철 등 제철회사와 대림산업, GS건설, 현대엔지니어링, SK건설 등 대형건설사의 다양한 검사 용역을 수행하면서 타워팰리스, 목동 하이페리온, 롯데빌딩 등 굵직한 실적들을 인정받고 있다.

포항제철과	포항제철/NNP+과/JC
현대제철	현대제철/NNP
등	등/NNB
제철회사와	제철/NNG+회사/NNG+와/JC
대림산업,	대림산업/NNP+,/SP
GS건설,	GS건설/NNP+,/SP
현대엔지니어링,	현대엔지니어링/NNP+,/SP
SK건설	SK건설/NNP
대형건설사의	대형/NNG+건설사/NNG+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
검사	검사/NNG
용역을	용역/NNG+을/JKO
수행하면서	수행/NNG+하/XSV+면서/EC
타워팰리스,	타워팰리스/NNP+,/SP
목동	목동/NNP
하이페리온,	하이페리온/NNP+,/SP
롯데빌딩	롯데빌딩/NNP
굵직한	굵직하/VA+ㄴ/ETM
실적들을	실적/NNG+들/XSN+을/JKO
인정받고	인정/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.66.8.1
홍 대표는 “검사업무의 객관성을 유지하기 위해 검사자의 선정부터 검사과정, 결과 확정에 이르기까지 특급기술자들이 모여 수시로 모니터링을 실시하고 있다”며 “검사자의 주관적 판단을 지양하고 실수를 최소화해 양질의 결과물이 적기에 공급되도록 돕는다”고 말했다.

홍	홍/NNP
대표는	대표/NNG+는/JX
“검사업무의	“/SS+검사/NNG+업무/NNG+의/JKG
객관성을	객관/NNG+성/XSN+을/JKO
유지하기	유지/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
검사자의	검사자/NNG+의/JKG
선정부터	선정/NNG+부터/JX
검사과정,	검사/NNG+과정/NNG+,/SP
결과	결과/NNG
확정에	확정/NNG+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
특급기술자들이	특급/NNG+기술자/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
수시로	수시로/MAG
모니터링을	모니터링/NNG+을/JKO
실시하고	실시/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“검사자의	“/SS+검사자/NNG+의/JKG
주관적	주관/NNG+적/XSN
판단을	판단/NNG+을/JKO
지양하고	지양/NNG+하/XSV+고/EC
실수를	실수/NNG+를/JKO
최소화해	최소/NNG+화/XSN+하/XSV+아/EC
양질의	양질/NNG+의/JKG
결과물이	결과물/NNG+이/JKS
적기에	적기/NNG+에/JKB
공급되도록	공급/NNG+되/XSV+도록/EC
돕는다”고	돕/VV+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.66.8.2
항만사업부와 강구조사업부, 플랜트사업부로 나뉜 KOTEC에는 다른 검사업체와 다른 특유의 성장엔진이 있다.

항만사업부와	항만/NNG+사업부/NNG+와/JC
강구조사업부,	강구조/NNG+사업부/NNG+,/SP
플랜트사업부로	플랜트/NNG+사업부/NNG+로/JKB
나뉜	나뉘/VV+ㄴ/ETM
KOTEC에는	KOTEC/SL+에/JKB+는/JX
다른	다르/VA+ㄴ/ETM
검사업체와	검사/NNG+업체/NNG+와/JC
특유의	특유/NNG+의/JKG
성장엔진이	성장/NNG+엔진/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.66.8.3
‘사람’이 자산이라는 인식과 함께 기술 인력의 장기고용이 관행화돼 있고, 경영자와 130명 근로자는 공통 이익을 추구하는 노사공동체라는 기업문화가 깔려있다.

‘사람’이	‘/SS+사람/NNG+’/SS+이/JKS
자산이라는	자산/NNG+이/VCP+라는/ETM
인식과	인식/NNG+과/JKB
함께	함께/MAG
기술	기술/NNG
인력의	인력/NNG+의/JKG
장기고용이	장기/NNG+고용/NNG+이/JKS
관행화돼	관행/NNG+화/XSN+되/XSV+어/EC
있고,	있/VX+고/EC+,/SP
경영자와	경영자/NNG+와/JC
130명	130/SN+명/NNB
근로자는	근로자/NNG+는/JX
공통	공통/NNG
이익을	이익/NNG+을/JKO
추구하는	추구/NNG+하/XSV+는/ETM
노사공동체라는	노사/NNG+공동체/NNG+이/VCP+라는/ETM
기업문화가	기업/NNG+문화/NNG+가/JKS
깔려있다.	깔리/VV+어/EC+있/VX+다/EF+./SF


# id : NWRW1800000045.66.8.4
홍 대표는 “현재 풍력 발전설비의 안전한 검사방법 개선과 항만장비의 효율 향상을 위한 연구개발에 나선 상태”라며 “25년간 축적된 기술력을 바탕으로 해외 검사서비스시장 개척에 나설 것”이라고 밝혔다.

홍	홍/NNP
대표는	대표/NNG+는/JX
“현재	“/SS+현재/MAG
풍력	풍력/NNG
발전설비의	발전/NNG+설비/NNG+의/JKG
안전한	안전/NNG+하/XSA+ㄴ/ETM
검사방법	검사/NNG+방법/NNG
개선과	개선/NNG+과/JC
항만장비의	항만/NNG+장비/NNG+의/JKG
효율	효율/NNG
향상을	향상/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
연구개발에	연구/NNG+개발/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
상태”라며	상태/NNG+”/SS+이/VCP+라며/EC
“25년간	“/SS+25/SN+년/NNB+간/XSN
축적된	축적/NNG+되/XSV+ㄴ/ETM
기술력을	기술력/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
해외	해외/NNG
검사서비스시장	검사/NNG+서비스/NNG+시장/NNG
개척에	개척/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


