# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.423
metadata : {}


# id : NWRW1800000026.423.1.1
[수도권Ⅰ] 부천 소사~안산 원시 복선전철 내년 착공;2016년 완공 목표

[수도권Ⅰ]	[/SS+수도/NNG+권/XSN+Ⅰ/SL+]/SS
부천	부천/NNP
소사~안산	소사/NNP+~/SO+안산/NNP
원시	원시/NNP
복선전철	복선/NNG+전철/NNG
내년	내년/NNG
착공;2016년	착공/NNG+;/SW+2016/SN+년/NNB
완공	완공/NNG
목표	목표/NNG


# id : NWRW1800000026.423.2.1
국토해양부는 21일 경기도 부천 소사동과 안산 원시동을 잇는 소사~원시 복선전철 민간투자사업의 협약을 체결했다고 밝혔다.

국토해양부는	국토/NNG+해양부/NNG+는/JX
21일	21/SN+일/NNB
경기도	경기도/NNP
부천	부천/NNP
소사동과	소사동/NNP+과/JC
안산	안산/NNP
원시동을	원시동/NNP+을/JKO
잇는	잇/VV+는/ETM
소사~원시	소사/NNP+~/SO+원시/NNP
복선전철	복선/NNG+전철/NNG
민간투자사업의	민간/NNG+투자/NNG+사업/NNG+의/JKG
협약을	협약/NNG+을/JKO
체결했다고	체결/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.423.3.1
23.3㎞ 구간의 소사~원시 복선전철은 내년 상반기 착공해 2016년 완공할 예정이며, 완공 시 소사에서 원시까지 24분 만에 이동할 수 있다.

23.3㎞	23/SN+./SP+3/SN+㎞/SW
구간의	구간/NNG+의/JKG
소사~원시	소사/NNP+~/SO+원시/NNP
복선전철은	복선/NNG+전철/NNG+은/JX
내년	내년/NNG
상반기	상반기/NNG
착공해	착공/NNG+하/XSV+아/EC
2016년	2016/SN+년/NNB
완공할	완공/NNG+하/XSV+ㄹ/ETM
예정이며,	예정/NNG+이/VCP+며/EC+,/SP
완공	완공/NNG
시	시/NNB
소사에서	소사/NNP+에서/JKB
원시까지	원시/NNP+까지/JX
24분	24/SN+분/NNB
만에	만/NNB+에/JKB
이동할	이동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.423.3.2
정거장 12개소가 들어서고 안산선(화랑역)과 신안산선(시흥시청역), 경인선(소사역) 등과 환승할 수 있다.

정거장	정거장/NNG
12개소가	12/SN+개소/NNB+가/JKS
들어서고	들어서/VV+고/EC
안산선(화랑역)과	안산선/NNP+(/SS+화랑역/NNP+)/SS+과/JC
신안산선(시흥시청역),	신안산선/NNP+(/SS+시흥시청역/NNP+)/SS+,/SP
경인선(소사역)	경인선/NNP+(/SS+소사역/NNP+)/SS
등과	등/NNB+과/JKB
환승할	환승/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.423.4.1
사업시행자인 이레일주식회사(대우건설 컨소시엄)는 대우건설과 현대건설, 한화건설 등 11개 건설사와 1개 재무적 투자자 등으로부터 1조5248억원의 자금을 조달해 설계와 시공을 하고, 20년간 역무 운영과 선로 유지보수도 담당할 예정이다.

사업시행자인	사업/NNG+시행자/NNG+이/VCP+ㄴ/ETM
이레일주식회사(대우건설	이레일주식회사/NNP+(/SS+대우건설/NNP
컨소시엄)는	컨소시엄/NNG+)/SS+는/JX
대우건설과	대우건설/NNP+과/JC
현대건설,	현대건설/NNP+,/SP
한화건설	한화건설/NNP
등	등/NNB
11개	11/SN+개/NNB
건설사와	건설사/NNG+와/JC
1개	1/SN+개/NNB
재무적	재무/NNG+적/XSN
투자자	투자자/NNG
등으로부터	등/NNB+으로부터/JKB
1조5248억원의	1/SN+조/NR+5248/SN+억/NR+원/NNB+의/JKG
자금을	자금/NNG+을/JKO
조달해	조달/NNG+하/XSV+아/EC
설계와	설계/NNG+와/JC
시공을	시공/NNG+을/JKO
하고,	하/VV+고/EC+,/SP
20년간	20/SN+년/NNB+간/XSN
역무	역무/NNG
운영과	운영/NNG+과/JC
선로	선로/NNG
유지보수도	유지/NNG+보수/NNG+도/JX
담당할	담당/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


