# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.209
metadata : {}


# id : NWRW1800000026.209.1.1
[색연필] '교통카드 사용내역' 때문에 딱 걸린 70代 불륜

[색연필]	[/SS+색연필/NNG+]/SS
'교통카드	'/SS+교통/NNG+카드/NNG
사용내역'	사용/NNG+내역/NNG+'/SS
때문에	때문/NNB+에/JKB
딱	딱/MAG
걸린	걸리/VV+ㄴ/ETM
70代	70/SN+代/SH
불륜	불륜/NNG


# id : NWRW1800000026.209.2.1
유부녀와 불륜관계를 맺은 것을 완강하게 부인하던 70대 남성이, 상대 여성이 사용한 교통카드 때문에 유죄판결을 받았다.

유부녀와	유부녀/NNG+와/JKB
불륜관계를	불륜/NNG+관계/NNG+를/JKO
맺은	맺/VV+은/ETM
것을	것/NNB+을/JKO
완강하게	완강하/VA+게/EC
부인하던	부인/NNG+하/XSV+던/ETM
70대	70/SN+대/NNB
남성이,	남성/NNG+이/JKS+,/SP
상대	상대/NNG
여성이	여성/NNG+이/JKS
사용한	사용/NNG+하/XSV+ㄴ/ETM
교통카드	교통/NNG+카드/NNG
때문에	때문/NNB+에/JKB
유죄판결을	유죄/NNG+판결/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.209.3.1
27일 법원에 따르면, 한모(70)씨는 단골 음식점에서 알게 된 유부녀 박모(49)씨와 2008년 8월부터 그해 12월까지 서울시내의 A모텔에서 18회 성관계를 맺은 혐의(간통)로 기소됐다.

27일	27/SN+일/NNB
법원에	법원/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
한모(70)씨는	한/NNP+모/NP+(/SS+70/SN+)/SS+씨/NNB+는/JX
단골	단골/NNG
음식점에서	음식점/NNG+에서/JKB
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
유부녀	유부녀/NNG
박모(49)씨와	박/NNP+모/NP+(/SS+49/SN+)/SS+씨/NNB+와/JKB
2008년	2008/SN+년/NNB
8월부터	8/SN+월/NNB+부터/JX
그해	그해/NNG
12월까지	12/SN+월/NNB+까지/JX
서울시내의	서울/NNP+시내/NNG+의/JKG
A모텔에서	A/SL+모텔/NNG+에서/JKB
18회	18/SN+회/NNB
성관계를	성관계/NNG+를/JKO
맺은	맺/VV+은/ETM
혐의(간통)로	혐의/NNG+(/SS+간통/NNG+)/SS+로/JKB
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.209.4.1
유부녀 박씨는 처음부터 남편에게 "한씨와 불륜관계를 맺었다"라고 실토했지만, 문제는 한씨였다.

유부녀	유부녀/NNG
박씨는	박/NNP+씨/NNB+는/JX
처음부터	처음/NNG+부터/JX
남편에게	남편/NNG+에게/JKB
"한씨와	"/SS+한/NNP+씨/NNB+와/JKB
불륜관계를	불륜/NNG+관계/NNG+를/JKO
맺었다"라고	맺/VV+었/EP+다/EF+"/SS+라고/JKQ
실토했지만,	실토/NNG+하/XSV+았/EP+지만/EC+,/SP
문제는	문제/NNG+는/JX
한씨였다.	한/NNP+씨/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.209.4.2
한씨는 검찰에서도 "나는 결백하다"면서 성관계를 가졌다는 혐의를 부인했고, 1심 재판부는 "박씨가 한씨와 성관계를 했다고 진술하고 있더라도 증거가 부족하다"면서 두 사람 모두에게 무죄를 선고했다.

한씨는	한/NNP+씨/NNB+는/JX
검찰에서도	검찰/NNG+에서/JKB+도/JX
"나는	"/SS+나/NP+는/JX
결백하다"면서	결백/NNG+하/XSA+다/EF+"/SS+면서/EC
성관계를	성관계/NNG+를/JKO
가졌다는	가지/VV+었/EP+다는/ETM
혐의를	혐의/NNG+를/JKO
부인했고,	부인/NNG+하/XSV+았/EP+고/EC+,/SP
1심	1심/NNG
재판부는	재판부/NNG+는/JX
"박씨가	"/SS+박/NNP+씨/NNB+가/JKS
한씨와	한/NNP+씨/NNB+와/JKB
했다고	하/VV+았/EP+다고/EC
진술하고	진술/NNG+하/XSV+고/EC
있더라도	있/VX+더라도/EC
증거가	증거/NNG+가/JKS
부족하다"면서	부족/NNG+하/XSA+다/EF+"/SS+면서/EC
두	두/MMN
사람	사람/NNG
모두에게	모두/NNG+에게/JKB
무죄를	무죄/NNG+를/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.209.5.1
하지만 2심에서 새로 증거로 제출된 박씨의 '교통카드 사용내역' 때문에 상황이 180도 바뀌었다.

하지만	하지만/MAJ
2심에서	2심/NNG+에서/JKB
새로	새로/MAG
증거로	증거/NNG+로/JKB
제출된	제출/NNG+되/XSV+ㄴ/ETM
박씨의	박/NNP+씨/NNB+의/JKG
'교통카드	'/SS+교통/NNG+카드/NNG
사용내역'	사용/NNG+내역/NNG+'/SS
때문에	때문/NNB+에/JKB
상황이	상황/NNG+이/JKS
180도	180/SN+도/NNB
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.209.6.1
검찰은 유부녀 박씨가 모텔에 갈 때 버스와 지하철을 타고 갔고, 그때마다 교통카드를 이용했다는 사실을 확인, 그 내용을 2심 재판부에 제출했다.

검찰은	검찰/NNG+은/JX
유부녀	유부녀/NNG
박씨가	박/NNP+씨/NNB+가/JKS
모텔에	모텔/NNG+에/JKB
