# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.182
metadata : {}


# id : NWRW1800000049.182.1.1
[휴지통]‘이승만 詩 공모전’ 수상작 세로로 읽어보니…

[휴지통]‘이승만	[/SS+휴지통/NNG+]/SS+‘/SS+이승만/NNP
詩	詩/SH
공모전’	공모전/NNG+’/SS
수상작	수상작/NNG
세로로	세로/NNG+로/JKB
읽어보니…	읽/VV+어/EC+보/VX+니/EC+…/SE


# id : NWRW1800000049.182.2.1
국민 버린… 니가 가라 하와이… 찬양詩가 비방 내용으로 둔갑… 자유경제원, 부랴부랴 입상 취소

국민	국민/NNG
버린…	버리/VV+ㄴ/ETM+…/SE
니가	니/NP+가/JKS
가라	가/VV+라/EF
하와이…	하와이/NNP+…/SE
찬양詩가	찬양/NNG+詩/SH+가/JKS
비방	비방/NNG
내용으로	내용/NNG+으로/JKB
둔갑…	둔갑/NNG+…/SE
자유경제원,	자유경제원/NNP+,/SP
부랴부랴	부랴부랴/MAG
입상	입상/NNG
취소	취소/NNG


# id : NWRW1800000049.182.3.1
“눈 뜨고 당했네….”

“눈	“/SS+눈/NNG
뜨고	뜨/VV+고/EC
당했네….”	당하/VV+았/EP+네/EF+…/SE+./SF+”/SS


# id : NWRW1800000049.182.4.1
보수 성향 경제연구소인 자유경제원이 지난달 주최한 ‘제1회 대한민국 건국대통령 이승만 시 공모전’에서 이승만 전 대통령을 ‘세로 드립’으로 비판한 시 2편을 수상작으로 선정했다가 4일 뒤늦게 취소했다.

보수	보수/NNG
성향	성향/NNG
경제연구소인	경제/NNG+연구소/NNG+이/VCP+ㄴ/ETM
자유경제원이	자유경제원/NNP+이/JKS
지난달	지난달/NNG
주최한	주최/NNG+하/XSV+ㄴ/ETM
‘제1회	‘/SS+제/XPN+1/SN+회/NNB
대한민국	대한민국/NNP
건국대통령	건국/NNG+대통령/NNG
이승만	이승만/NNP
시	시/NNG
공모전’에서	공모전/NNG+’/SS+에서/JKB
전	전/MMD
대통령을	대통령/NNG+을/JKO
‘세로	‘/SS+세로/NNG
드립’으로	드립/NNG+’/SS+으로/JKB
비판한	비판/NNG+하/XSV+ㄴ/ETM
2편을	2/SN+편/NNB+을/JKO
수상작으로	수상작/NNG+으로/JKB
선정했다가	선정/NNG+하/XSV+았/EP+다가/EC
4일	4/SN+일/NNB
뒤늦게	뒤늦/VA+게/EC
취소했다.	취소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.182.4.2
세로 드립은 각 행의 첫 글자만 따서 세로로 읽었을 때 원문과 전혀 관계없는 새로운 내용이 나오는 것을 지칭하는 인터넷 속어다.

세로	세로/NNG
드립은	드립/NNG+은/JX
각	각/MMD
행의	행/NNG+의/JKG
첫	첫/MMN
글자만	글자/NNG+만/JX
따서	따/VV+아서/EC
세로로	세로/NNG+로/JKB
읽었을	읽/VV+었/EP+을/ETM
때	때/NNG
원문과	원문/NNG+과/JKB
전혀	전혀/MAG
관계없는	관계없/VA+는/ETM
새로운	새롭/VA+ㄴ/ETM
내용이	내용/NNG+이/JKS
나오는	나오/VV+는/ETM
것을	것/NNB+을/JKO
지칭하는	지칭/NNG+하/XSV+는/ETM
인터넷	인터넷/NNG
속어다.	속어/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.182.5.1
문제가 된 ‘우남 찬가’라는 제목의 입선작은 처음부터 끝까지 이 전 대통령을 찬양하는 내용이다.

문제가	문제/NNG+가/JKS
된	되/VV+ㄴ/ETM
‘우남	‘/SS+우남/NNP
찬가’라는	찬가/NNG+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
입선작은	입선작/NNG+은/JX
처음부터	처음/NNG+부터/JX
끝까지	끝/NNG+까지/JX
이	이/NNP
전	전/MMD
대통령을	대통령/NNG+을/JKO
찬양하는	찬양/NNG+하/XSV+는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.182.5.2
‘국가의 아버지로서 국민을 보듬고/민족의 지도자 역할을 하셨으며/버려진 이 땅의 마지막 희망으로/린민군의 압제에 당당히 맞서니/도리어 두만강까지 밀고 들어가/망국의 판세를 뒤엎고 솟아올라/자유민주주의 기틀을 잡으셨다.’

‘국가의	‘/SS+국가/NNG+의/JKG
아버지로서	아버지/NNG+로서/JKB
국민을	국민/NNG+을/JKO
보듬고/민족의	보듬/VV+고/EC+//SP+민족/NNG+의/JKG
지도자	지도자/NNG
