# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.315
metadata : {}


# id : NWRW1800000049.315.1.1
“中관광객 줄어드는데 면세점 늘려서야”

“中관광객	“/SS+中/SH+관광객/NNG
줄어드는데	줄어들/VV+는데/EC
면세점	면세점/NNG
늘려서야”	늘리/VV+어서/EC+야/JX+”/SS


# id : NWRW1800000049.315.2.1
신규면세점 5곳 대표, 정부 비판… 롯데-SK 재허가 가능성에 촉각

신규면세점	신규/NNG+면세점/NNG
5곳	5/SN+곳/NNG
대표,	대표/NNG+,/SP
정부	정부/NNG
비판…	비판/NNG+…/SE
롯데-SK	롯데/NNP+-/SO+SK/SL
재허가	재/XPN+허가/NNG
가능성에	가능/NNG+성/XSN+에/JKB
촉각	촉각/NNG


# id : NWRW1800000049.315.3.1
16일 기획재정부가 여는 면세점 제도 개선 공청회를 앞두고 지난해 서울시내 면세점 신규 특허를 받은 5개 회사 대표가 모여 서울 시내에 추가 특허를 줄 수 있다는 정부 방침을 비판했다.

16일	16/SN+일/NNB
기획재정부가	기획/NNG+재정부/NNG+가/JKS
여는	열/VV+는/ETM
면세점	면세점/NNG
제도	제도/NNG
개선	개선/NNG
공청회를	공청회/NNG+를/JKO
앞두고	앞두/VV+고/EC
지난해	지난해/NNG
서울시내	서울/NNP+시내/NNG
신규	신규/NNG
특허를	특허/NNG+를/JKO
받은	받/VV+은/ETM
5개	5/SN+개/NNB
회사	회사/NNG
대표가	대표/NNG+가/JKS
모여	모이/VV+어/EC
서울	서울/NNP
시내에	시내/NNG+에/JKB
추가	추가/NNG
줄	주/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
정부	정부/NNG
방침을	방침/NNG+을/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.315.3.2
정부는 면세점 특허 기간을 현행 5년에서 10년으로 늘리고 시내 면세점 1, 2곳에 신규 면허를 주는 방안을 검토하고 있는 것으로 알려졌다.

정부는	정부/NNG+는/JX
면세점	면세점/NNG
특허	특허/NNG
기간을	기간/NNG+을/JKO
현행	현행/NNG
5년에서	5/SN+년/NNB+에서/JKB
10년으로	10/SN+년/NNB+으로/JKB
늘리고	늘리/VV+고/EC
시내	시내/NNG
1,	1/SN+,/SP
2곳에	2/SN+곳/NNG+에/JKB
신규	신규/NNG
면허를	면허/NNG+를/JKO
주는	주/VV+는/ETM
방안을	방안/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.315.4.1
5개 신규 면세점 대표들은 14일 서울 중구 명동길 은행연합회에서 회의를 열고 “신규 면세점이 문을 연 뒤 1년 정도 지켜본 다음 시장이 커질 때 신규 업체의 진입을 검토해야 한다”고 주장했다.

5개	5/SN+개/NNB
신규	신규/NNG
면세점	면세점/NNG
대표들은	대표/NNG+들/XSN+은/JX
14일	14/SN+일/NNB
서울	서울/NNP
중구	중구/NNP
명동길	명동/NNP+길/NNG
은행연합회에서	은행연합회/NNP+에서/JKB
회의를	회의/NNG+를/JKO
열고	열/VV+고/EC
“신규	“/SS+신규/NNG
면세점이	면세점/NNG+이/JKS
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
뒤	뒤/NNG
1년	1/SN+년/NNB
정도	정도/NNG
지켜본	지켜보/VV+ㄴ/ETM
다음	다음/NNG
시장이	시장/NNG+이/JKS
커질	커지/VV+ㄹ/ETM
때	때/NNG
업체의	업체/NNG+의/JKG
진입을	진입/NNG+을/JKO
검토해야	검토/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.315.4.2
회의에는 권희석 SM면세점 회장, 양창훈 HDC신라면세점 사장, 황용득 한화갤러리아 사장, 성영목 신세계DF 사장, 이천우 ㈜두산 부사장 등이 참석했다.

회의에는	회의/NNG+에/JKB+는/JX
권희석	권희석/NNP
SM면세점	SM면세점/NNP
회장,	회장/NNG+,/SP
양창훈	양창훈/NNP
HDC신라면세점	HDC신라면세점/NNP
사장,	사장/NNG+,/SP
황용득	황용득/NNP
한화갤러리아	한화갤러리아/NNP
성영목	성영목/NNP
신세계DF	신세계DF/NNP
이천우	이천우/NNP
㈜두산	㈜/SW+두산/NNP
부사장	부사장/NNG
등이	등/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.315.4.3
이들은 요즘 시장 상황이 신규 면세점들에 결코 좋지 않다고 입을 모았다.

이들은	이/NP+들/XSN+은/JX
요즘	요즘/NNG
시장	시장/NNG
상황이	상황/NNG+이/JKS
신규	신규/NNG
면세점들에	면세점/NNG+들/XSN+에/JKB
결코	결코/MAG
좋지	좋/VA+지/EC
않다고	않/VX+다고/EC
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.315.5.1
이날 권희석 회장은 “면세점 수를 늘리면 물건을 채우지 못한 면세점들이 병행수입을 하거나 소위 ‘짝퉁’을 파는 경우까지 생길 수 있다”면서 “한국 면세점 산업이 전체적으로 추락할 것”이라고 주장했다.

이날	이날/NNG
권희석	권희석/NNP
회장은	회장/NNG+은/JX
“면세점	“/SS+면세점/NNG
수를	수/NNG+를/JKO
늘리면	늘리/VV+면/EC
물건을	물건/NNG+을/JKO
채우지	채우/VV+지/EC
못한	못하/VX+ㄴ/ETM
면세점들이	면세점/NNG+들/XSN+이/JKS
병행수입을	병행/NNG+수입/NNG+을/JKO
하거나	하/VV+거나/EC
소위	소위/MAG
‘짝퉁’을	‘/SS+짝퉁/NNG+’/SS+을/JKO
파는	팔/VV+는/ETM
경우까지	경우/NNG+까지/JX
생길	생기/VV+ㄹ/ETM
수	수/NNB
있다”면서	있/VA+다/EF+”/SS+면서/EC
“한국	“/SS+한국/NNP
면세점	면세점/NNG
산업이	산업/NNG+이/JKS
전체적으로	전체/NNG+적/XSN+으로/JKB
추락할	추락/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.315.6.1
참석자들은 특히 지난해 사업권 심사에서 탈락한 롯데면세점 월드타워점과 SK네트웍스의 워커힐면세점이 다시 특허를 받는 상황에 대해 우려했다.

참석자들은	참석자/NNG+들/XSN+은/JX
특히	특히/MAG
지난해	지난해/NNG
사업권	사업/NNG+권/XSN
심사에서	심사/NNG+에서/JKB
탈락한	탈락/NNG+하/XSV+ㄴ/ETM
롯데면세점	롯데면세점/NNP
월드타워점과	월드타워점/NNG+과/JC
SK네트웍스의	SK네트웍스/NNP+의/JKG
워커힐면세점이	워커힐면세점/NNP+이/JKS
다시	다시/MAG
특허를	특허/NNG+를/JKO
받는	받/VV+는/ETM
상황에	상황/NNG+에/JKB
대해	대하/VV+아/EC
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.315.6.2
시내 면세점 사업 여건이 나빠진 상태에서 이들이 다시 시장에 진입할 경우 면세점 공급과잉이 나타날 것이라고 지적한 것이다.

시내	시내/NNG
면세점	면세점/NNG
사업	사업/NNG
여건이	여건/NNG+이/JKS
나빠진	나빠지/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
이들이	이/NP+들/XSN+이/JKS
다시	다시/MAG
시장에	시장/NNG+에/JKB
진입할	진입/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
공급과잉이	공급/NNG+과잉/NNG+이/JKS
