# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.51
metadata : {}


# id : NWRW1800000021.51.1.1
[클림트의 ‘황금빛 유혹’ 특별전]마리아(리아) 뭉크의 초상

[클림트의	[/SS+클림트/NNP+의/JKG
‘황금빛	‘/SS+황금빛/NNG
유혹’	유혹/NNG+’/SS
특별전]마리아(리아)	특별전/NNG+]/SS+마리아/NNP+(/SS+리아/NNP+)/SS
뭉크의	뭉크/NNP+의/JKG
초상	초상/NNG


# id : NWRW1800000021.51.2.1
아름다운 여인이 꽃에 둘러싸여 누워 있다.

아름다운	아름답/VA+ㄴ/ETM
여인이	여인/NNG+이/JKS
꽃에	꽃/NNG+에/JKB
둘러싸여	둘러싸이/VV+어/EC
누워	눕/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.51.2.2
어깨까지 내려오는 갈색 머리가 도자기 같은 피부와 반듯한 이목구비를 돋보이게 한다.

어깨까지	어깨/NNG+까지/JX
내려오는	내려오/VV+는/ETM
갈색	갈색/NNG
머리가	머리/NNG+가/JKS
도자기	도자기/NNG
같은	같/VA+은/ETM
피부와	피부/NNG+와/JC
반듯한	반듯하/VA+ㄴ/ETM
이목구비를	이목구비/NNG+를/JKO
돋보이게	돋보이/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.51.2.3
클림트의 다른 여성 초상화와 느낌이 좀 다르다.

클림트의	클림트/NNP+의/JKG
다른	다른/MMD
여성	여성/NNG
초상화와	초상화/NNG+와/JKB
느낌이	느낌/NNG+이/JKS
좀	좀/MAG
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000021.51.2.4
훨씬 감성적이다.

훨씬	훨씬/MAG
감성적이다.	감성/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000021.51.2.5
모델의 개성을 표현하는 꽃과 장식적 기호를 삽입해 긴장감을 극대화한 작품과 달리 상징을 다 생략했다.

모델의	모델/NNG+의/JKG
개성을	개성/NNG+을/JKO
표현하는	표현/NNG+하/XSV+는/ETM
꽃과	꽃/NNG+과/JC
장식적	장식/NNG+적/XSN
기호를	기호/NNG+를/JKO
삽입해	삽입/NNG+하/XSV+아/EC
긴장감을	긴장감/NNG+을/JKO
극대화한	극대/NNG+화/XSN+하/XSV+ㄴ/ETM
작품과	작품/NNG+과/JKB
달리	달리/MAG
상징을	상징/NNG+을/JKO
다	다/MAG
생략했다.	생략/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.51.2.6
수백 장의 드로잉을 거쳐 치밀하게 연출한 다른 여성 초상화와 달리 붓 터치도 소박하다.

수백	수백/NR
장의	장/NNB+의/JKG
드로잉을	드로잉/NNG+을/JKO
거쳐	거치/VV+어/EC
치밀하게	치밀하/VA+게/EC
연출한	연출/NNG+하/XSV+ㄴ/ETM
다른	다른/MMD
여성	여성/NNG
초상화와	초상화/NNG+와/JKB
달리	달리/MAG
붓	붓/NNG
터치도	터치/NNG+도/JX
소박하다.	소박하/VA+다/EF+./SF


# id : NWRW1800000021.51.3.1
‘마리아 뭉크의 초상’은 스물네 살 처녀의 마지막 모습을 담은 작품.

‘마리아	‘/SS+마리아/NNP
뭉크의	뭉크/NNP+의/JKG
초상’은	초상/NNG+’/SS+은/JX
스물네	스물네/MMN
살	살/NNB
처녀의	처녀/NNG+의/JKG
마지막	마지막/NNG
모습을	모습/NNG+을/JKO
담은	담/VV+은/ETM
작품.	작품/NNG+./SF


# id : NWRW1800000021.51.3.2
부유한 금융가 집안의 딸인 리아의 죽음을 놓고 당시 신문에는 이룰 수 없는 사랑에 대한 괴로움으로 세상을 떠났다는 기사가 실렸다.

부유한	부유/NNG+하/XSA+ㄴ/ETM
금융가	금융가/NNG
집안의	집안/NNG+의/JKG
딸인	딸/NNG+이/VCP+ㄴ/ETM
리아의	리아/NNP+의/JKG
죽음을	죽음/NNG+을/JKO
놓고	놓/VV+고/EC
당시	당시/NNG
신문에는	신문/NNG+에/JKB+는/JX
이룰	이루/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
사랑에	사랑/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
괴로움으로	괴로움/NNG+으로/JKB
세상을	세상/NNG+을/JKO
떠났다는	떠나/VV+았/EP+다는/ETM
기사가	기사/NNG+가/JKS
실렸다.	실리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.51.3.3
리아의 부모에게서 영정 그림을 부탁받은 클림트는 ‘햄릿’의 오필리아를 연상케 하는 이미지로 리아를 그려냈다.

리아의	리아/NNP+의/JKG
부모에게서	부모/NNG+에게서/JKB
영정	영정/NNG
그림을	그림/NNG+을/JKO
부탁받은	부탁/NNG+받/XSV+은/ETM
클림트는	클림트/NNP+는/JX
‘햄릿’의	‘/SS+햄릿/NNP+’/SS+의/JKG
오필리아를	오필리아/NNP+를/JKO
연상케	연상/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
이미지로	이미지/NNG+로/JKB
리아를	리아/NNP+를/JKO
그려냈다.	그리/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.51.4.1
화가는 숱한 연애를 통해 사랑의 달콤함과 설렘에는 같은 무게만큼의 씁쓸함과 고통이 따른다는 것을 알았지 싶다.

화가는	화가/NNG+는/JX
숱한	숱하/VA+ㄴ/ETM
연애를	연애/NNG+를/JKO
통해	통하/VV+아/EC
사랑의	사랑/NNG+의/JKG
달콤함과	달콤하/VA+ㅁ/ETN+과/JC
설렘에는	설레/VV+ㅁ/ETN+에/JKB+는/JX
같은	같/VA+은/ETM
무게만큼의	무게/NNG+만큼/JKB+의/JKG
씁쓸함과	씁쓸하/VA+ㅁ/ETN+과/JC
고통이	고통/NNG+이/JKS
따른다는	따르/VV+ㄴ다는/ETM
것을	것/NNB+을/JKO
알았지	알/VV+았/EP+지/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000021.51.4.2
불확실하고 비논리적이며 천변만화의 모험, 사랑.

불확실하고	불확실/NNG+하/XSA+고/EC
비논리적이며	비/XPN+논리/NNG+적/XSN+이/VCP+며/EC
천변만화의	천변만화/NNG+의/JKG
모험,	모험/NNG+,/SP
사랑.	사랑/NNG+./SF


# id : NWRW1800000021.51.4.3
그 길에서 헤매다 상처 입고 덧없이 스러진 젊은 영혼을 가장 순수하고 아름답게 기리고 있다.

그	그/MMD
길에서	길/NNG+에서/JKB
헤매다	헤매/VV+다/EC
상처	상처/NNG
입고	입/VV+고/EC
덧없이	덧없이/MAG
스러진	스러지/VV+ㄴ/ETM
젊은	젊/VA+은/ETM
영혼을	영혼/NNG+을/JKO
가장	가장/MAG
순수하고	순수/NNG+하/XSA+고/EC
아름답게	아름답/VA+게/EC
기리고	기리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.51.5.1
‘푸른 것은 늘 아름답다.

‘푸른	‘/SS+푸르/VA+ㄴ/ETM
것은	것/NNB+은/JX
늘	늘/MAG
아름답다.	아름답/VA+다/EF+./SF


# id : NWRW1800000021.51.5.2
/멍은 푸르다.

/멍은	//SP+멍/NNG+은/JX
푸르다.	푸르/VA+다/EF+./SF


# id : NWRW1800000021.51.5.3
/그러므로 멍은 아름답다.

/그러므로	//SP+그러므로/MAJ
멍은	멍/NNG+은/JX
아름답다.	아름답/VA+다/EF+./SF


# id : NWRW1800000021.51.5.4
/그러니까 멍든 것은 늘 아름답다.’ (김승희의 ‘시계풀의 편지 1’)

/그러니까	//SP+그러니까/MAJ
멍든	멍들/VV+ㄴ/ETM
것은	것/NNB+은/JX
늘	늘/MAG
아름답다.’	아름답/VA+다/EF+./SF+’/SS
(김승희의	(/SS+김승희/NNP+의/JKG
‘시계풀의	‘/SS+시계풀/NNG+의/JKG
편지	편지/NNG
1’)	1/SN+’/SS+)/SS


# id : NWRW1800000021.51.5.5
02-334-4254, www.klimtkorea.co.kr

02-334-4254,	02/SN+-/SO+334/SN+-/SO+4254/SN+,/SP
www.klimtkorea.co.kr	www/SL+./SP+klimtkorea/SL+./SP+co/SL+./SP+kr/SL


