# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.382
metadata : {}


# id : NWRW1800000032.382.1.1
“국민 입장서 생각하라” 이대통령, 검찰에 경고

“국민	“/SS+국민/NNG
입장서	입장/NNG+서/JKB
생각하라”	생각/NNG+하/XSV+라/EF+”/SS
이대통령,	이/NNP+대통령/NNG+,/SP
검찰에	검찰/NNG+에/JKB
경고	경고/NNG


# id : NWRW1800000032.382.2.1
청, 간부들 사표수리 않기로

청,	청/NNP+,/SP
간부들	간부/NNG+들/XSN
사표수리	사표/NNG+수리/NNG
않기로	않/VV+기/ETN+로/JKB


# id : NWRW1800000032.382.3.1
청와대는 30일 검찰이 국회의 수사권 조정안 수정에 반발해 집단 사퇴 움직임을 보이자 당혹스러워하면서 검찰을 가라앉히는 데 주력했다.

청와대는	청와대/NNP+는/JX
30일	30/SN+일/NNB
검찰이	검찰/NNG+이/JKS
국회의	국회/NNG+의/JKG
수사권	수사/NNG+권/XSN
조정안	조정안/NNG
수정에	수정/NNG+에/JKB
반발해	반발/NNG+하/XSV+아/EC
집단	집단/NNG
사퇴	사퇴/NNG
움직임을	움직임/NNG+을/JKO
보이자	보이/VV+자/EC
당혹스러워하면서	당혹/NNG+스럽/XSA+어/EC+하/VX+면서/EC
검찰을	검찰/NNG+을/JKO
가라앉히는	가라앉히/VV+는/ETM
데	데/NNB
주력했다.	주력/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.382.4.1
청와대는 이날 국회를 통과한 형사소송법 개정안을 존중한다는 입장이며, 검찰이 반발하는 것은 설득력이 떨어진다고 보고 있다.

청와대는	청와대/NNP+는/JX
이날	이날/NNG
국회를	국회/NNG+를/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
형사소송법	형사/NNG+소송법/NNG
개정안을	개정안/NNG+을/JKO
존중한다는	존중/NNG+하/XSV+ㄴ다는/ETM
입장이며,	입장/NNG+이/VCP+며/EC+,/SP
검찰이	검찰/NNG+이/JKS
반발하는	반발/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
설득력이	설득력/NNG+이/JKS
떨어진다고	떨어지/VV+ㄴ다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.382.4.2
전날 권재진 민정수석이 법무부를 통해 검찰에 이런 뜻을 전달한 데 이어, 30일엔 이명박 대통령이 직접 검찰에 ‘경고’ 메시지를 전했다.

전날	전날/NNG
권재진	권재진/NNP
민정수석이	민정/NNG+수석/NNG+이/JKS
법무부를	법무부/NNG+를/JKO
통해	통하/VV+아/EC
검찰에	검찰/NNG+에/JKB
이런	이런/MMD
뜻을	뜻/NNG+을/JKO
전달한	전달/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
30일엔	30/SN+일/NNB+에/JKB+ㄴ/JX
이명박	이명박/NNP
대통령이	대통령/NNG+이/JKS
직접	직접/MAG
‘경고’	‘/SS+경고/NNG+’/SS
메시지를	메시지/NNG+를/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.382.5.1
이 대통령은 이날 오전 서울 삼성동 코엑스에서 열린 세계검찰총장회의에서, 영접 나온 김준규 검찰총장에게 “국민의 입장에서 생각하는 성숙한 자세를 보여주기 바란다”고 말했다고 박정하 청와대 대변인이 전했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
서울	서울/NNP
삼성동	삼성동/NNP
코엑스에서	코엑스/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
세계검찰총장회의에서,	세계/NNG+검찰/NNG+총장/NNG+회의/NNG+에서/JKB+,/SP
영접	영접/NNG
나온	나오/VV+ㄴ/ETM
김준규	김준규/NNP
검찰총장에게	검찰/NNG+총장/NNG+에게/JKB
“국민의	“/SS+국민/NNG+의/JKG
입장에서	입장/NNG+에서/JKB
생각하는	생각/NNG+하/XSV+는/ETM
성숙한	성숙/NNG+하/XSA+ㄴ/ETM
자세를	자세/NNG+를/JKO
보여주기	보이/VV+어/EC+주/VX+기/ETN
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
박정하	박정하/NNP
청와대	청와대/NNP
대변인이	대변인/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.382.5.2
이에 대해 김 총장은 “알겠습니다”라며 고개를 끄덕였다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
김	김/NNP
총장은	총장/NNG+은/JX
“알겠습니다”라며	“/SS+알/VV+겠/EP+습니다/EF+”/SS+이/VCP+라며/EC
고개를	고개/NNG+를/JKO
끄덕였다.	끄덕이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.382.6.1
이 대통령까지 나선 것은 지난 20일 임태희 대통령실장이 검·경 수사권 갈등을 중재한 지 얼마 안 돼 검찰이 다시 집단 반발하는 것은 청와대의 국정 장악력과도 연결되는 중대한 문제라고 판단했기 때문으로 보인다.

이	이/NNP
대통령까지	대통령/NNG+까지/JX
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
임태희	임태희/NNP
대통령실장이	대통령실장/NNG+이/JKS
검·경	검·경/NNG
수사권	수사/NNG+권/XSN
갈등을	갈등/NNG+을/JKO
중재한	중재/NNG+하/XSV+ㄴ/ETM
지	지/NNB
얼마	얼마/NNG
안	안/MAG
돼	되/VV+어/EC
검찰이	검찰/NNG+이/JKS
다시	다시/MAG
집단	집단/NNG
반발하는	반발/NNG+하/XSV+는/ETM
청와대의	청와대/NNP+의/JKG
국정	국정/NNG
장악력과도	장악력/NNG+과/JKB+도/JX
연결되는	연결/NNG+되/XSV+는/ETM
중대한	중대/NNG+하/XSA+ㄴ/ETM
문제라고	문제/NNG+이/VCP+라고/EC
판단했기	판단/NNG+하/XSV+았/EP+기/ETN
때문으로	때문/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.382.6.2
국민 여론도 검찰에 우호적이지 않다는 게 청와대 시각이다.

국민	국민/NNG
여론도	여론/NNG+도/JX
검찰에	검찰/NNG+에/JKB
우호적이지	우호/NNG+적/XSN+이/VCP+지/EC
않다는	않/VX+다는/ETM
게	거/NNB+이/JKS
청와대	청와대/NNP
시각이다.	시각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.382.7.1
청와대 고위 관계자는 “정부 합의안을 수정하는 것은 국회의 고유 권한이고, 국회도 정부의 합의 정신을 지키려 노력했다”며 “검찰이 국회에 ‘합의 파기’라고 반발하는 것은 명분이 없다.

청와대	청와대/NNP
고위	고위/NNG
관계자는	관계자/NNG+는/JX
“정부	“/SS+정부/NNG
합의안을	합의안/NNG+을/JKO
수정하는	수정/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
국회의	국회/NNG+의/JKG
고유	고유/NNG
권한이고,	권한/NNG+이/VCP+고/EC+,/SP
국회도	국회/NNG+도/JX
정부의	정부/NNG+의/JKG
합의	합의/NNG
정신을	정신/NNG+을/JKO
지키려	지키/VV+려/EC
노력했다”며	노력/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“검찰이	“/SS+검찰/NNG+이/JKS
국회에	국회/NNG+에/JKB
‘합의	‘/SS+합의/NNG
