# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.187
metadata : {}


# id : NWRW1800000030.187.1.1
CCTV에 잡힌 절도현장, 어느새 뜬 경찰 "꼼짝마"

CCTV에	CCTV/SL+에/JKB
잡힌	잡히/VV+ㄴ/ETM
절도현장,	절도/NNG+현장/NNG+,/SP
어느새	어느새/MAG
뜬	뜨/VV+ㄴ/ETM
경찰	경찰/NNG
"꼼짝마"	"/SS+꼼짝/MAG+말/VV+아/EF+"/SS


# id : NWRW1800000030.187.2.1
•모니터 요원과 합작, 이젠 실시간으로 현행범 잡는 CCTV

•모니터	•/SW+모니터/NNG
요원과	요원/NNG+과/JKB
합작,	합작/NNG+,/SP
이젠	이제/NNG+ㄴ/JX
실시간으로	실시간/NNG+으로/JKB
현행범	현행범/NNG
잡는	잡/VV+는/ETM
CCTV	CCTV/SL


# id : NWRW1800000030.187.3.1
지난 9월 서울 강남구 대치동에서 길가에 세워진 오토바이의 자물쇠를 끊고 훔쳐 가려던 일당 4명이 갑자기 나타난 경찰관들에게 체포됐다.

지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
서울	서울/NNP
강남구	강남구/NNP
대치동에서	대치동/NNP+에서/JKB
길가에	길가/NNG+에/JKB
세워진	세우/VV+어/EC+지/VX+ㄴ/ETM
오토바이의	오토바이/NNG+의/JKG
자물쇠를	자물쇠/NNG+를/JKO
끊고	끊/VV+고/EC
훔쳐	훔치/VV+어/EC
가려던	가/VV+려던/ETM
일당	일당/NNG
4명이	4/SN+명/NNB+이/JKS
갑자기	갑자기/MAG
나타난	나타나/VV+ㄴ/ETM
경찰관들에게	경찰관/NNG+들/XSN+에게/JKB
체포됐다.	체포/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.187.3.2
이들은 경찰관들에게 "어떻게 알고 출동했느냐"고 어리둥절해했다.

이들은	이/NP+들/XSN+은/JX
경찰관들에게	경찰관/NNG+들/XSN+에게/JKB
"어떻게	"/SS+어떻/VA+게/EC
알고	알/VV+고/EC
출동했느냐"고	출동/NNG+하/XSV+았/EP+느냐/EF+"/SS+고/JKQ
어리둥절해했다.	어리둥절하/VA+아/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.187.4.1
