# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.393
metadata : {}


# id : NWRW1800000021.393.1.1
[충북]충북 괴산에 기숙형 중학교… 6학급 규모 2012년 개교

[충북]충북	[/SS+충북/NNP+]/SS+충북/NNP
괴산에	괴산/NNP+에/JKB
기숙형	기숙/NNG+형/XSN
중학교…	중학교/NNG+…/SE
6학급	6/SN+학급/NNG
규모	규모/NNG
2012년	2012/SN+년/NNB
개교	개교/NNG


# id : NWRW1800000021.393.2.1
충북 괴산군 감물면 오성리에 ‘기숙형 중학교’가 들어선다.

충북	충북/NNP
괴산군	괴산군/NNP
감물면	감물면/NNP
오성리에	오성리/NNP+에/JKB
‘기숙형	‘/SS+기숙/NNG+형/XSN
중학교’가	중학교/NNG+’/SS+가/JKS
들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.393.2.2
괴산증평교육청은 15개 기숙형 중학교 용지 가운데 한 후보지였던 감물면 오성리 산19의 3만6600여 m²(약 1만1090평)에 학교를 신축하기로 했다고 2일 밝혔다.

괴산증평교육청은	괴산증평교육청/NNP+은/JX
15개	15/SN+개/NNB
기숙형	기숙/NNG+형/XSN
중학교	중학교/NNG
용지	용지/NNG
가운데	가운데/NNG
한	한/MMN
후보지였던	후보지/NNG+이/VCP+었/EP+던/ETM
감물면	감물면/NNP
오성리	오성리/NNP
산19의	산/NNG+19/SN+의/JKG
3만6600여	3/SN+만/NR+6600/SN+여/XSN
m²(약	m²/SW+(/SS+약/MMA
1만1090평)에	1/SN+만/NR+1090/SN+평/NNB+)/SS+에/JKB
학교를	학교/NNG+를/JKO
신축하기로	신축/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
2일	2/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.393.2.3
이를 위해 토지소유주들로부터 매각 동의를 받았으며 조만간 용지를 매입한 뒤 내년 7월 착공할 계획이다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
토지소유주들로부터	토지/NNG+소유주/NNG+들/XSN+로부터/JKB
매각	매각/NNG
동의를	동의/NNG+를/JKO
받았으며	받/VV+았/EP+으며/EC
조만간	조만간/MAG
용지를	용지/NNG+를/JKO
매입한	매입/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
내년	내년/NNG
7월	7/SN+월/NNB
착공할	착공/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.393.2.4
219억 원을 들여 학교 건물이 신축되면 2012년 3월 6학급 규모로 개교하게 된다.

219억	219/SN+억/NR
원을	원/NNB+을/JKO
들여	들이/VV+어/EC
학교	학교/NNG
건물이	건물/NNG+이/JKS
신축되면	신축/NNG+되/XSV+면/EC
2012년	2012/SN+년/NNB
3월	3/SN+월/NNB
6학급	6/SN+학급/NNG
규모로	규모/NNG+로/JKB
개교하게	개교/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.393.3.1
괴산증평교육청은 학생 수가 60명 이하인 감물 목도 연풍 장연 칠성중 등 5개교(학생 수 202명)를 통폐합해 2011년 기숙형 중학교를 설립할 예정이었다.

괴산증평교육청은	괴산증평교육청/NNP+은/JX
학생	학생/NNG
수가	수/NNG+가/JKS
60명	60/SN+명/NNB
이하인	이하/NNG+이/VCP+ㄴ/ETM
감물	감물/NNP
목도	목도/NNP
연풍	연풍/NNP
장연	장연/NNP
칠성중	칠성중/NNP
등	등/NNB
