# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.365
metadata : {}


# id : NWRW1800000054.365.1.1
北, 신형 미사일 3종 공개… 美 압박에 대놓고 'ICBM 시위'

北,	北/SH+,/SP
신형	신형/NNG
미사일	미사일/NNG
3종	3/SN+종/NNG
공개…	공개/NNG+…/SE
美	美/SH
압박에	압박/NNG+에/JKB
대놓고	대놓고/MAG
'ICBM	'/SS+ICBM/SL
시위'	시위/NNG+'/SS


# id : NWRW1800000054.365.2.1
열병식서 발사관 등 공개

열병식서	열병식/NNG+서/JKB
발사관	발사관/NNG
등	등/NNB
공개	공개/NNG


# id : NWRW1800000054.365.3.1
북한은 15일 김일성 생일 105주년 열병식에서 중국·러시아제를 모방한 듯한 신형 ICBM(대륙간탄도미사일)들을 선보였다.

북한은	북한/NNP+은/JX
15일	15/SN+일/NNB
김일성	김일성/NNP
생일	생일/NNG
105주년	105/SN+주년/NNB
열병식에서	열병식/NNG+에서/JKB
중국·러시아제를	중국/NNP+·/SP+러시아제/NNG+를/JKO
모방한	모방/NNG+하/XSV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
신형	신형/NNG
ICBM(대륙간탄도미사일)들을	ICBM/SL+(/SS+대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+)/SS+들/XSN+을/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.365.3.2
미국과 중국의 압박에도 ICBM 개발을 포기하지 않겠다는 의지를 보이려는 의도로 분석된다.

미국과	미국/NNP+과/JC
중국의	중국/NNP+의/JKG
압박에도	압박/NNG+에/JKB+도/JX
ICBM	ICBM/SL
개발을	개발/NNG+을/JKO
포기하지	포기/NNG+하/XSV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
의지를	의지/NNG+를/JKO
보이려는	보이/VV+려는/ETM
의도로	의도/NNG+로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.365.3.3
북한의 신형 ICBM들이 실제 미 본토를 핵 타격할 수 있는 능력을 갖고 있는지는 검증이 필요하지만, 예상보다 빠른 북한의 개발 속도에 놀란 한·미 군 당국은 정밀 분석에 착수했다.

북한의	북한/NNP+의/JKG
신형	신형/NNG
ICBM들이	ICBM/SL+들/XSN+이/JKS
실제	실제/MAG
미	미/NNP
본토를	본토/NNG+를/JKO
핵	핵/NNG
타격할	타격/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
능력을	능력/NNG+을/JKO
갖고	갖/VV+고/EC
있는지는	있/VX+는지/EF+는/JX
검증이	검증/NNG+이/JKS
필요하지만,	필요/NNG+하/XSA+지만/EC+,/SP
예상보다	예상/NNG+보다/JKB
빠른	빠르/VA+ㄴ/ETM
개발	개발/NNG
속도에	속도/NNG+에/JKB
놀란	놀라/VV+ㄴ/ETM
한·미	한·미/NNP
군	군/NNG
당국은	당국/NNG+은/JX
정밀	정밀/NNG
분석에	분석/NNG+에/JKB
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.365.4.1
①중·러 고체연료 ICBM 모방 능력 과시

①중·러	①/SW+중/NNP+·/SP+러/NNP
고체연료	고체/NNG+연료/NNG
ICBM	ICBM/SL
모방	모방/NNG
능력	능력/NNG
과시	과시/NNG


# id : NWRW1800000054.365.5.1
북한이 이날 처음 공개한 ICBM은 ▲중국에서 도입한 바퀴 16개 달린 대형 이동식 발사 차량에 원통형 발사관을 실은 형태 ▲대형 트레일러에 실려 이동하는 발사관을 가진 형태 ▲무수단 미사일 이동식 발사 차량에 기존 KN-08 ICBM 개조형을 실은 형태 등 3종이다.

북한이	북한/NNP+이/JKS
이날	이날/NNG
처음	처음/NNG
공개한	공개/NNG+하/XSV+ㄴ/ETM
ICBM은	ICBM/SL+은/JX
▲중국에서	▲/SW+중국/NNP+에서/JKB
도입한	도입/NNG+하/XSV+ㄴ/ETM
바퀴	바퀴/NNG
16개	16/SN+개/NNB
달린	달리/VV+ㄴ/ETM
대형	대형/NNG
이동식	이동식/NNG
발사	발사/NNG
차량에	차량/NNG+에/JKB
원통형	원통/NNG+형/XSN
발사관을	발사관/NNG+을/JKO
실은	싣/VV+은/ETM
형태	형태/NNG
▲대형	▲/SW+대형/NNG
트레일러에	트레일러/NNG+에/JKB
실려	실리/VV+어/EC
이동하는	이동/NNG+하/XSV+는/ETM
가진	가지/VV+ㄴ/ETM
▲무수단	▲/SW+무수단/NNP
미사일	미사일/NNG
기존	기존/NNG
KN-08	KN/SL+-/SO+08/SN
ICBM	ICBM/SL
개조형을	개조/NNG+형/XSN+을/JKO
등	등/NNB
3종이다.	3/SN+종/NNG+이/VCP+다/EF+./SF


