# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.203
metadata : {}


# id : NWRW1800000021.203.1.1
[이젠 원자력이다]“가진 건 머리뿐”… 맨손으로 일으킨 ‘원자력 독립국’

[이젠	[/SS+이제/NNG+ㄴ/JX
원자력이다]“가진	원자력/NNG+이/VCP+다/EF+]/SS+“/SS+가지/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
머리뿐”…	머리/NNG+뿐/JX+”/SS+…/SE
맨손으로	맨/XPN+손/NNG+으로/JKB
일으킨	일으키/VV+ㄴ/ETM
‘원자력	‘/SS+원자력/NNG
독립국’	독립국/NNG+’/SS


# id : NWRW1800000021.203.2.1
《“한국은 자원 빈국이 아니다.

《“한국은	《/SS+“/SS+한국/NNP+은/JX
자원	자원/NNG
빈국이	빈국/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000021.203.2.2
석탄은 땅에서 캐는 에너지이지만, 원자력은 사람의 머리에서 캐내는 에너지다….”

석탄은	석탄/NNG+은/JX
땅에서	땅/NNG+에서/JKB
캐는	캐/VV+는/ETM
에너지이지만,	에너지/NNG+이/VCP+지만/EC+,/SP
원자력은	원자력/NNG+은/JX
사람의	사람/NNG+의/JKG
머리에서	머리/NNG+에서/JKB
캐내는	캐내/VV+는/ETM
에너지다….”	에너지/NNG+이/VCP+다/EF+…/SE+./SF+”/SS


# id : NWRW1800000021.203.3.1
제2차 세계대전 직후 유럽의 전력 계통 복구를 주도했던 미국 전기기술의 대가 워커 시슬러가 1956년 이승만 전 대통령을 예방한 자리에서 한 말이다.

제2차	제/XPN+2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
직후	직후/NNG
유럽의	유럽/NNP+의/JKG
전력	전력/NNG
계통	계통/NNG
복구를	복구/NNG+를/JKO
주도했던	주도/NNG+하/XSV+았/EP+던/ETM
미국	미국/NNP
전기기술의	전기/NNG+기술/NNG+의/JKG
대가	대가/NNG
워커	워커/NNP
시슬러가	시슬러/NNP+가/JKS
1956년	1956/SN+년/NNB
이승만	이승만/NNP
전	전/MMD
