# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.237
metadata : {}


# id : NWRW1800000053.237.1.1
은반 ‘러시아 소녀시대’… 금 은 동 싹쓸이?

은반	은반/NNG
‘러시아	‘/SS+러시아/NNP
소녀시대’…	소녀/NNG+시대/NNG+’/SS+…/SE
금	금/NNG
은	은/NNG
동	동/NNG
싹쓸이?	싹쓸이/NNG+?/SF


# id : NWRW1800000053.237.2.1
>[평창올림픽 D-80/평창 이 종목, 메달 기상도]<3> 피겨스케이팅

>[평창올림픽	>/SS+[/SS+평창/NNP+올림픽/NNG
D-80/평창	D/SL+-/SO+80/SN+//SP+평창/NNP
이	이/MMD
종목,	종목/NNG+,/SP
메달	메달/NNG
기상도]<3>	기상도/NNG+]/SS+</SS+3/SN+>/SS
피겨스케이팅	피겨/NNG+스케이팅/NNG


# id : NWRW1800000053.237.3.1
‘은반 위의 예술’ 피겨스케이팅의 세계적 강국은 라이벌 관계에 있는 러시아와 미국이다.

‘은반	‘/SS+은반/NNG
위의	위/NNG+의/JKG
예술’	예술/NNG+’/SS
피겨스케이팅의	피겨/NNG+스케이팅/NNG+의/JKG
세계적	세계/NNG+적/XSN
강국은	강국/NNG+은/JX
라이벌	라이벌/NNG
관계에	관계/NNG+에/JKB
있는	있/VA+는/ETM
러시아와	러시아/NNP+와/JC
미국이다.	미국/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000053.237.4.1
러시아는 소련 시절을 포함해 올림픽 피겨에서만 50개의 메달(총 메달 수 1위)을 획득했다.

러시아는	러시아/NNP+는/JX
소련	소련/NNP
시절을	시절/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
올림픽	올림픽/NNG
피겨에서만	피겨/NNG+에서/JKB+만/JX
50개의	50/SN+개/NNB+의/JKG
메달(총	메달/NNG+(/SS+총/MMA
메달	메달/NNG
수	수/NNG
1위)을	1/SN+위/NNB+)/SS+을/JKO
획득했다.	획득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.237.4.2
금메달 수만 24개(러시아 14개, 소련 10개)에 달한다.

금메달	금메달/NNG
수만	수/NNG+만/JX
24개(러시아	24/SN+개/NNB+(/SS+러시아/NNP
14개,	14/SN+개/NNB+,/SP
소련	소련/NNP
10개)에	10/SN+개/NNB+)/SS+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.237.4.3
총 메달 수 2위는 미국이다.

총	총/MMA
메달	메달/NNG
수	수/NNG
2위는	2/SN+위/NNB+는/JX
미국이다.	미국/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000053.237.4.4
미국은 역대 올림픽 피겨에서 49개의 메달(금메달 15개)을 획득했다.

미국은	미국/NNP+은/JX
역대	역대/NNG
올림픽	올림픽/NNG
피겨에서	피겨/NNG+에서/JKB
49개의	49/SN+개/NNB+의/JKG
메달(금메달	메달/NNG+(/SS+금메달/NNG
15개)을	15/SN+개/NNB+)/SS+을/JKO
획득했다.	획득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.237.4.5
2018 평창 겨울올림픽에서 러시아와 미국은 각각 여자 싱글과 남자 싱글의 우승 후보들을 앞세워 메달 추가 획득을 노린다.

2018	2018/SN
평창	평창/NNP
겨울올림픽에서	겨울/NNG+올림픽/NNG+에서/JKB
러시아와	러시아/NNP+와/JC
미국은	미국/NNP+은/JX
각각	각각/MAG
여자	여자/NNG
싱글과	싱글/NNG+과/JC
남자	남자/NNG
싱글의	싱글/NNG+의/JKG
우승	우승/NNG
후보들을	후보/NNG+들/XSN+을/JKO
앞세워	앞세우/VV+어/EC
메달	메달/NNG
추가	추가/NNG
획득을	획득/NNG+을/JKO
노린다.	노리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.237.5.1
러시아는 전통적으로 피겨 페어와 남자 싱글에서 강세를 보였지만 여자 싱글에선 부진했다.

러시아는	러시아/NNP+는/JX
전통적으로	전통/NNG+적/XSN+으로/JKB
피겨	피겨/NNG
페어와	페어/NNG+와/JC
남자	남자/NNG
싱글에서	싱글/NNG+에서/JKB
강세를	강세/NNG+를/JKO
보였지만	보이/VV+었/EP+지만/EC
여자	여자/NNG
싱글에선	싱글/NNG+에서/JKB+ㄴ/JX
부진했다.	부진/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000053.237.5.2
2014년 소치 겨울올림픽에서 아델리나 소트니코바가 판정 논란 끝에 김연아(은메달)를 꺾고 우승한 것이 러시아 여자 싱글의 첫 올림픽 금메달이었다.

2014년	2014/SN+년/NNB
소치	소치/NNP
겨울올림픽에서	겨울/NNG+올림픽/NNG+에서/JKB
아델리나	아델리나/NNP
소트니코바가	소트니코바/NNP+가/JKS
판정	판정/NNG
논란	논란/NNG
끝에	끝/NNG+에/JKB
김연아(은메달)를	김연아/NNP+(/SS+은메달/NNG+)/SS+를/JKO
꺾고	꺾/VV+고/EC
우승한	우승/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
러시아	러시아/NNP
여자	여자/NNG
싱글의	싱글/NNG+의/JKG
첫	첫/MMN
올림픽	올림픽/NNG
금메달이었다.	금메달/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.237.5.3
평창 올림픽에서 러시아는 세계 1위 예브게니야 메드베데바(18) 등 ‘10대 천재 소녀들’을 앞세워 두 번째 금메달 획득을 노린다.

평창	평창/NNP
올림픽에서	올림픽/NNG+에서/JKB
러시아는	러시아/NNP+는/JX
세계	세계/NNG
1위	1/SN+위/NNB
예브게니야	예브게니야/NNP
메드베데바(18)	메드베데바/NNP+(/SS+18/SN+)/SS
등	등/NNB
‘10대	‘/SS+10/SN+대/NNB
천재	천재/NNG
소녀들’을	소녀/NNG+들/XSN+’/SS+을/JKO
앞세워	앞세우/VV+어/EC
두	두/MMN
번째	번/NNB+째/XSN
금메달	금메달/NNG
획득을	획득/NNG+을/JKO
노린다.	노리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.237.5.4
메드베데바는 쇼트프로그램(80.85점)과 프리스케이팅(160.46점), 총점(241.31점)에서 모두 세계 최고 기록을 보유하고 있다.

메드베데바는	메드베데바/NNP+는/JX
쇼트프로그램(80.85점)과	쇼트프로그램/NNG+(/SS+80/SN+./SP+85/SN+점/NNB+)/SS+과/JC
프리스케이팅(160.46점),	프리스케이팅/NNG+(/SS+160/SN+./SP+46/SN+점/NNB+)/SS+,/SP
총점(241.31점)에서	총점/NNG+(/SS+241/SN+./SP+31/SN+점/NNB+)/SS+에서/JKB
모두	모두/MAG
세계	세계/NNG
최고	최고/NNG
기록을	기록/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.237.5.5
대한빙상경기연맹 관계자는 “메드베데바는 점프를 한 뒤 공중에서의 회전력이 탁월하다. 이 때문에 난도 높은 트리플(3회전) 점프의 성공률이 높아 고득점에 유리하다”고 평가했다.

대한빙상경기연맹	대한빙상경기연맹/NNP
관계자는	관계자/NNG+는/JX
“메드베데바는	“/SS+메드베데바/NNP+는/JX
점프를	점프/NNG+를/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
공중에서의	공중/NNG+에서/JKB+의/JKG
회전력이	회전력/NNG+이/JKS
탁월하다.	탁월하/VA+다/EF+./SF
이	이/MMD
때문에	때문/NNB+에/JKB
난도	난도/NNG
높은	높/VA+은/ETM
트리플(3회전)	트리플/NNG+(/SS+3/SN+회전/NNG+)/SS
점프의	점프/NNG+의/JKG
성공률이	성공/NNG+률/XSN+이/JKS
높아	높/VA+아/EC
고득점에	고/XPN+득점/NNG+에/JKB
유리하다”고	유리/NNG+하/XSA+다/EF+”/SS+고/JKQ
