# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.169
metadata : {}


# id : NWRW1800000024.169.1.1
“무조건 예스 하는것 /회사 발전에 걸림돌”

“무조건	“/SS+무/XPN+조건/NNG
예스	예스/NNG
하는것	하/VV+는/ETM+것/NNB
/회사	//SP+회사/NNG
발전에	발전/NNG+에/JKB
걸림돌”	걸림돌/NNG+”/SS


# id : NWRW1800000024.169.2.1
“케이티가 성장할 길은 가치창조 경영이다.

“케이티가	“/SS+케이티/NNP+가/JKS
성장할	성장/NNG+하/XSV+ㄹ/ETM
길은	길/NNG+은/JX
가치창조	가치/NNG+창조/NNG
경영이다.	경영/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.169.2.2
‘해바라기 경영’은 가치창조의 최대 걸림돌이다.”

‘해바라기	‘/SS+해바라기/NNG
경영’은	경영/NNG+’/SS+은/JX
가치창조의	가치/NNG+창조/NNG+의/JKG
최대	최대/NNG
걸림돌이다.”	걸림돌/NNG+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000024.169.3.1
김응한 케이티(KT) 이사회 의장이 케이티 임직원들에게 해바라기 경영을 경계할 것을 주문해, 임직원들로부터 지금 상황에서 적절한 지적이란 평가를 받았다.

김응한	김응한/NNP
케이티(KT)	케이티/NNP+(/SS+KT/SL+)/SS
이사회	이사회/NNG
의장이	의장/NNG+이/JKS
케이티	케이티/NNP
임직원들에게	임직원/NNG+들/XSN+에게/JKB
해바라기	해바라기/NNG
경영을	경영/NNG+을/JKO
경계할	경계/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
주문해,	주문/NNG+하/XSV+아/EC+,/SP
임직원들로부터	임직원/NNG+들/XSN+로부터/JKB
지금	지금/MAG
상황에서	상황/NNG+에서/JKB
적절한	적절하/VA+ㄴ/ETM
지적이란	지적/NNG+이/VCP+란/ETM
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.169.3.2
케이티 경영체제는 최고경영자와 이사회 의장이 분리돼 있는 구조로, 이사회 의장이 이사회를 통해 최고경영자를 견제하는 구실도 한다.

케이티	케이티/NNP
경영체제는	경영/NNG+체제/NNG+는/JX
최고경영자와	최고/NNG+경영자/NNG+와/JC
이사회	이사회/NNG
의장이	의장/NNG+이/JKS
분리돼	분리/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
구조로,	구조/NNG+로/JKB+,/SP
이사회를	이사회/NNG+를/JKO
통해	통하/VV+아/EC
최고경영자를	최고/NNG+경영자/NNG+를/JKO
견제하는	견제/NNG+하/XSV+는/ETM
구실도	구실/NNG+도/JX
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.169.3.3
김 의장은 세계은행 자문위원 등을 거쳐 지금은 미국 미시간대 석좌교수로 있다.

김	김/NNP
의장은	의장/NNG+은/JX
세계은행	세계은행/NNP
자문위원	자문/NNG+위원/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
지금은	지금/NNG+은/JX
미국	미국/NNP
미시간대	미시간대/NNP
석좌교수로	석좌/NNG+교수/NNG+로/JKB
있다.	있/VV+다/EF+./SF


# id : NWRW1800000024.169.4.1
19일 케이티 임직원들에 따르면, 김 의장은 이날 오전 이석채 회장을 포함해 케이티의 부장급 이상 임직원 500명을 대상으로 한 강연에서 “통합케이티의 성장잠재력을 현실화하기 위해서는 서로 하나가 돼 가치창조를 많이 하는 게 중요하다”며 해바라기 경영을 경계할 것을 주문했다.

19일	19/SN+일/NNB
케이티	케이티/NNP
임직원들에	임직원/NNG+들/XSN+에/JKB
따르면,	따르/VV+면/EC+,/SP
김	김/NNP
의장은	의장/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
이석채	이석채/NNP
회장을	회장/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
케이티의	케이티/NNP+의/JKG
부장급	부장급/NNG
이상	이상/NNG
임직원	임직원/NNG
500명을	500/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
강연에서	강연/NNG+에서/JKB
“통합케이티의	“/SS+통합/NNG+케이티/NNP+의/JKG
성장잠재력을	성장/NNG+잠재력/NNG+을/JKO
현실화하기	현실/NNG+화/XSN+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
서로	서로/MAG
하나가	하나/NR+가/JKC
돼	되/VV+어/EC
가치창조를	가치/NNG+창조/NNG+를/JKO
많이	많이/MAG
하는	하/VV+는/ETM
게	거/NNB+이/JKS
중요하다”며	중요/NNG+하/XSA+다/EF+”/SS+며/EC
해바라기	해바라기/NNG
경영을	경영/NNG+을/JKO
경계할	경계/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.169.4.2
김 의장이 말하는 해바라기 경영이란 의사결정권자의 의견에 무조건 ‘예스’ 하는 것이다.

김	김/NNP
의장이	의장/NNG+이/JKS
말하는	말/NNG+하/XSV+는/ETM
해바라기	해바라기/NNG
경영이란	경영/NNG+이란/JX
의사결정권자의	의사/NNG+결정권자/NNG+의/JKG
의견에	의견/NNG+에/JKB
무조건	무/XPN+조건/NNG
‘예스’	‘/SS+예스/NNG+’/SS
하는	하/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.169.4.3
그는 “창조력을 먹고사는 정보기술산업에 창조력을 파괴하는 해바라기 경영은 다른 어떤 산업보다 회사 발전을 저해하는 요소가 크다”며 “의사결정권자 의견에 무조건 예스 하는 것은 가치창출을 저해하는 것이자 창조력을 퇴보시키는 것”이라고 강조했다.

그는	그/NP+는/JX
“창조력을	“/SS+창조력/NNG+을/JKO
먹고사는	먹고살/VV+는/ETM
정보기술산업에	정보/NNG+기술/NNG+산업/NNG+에/JKB
창조력을	창조력/NNG+을/JKO
파괴하는	파괴/NNG+하/XSV+는/ETM
해바라기	해바라기/NNG
경영은	경영/NNG+은/JX
다른	다른/MMD
어떤	어떤/MMD
산업보다	산업/NNG+보다/JKB
회사	회사/NNG
발전을	발전/NNG+을/JKO
저해하는	저해/NNG+하/XSV+는/ETM
요소가	요소/NNG+가/JKS
크다”며	크/VA+다/EF+”/SS+며/EC
“의사결정권자	“/SS+의사/NNG+결정권자/NNG
의견에	의견/NNG+에/JKB
무조건	무/XPN+조건/NNG
예스	예스/NNG
하는	하/VV+는/ETM
것은	것/NNB+은/JX
가치창출을	가치/NNG+창출/NNG+을/JKO
것이자	것/NNB+이/VCP+자/EC
퇴보시키는	퇴보/NNG+시키/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.169.5.1
