# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.18
metadata : {}


# id : NWRW1800000040.18.1.1
‘경제민주화 법안 추진에 찬물’ 박 대통령, 입법권 침해 논란

‘경제민주화	‘/SS+경제/NNG+민주/NNG+화/XSN
법안	법안/NNG
추진에	추진/NNG+에/JKB
찬물’	찬물/NNG+’/SS
박	박/NNP
대통령,	대통령/NNG+,/SP
입법권	입법/NNG+권/XSN
침해	침해/NNG
논란	논란/NNG


# id : NWRW1800000040.18.2.1
“공약 아닌 내용 무리” 발언에

“공약	“/SS+공약/NNG
아닌	아니/VCN+ㄴ/ETM
내용	내용/NNG
무리”	무리/NNG+”/SS
발언에	발언/NNG+에/JKB


# id : NWRW1800000040.18.3.1
여야, 가이드라인 ‘월권’ 지적

여야,	여야/NNG+,/SP
가이드라인	가이드라인/NNG
‘월권’	‘/SS+월권/NNG+’/SS
지적	지적/NNG


# id : NWRW1800000040.18.4.1
“본격 심의도 전에 위축 우려”

“본격	“/SS+본격/NNG
심의도	심의/NNG+도/JX
전에	전/NNG+에/JKB
위축	위축/NNG
우려”	우려/NNG+”/SS


# id : NWRW1800000040.18.5.1
박근혜 대통령이 “(내) 공약 내용이 아닌 무리한 것”이라며 국회의 경제민주화 관련 법안 개정 움직임에 제동을 걸고 나선 데 대해 여야 정치권에서 “부적절했다”는 지적이 잇따르고 있다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
“(내)	“/SS+(/SS+나/NP+의/JKG+)/SS
공약	공약/NNG
내용이	내용/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
무리한	무리/NNG+하/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
국회의	국회/NNG+의/JKG
경제민주화	경제/NNG+민주/NNG+화/XSN
관련	관련/NNG
법안	법안/NNG
개정	개정/NNG
움직임에	움직임/NNG+에/JKB
제동을	제동/NNG+을/JKO
걸고	걸/VV+고/EC
나선	나서/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
여야	여야/NNG
정치권에서	정치/NNG+권/XSN+에서/JKB
“부적절했다”는	“/SS+부적절하/VA+았/EP+다/EF+”/SS+는/ETM
지적이	지적/NNG+이/JKS
잇따르고	잇따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.18.5.2
행정부의 수장이 국회의 입법권을 침해한 것인데다, 자신의 대선 공약을 법 개정의 ‘가이드라인’으로 제시해 정치권의 경제민주화 법안 추진 움직임에 찬물을 끼얹었다는 것이다.

행정부의	행정부/NNG+의/JKG
수장이	수장/NNG+이/JKS
국회의	국회/NNG+의/JKG
입법권을	입법/NNG+권/XSN+을/JKO
침해한	침해/NNG+하/XSV+ㄴ/ETM
것인데다,	것/NNB+이/VCP+ㄴ/ETM+데/NNB+다/JX+,/SP
자신의	자신/NNG+의/JKG
대선	대선/NNG
공약을	공약/NNG+을/JKO
법	법/NNG
개정의	개정/NNG+의/JKG
‘가이드라인’으로	‘/SS+가이드라인/NNG+’/SS+으로/JKB
제시해	제시/NNG+하/XSV+아/EC
정치권의	정치/NNG+권/XSN+의/JKG
경제민주화	경제/NNG+민주/NNG+화/XSN
법안	법안/NNG
추진	추진/NNG
움직임에	움직임/NNG+에/JKB
찬물을	찬물/NNG+을/JKO
끼얹었다는	끼얹/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.18.6.1
새누리당 고위 관계자는 16일 “헌법기관인 국회의원(개개인)이 소신과 양심에 따라 입법활동을 할 수 있는 건데, 어떻게 행정부의 수장이 야당까지 있는 국회에 자신이 공약하지 않은 건 입법하지 말라고 할 수가 있느냐.

새누리당	새누리당/NNP
고위	고위/NNG
관계자는	관계자/NNG+는/JX
16일	16/SN+일/NNB
“헌법기관인	“/SS+헌법/NNG+기관/NNG+이/VCP+ㄴ/ETM
국회의원(개개인)이	국회/NNG+의원/NNG+(/SS+개개인/NNG+)/SS+이/JKS
소신과	소신/NNG+과/JC
양심에	양심/NNG+에/JKB
따라	따르/VV+아/EC
입법활동을	입법/NNG+활동/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
