# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.31
metadata : {}


# id : NWRW1800000041.31.1.1
15년만에 맥주 삼국지, 클라우드만 웃었네

15년만에	15/SN+년/NNB+만/NNB+에/JKB
맥주	맥주/NNG
삼국지,	삼국지/NNG+,/SP
클라우드만	클라우드/NNG+만/JX
웃었네	웃/VV+었/EP+네/EF


# id : NWRW1800000041.31.2.1
최대 성수기 여름시즌 성적표

최대	최대/NNG
성수기	성수기/NNG
여름시즌	여름/NNG+시즌/NNG
성적표	성적표/NNG


# id : NWRW1800000041.31.3.1
맥주업계 최대 성수기인 여름 시즌이 사실상 막을 내리면서 국산 맥주 3사의 성적표에도 관심이 쏠리고 있다.

맥주업계	맥주/NNG+업계/NNG
최대	최대/NNG
성수기인	성수기/NNG+이/VCP+ㄴ/ETM
여름	여름/NNG
시즌이	시즌/NNG+이/JKS
사실상	사실/NNG+상/XSN
막을	막/NNG+을/JKO
내리면서	내리/VV+면서/EC
국산	국산/NNG
맥주	맥주/NNG
3사의	3사/NNG+의/JKG
성적표에도	성적표/NNG+에/JKB+도/JX
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.31.3.2
올해는 롯데주류의 시장 진입으로 1999년 오비맥주가 카스맥주를 인수한 지 15년 만에 3파전이 전개됐다.

올해는	올해/NNG+는/JX
롯데주류의	롯데주류/NNP+의/JKG
시장	시장/NNG
진입으로	진입/NNG+으로/JKB
1999년	1999/SN+년/NNB
오비맥주가	오비맥주/NNP+가/JKS
카스맥주를	카스맥주/NNP+를/JKO
인수한	인수/NNG+하/XSV+ㄴ/ETM
지	지/NNB
15년	15/SN+년/NNB
만에	만/NNB+에/JKB
3파전이	3파전/NNG+이/JKS
전개됐다.	전개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.31.3.3
게다가 ‘카스’ 맥주의 소독약 냄새 논란까지 벌어지면서 점유율에 대한 관심이 높아졌다.

게다가	게다가/MAG
‘카스’	‘/SS+카스/NNP+’/SS
맥주의	맥주/NNG+의/JKG
소독약	소독약/NNG
냄새	냄새/NNG
논란까지	논란/NNG+까지/JX
벌어지면서	벌어지/VV+면서/EC
점유율에	점유/NNG+율/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.31.4.1
26일 유통업계에 따르면 올여름 ‘시즌’이 끝난 후 미소를 짓는 업체는 올해 처음으로 맥주시장에 진입한 롯데인 것으로 보인다.

26일	26/SN+일/NNB
유통업계에	유통업/NNG+계/XSN+에/JKB
따르면	따르/VV+면/EC
올여름	올여름/NNG
‘시즌’이	‘/SS+시즌/NNG+’/SS+이/JKS
끝난	끝나/VV+ㄴ/ETM
후	후/NNG
미소를	미소/NNG+를/JKO
짓는	짓/VV+는/ETM
업체는	업체/NNG+는/JX
올해	올해/NNG
처음으로	처음/NNG+으로/JKB
맥주시장에	맥주/NNG+시장/NNG+에/JKB
진입한	진입/NNG+하/XSV+ㄴ/ETM
롯데인	롯데/NNP+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.31.4.2
오비맥주가 계속 1위를 지키긴 했지만 지난해보다 점유율이 10%포인트 가까이 하락했으며 하이트진로의 점유율도 소폭 내려갔다.

오비맥주가	오비맥주/NNP+가/JKS
계속	계속/MAG
1위를	1/SN+위/NNB+를/JKO
지키긴	지키/VV+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
지난해보다	지난해/NNG+보다/JKB
점유율이	점유/NNG+율/XSN+이/JKS
10%포인트	10/SN+%/SW+포인트/NNG
가까이	가까이/MAG
하락했으며	하락/NNG+하/XSV+았/EP+으며/EC
하이트진로의	하이트진로/NNP+의/JKG
점유율도	점유/NNG+율/XSN+도/JX
소폭	소폭/MAG
내려갔다.	내려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.31.4.3
롯데는 두 회사의 점유율 감소분을 차지한 것으로 보인다.

롯데는	롯데/NNP+는/JX
두	두/MMN
회사의	회사/NNG+의/JKG
점유율	점유/NNG+율/XSN
감소분을	감소/NNG+분/XSN+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.31.5.1
대형마트 A사가 자사(自社) 전국 매장의 국산맥주 점유율을 집계한 자료에 따르면 오비맥주는 이달 들어 25일까지 52.0%의 점유율을 기록해 2011년 이후 유지해 온 1위 자리를 지켰다.

대형마트	대형/NNG+마트/NNG
A사가	A사/NNG+가/JKS
자사(自社)	자사/NNG+(/SS+自社/SH+)/SS
전국	전국/NNG
매장의	매장/NNG+의/JKG
국산맥주	국산/NNG+맥주/NNG
점유율을	점유/NNG+율/XSN+을/JKO
집계한	집계/NNG+하/XSV+ㄴ/ETM
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
오비맥주는	오비맥주/NNP+는/JX
이달	이달/NNG
들어	들/VV+어/EC
25일까지	25/SN+일/NNB+까지/JX
52.0%의	52/SN+./SP+0/SN+%/SW+의/JKG
기록해	기록/NNG+하/XSV+아/EC
2011년	2011/SN+년/NNB
이후	이후/NNG
유지해	유지/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
1위	1/SN+위/NNB
자리를	자리/NNG+를/JKO
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.31.5.2
하지만 점유율은 지난해 같은 기간(61.4%)에 비해 9.4%포인트 하락했다.

