# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.238
metadata : {}


# id : NWRW1800000025.238.1.1
“학교 평가때 체벌 여부 반영”

“학교	“/SS+학교/NNG
평가때	평가/NNG+때/NNG
체벌	체벌/NNG
여부	여부/NNG
반영”	반영/NNG+”/SS


# id : NWRW1800000025.238.2.1
김상곤 경기도교육감이 학생인권 실태를 학교 및 교육청 평가 때 반영하고, 사설학원의 체벌 여부도 감독하기로 했다.

김상곤	김상곤/NNP
경기도교육감이	경기도/NNP+교육감/NNG+이/JKS
학생인권	학생/NNG+인권/NNG
실태를	실태/NNG+를/JKO
학교	학교/NNG
및	및/MAG
교육청	교육청/NNG
평가	평가/NNG
때	때/NNG
반영하고,	반영/NNG+하/XSV+고/EC+,/SP
사설학원의	사설/NNG+학원/NNG+의/JKG
체벌	체벌/NNG
여부도	여부/NNG+도/JX
감독하기로	감독/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.238.2.2
김 교육감은 30일 오전 경기 수원시 장안구 조원동 도교육청 청사에서 생활담당 장학관 및 장학사 50여 명이 참석한 가운데 열린 ‘건강한 학교문화 정착을 위한 생활인권담당관 협의회’에서 이런 내용을 담은 교육감 특별 정책 지침을 발표했다.

김	김/NNP
교육감은	교육감/NNG+은/JX
30일	30/SN+일/NNB
오전	오전/NNG
경기	경기/NNP
수원시	수원시/NNP
장안구	장안구/NNP
조원동	조원동/NNP
도교육청	도/NNG+교육청/NNG
청사에서	청사/NNG+에서/JKB
생활담당	생활/NNG+담당/NNG
장학관	장학관/NNG
및	및/MAG
장학사	장학사/NNG
50여	50/SN+여/XSN
명이	명/NNB+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
열린	열리/VV+ㄴ/ETM
‘건강한	‘/SS+건강/NNG+하/XSA+ㄴ/ETM
학교문화	학교/NNG+문화/NNG
정착을	정착/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
생활인권담당관	생활/NNG+인권/NNG+담당관/NNG
협의회’에서	협의회/NNG+’/SS+에서/JKB
이런	이런/MMD
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
교육감	교육감/NNG
특별	특별/NNG
정책	정책/NNG
지침을	지침/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.238.2.3
그는 이 자리에서 “학생인권과 체벌을 바라보는 근본적인 인식의 전환이 필요하다”며 “교육청과 학교, 교사 모두의 노력이 미흡한 것에 대한 성찰이 필요하다”고 지적했다.

그는	그/NP+는/JX
이	이/MMD
자리에서	자리/NNG+에서/JKB
“학생인권과	“/SS+학생/NNG+인권/NNG+과/JC
체벌을	체벌/NNG+을/JKO
바라보는	바라보/VV+는/ETM
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
인식의	인식/NNG+의/JKG
전환이	전환/NNG+이/JKS
필요하다”며	필요/NNG+하/XSA+다/EF+”/SS+며/EC
“교육청과	“/SS+교육청/NNG+과/JC
학교,	학교/NNG+,/SP
교사	교사/NNG
모두의	모두/NNG+의/JKG
노력이	노력/NNG+이/JKS
미흡한	미흡/NNG+하/XSA+ㄴ/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
성찰이	성찰/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.238.3.1
이어 김 교육감은 △학생체벌 전면 금지 원칙 △강압적 교문지도 지양 △학교 규정 제정·개정에 학생 참여 △두발길이 제한 폐지(염색, 파마는 학교별 자율 규제) △야간자율학습 및 보충수업 선택권 보장 등 구체적인 지침을 내놓았다.

이어	이어/MAG
김	김/NNP
교육감은	교육감/NNG+은/JX
△학생체벌	△/SW+학생/NNG+체벌/NNG
전면	전면/NNG
금지	금지/NNG
원칙	원칙/NNG
△강압적	△/SW+강압/NNG+적/XSN
교문지도	교문/NNG+지도/NNG
지양	지양/NNG
△학교	△/SW+학교/NNG
규정	규정/NNG
제정·개정에	제정/NNG+·/SP+개정/NNG+에/JKB
학생	학생/NNG
참여	참여/NNG
△두발길이	△/SW+두발/NNG+길이/NNG
제한	제한/NNG
폐지(염색,	폐지/NNG+(/SS+염색/NNG+,/SP
파마는	파마/NNG+는/JX
학교별	학교/NNG+별/XSN
자율	자율/NNG
규제)	규제/NNG+)/SS
△야간자율학습	△/SW+야간/NNG+자율/NNG+학습/NNG
및	및/MAG
보충수업	보충/NNG+수업/NNG
선택권	선택/NNG+권/XSN
보장	보장/NNG
등	등/NNB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
지침을	지침/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.238.3.2
특히 상습적인 체벌이나 언어폭력, 성폭력 사례가 있는 교사에 대한 정보를 해당 교육청에서 미리 파악하도록 지시했다.

특히	특히/MAG
상습적인	상습/NNG+적/XSN+이/VCP+ㄴ/ETM
체벌이나	체벌/NNG+이나/JC
언어폭력,	언어폭력/NNG+,/SP
성폭력	성폭력/NNG
사례가	사례/NNG+가/JKS
있는	있/VA+는/ETM
교사에	교사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
해당	해당/NNG
교육청에서	교육청/NNG+에서/JKB
미리	미리/MAG
파악하도록	파악/NNG+하/XSV+도록/EC
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.238.3.3
또 각급 학교의 학생인권 보호 실태와 교육청의 지도상황을 수시로 점검해 그 결과를 해당 기관 평가에 반영하기로 했다.

또	또/MAG
각급	각급/NNG
학교의	학교/NNG+의/JKG
학생인권	학생/NNG+인권/NNG
보호	보호/NNG
실태와	실태/NNG+와/JC
교육청의	교육청/NNG+의/JKG
지도상황을	지도/NNG+상황/NNG+을/JKO
수시로	수시로/MAG
점검해	점검/NNG+하/XSV+아/EC
그	그/MMD
결과를	결과/NNG+를/JKO
해당	해당/NNG
기관	기관/NNG
평가에	평가/NNG+에/JKB
반영하기로	반영/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


