# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.57
metadata : {}


# id : NWRW1800000041.57.1.1
러-베트남 ‘남중국해 밀월’… 긴장하는 中

러-베트남	러/NNP+-/SO+베트남/NNP
‘남중국해	‘/SS+남중국해/NNP
밀월’…	밀월/NNG+’/SS+…/SE
긴장하는	긴장/NNG+하/XSV+는/ETM
中	中/SH


# id : NWRW1800000041.57.2.1
깜라인만 기지 러에 우선 사용권… 조선소-헬기-원전 합작도 추진 영유권 갈등 中 “뜻대로 안될 것

깜라인만	깜라인만/NNP
기지	기지/NNG
러에	러/NNP+에/JKB
우선	우선/MAG
사용권…	사용/NNG+권/XSN+…/SE
조선소-헬기-원전	조선소/NNG+-/SO+헬기/NNG+-/SO+원전/NNG
합작도	합작/NNG+도/JX
추진	추진/NNG
영유권	영유/NNG+권/XSN
갈등	갈등/NNG
中	中/SH
“뜻대로	“/SS+뜻대로/MAG
안될	안/MAG+되/XSV+ㄹ/ETM
것	것/NNB


# id : NWRW1800000041.57.3.1
“베트남전에서 옛 소련제 AK-47 자동 소총을 사용해 미국의 침입에 저항했던 베트남이 이제는 러시아의 힘을 빌려 중국을 견제하려 하고 있다.”

“베트남전에서	“/SS+베트남전/NNG+에서/JKB
옛	옛/MMA
소련제	소련제/NNG
AK-47	AK/SL+-/SO+47/SN
자동	자동/NNG
소총을	소총/NNG+을/JKO
사용해	사용/NNG+하/XSV+아/EC
미국의	미국/NNP+의/JKG
침입에	침입/NNG+에/JKB
저항했던	저항/NNG+하/XSV+았/EP+던/ETM
베트남이	베트남/NNP+이/JKS
이제는	이제/NNG+는/JX
러시아의	러시아/NNP+의/JKG
힘을	힘/NNG+을/JKO
빌려	빌리/VV+어/EC
중국을	중국/NNP+을/JKO
견제하려	견제/NNG+하/XSV+려/EC
하고	하/VX+고/EC
있다.”	있/VX+다/EF+./SF+”/SS


# id : NWRW1800000041.57.4.1
중국 관영 환추(環球)시보는 21일 베트남과 러시아의 관계가 밀접해지고 있다며 이같이 분석했다.

중국	중국/NNP
관영	관영/NNG
환추(環球)시보는	환추/NNP+(/SS+環球/SH+)/SS+시보/NNG+는/JX
21일	21/SN+일/NNB
베트남과	베트남/NNP+과/JC
러시아의	러시아/NNP+의/JKG
관계가	관계/NNG+가/JKS
밀접해지고	밀접/NNG+하/XSA+아/EC+지/VX+고/EC
있다며	있/VX+다며/EC
이같이	이/NP+같이/JKB
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.57.4.2
중국의 관영 매체까지 나서 베트남-러시아 관계 강화를 우려하는 것은 최근 남중국해에서 중국의 해저 석유 굴착으로 중국과 베트남의 영토 갈등이 격화하고 있는 가운데 베트남의 러시아 끌어들이기가 심상치 않기 때문이다.

중국의	중국/NNP+의/JKG
관영	관영/NNG
매체까지	매체/NNG+까지/JX
나서	나서/VV+어/EC
베트남-러시아	베트남/NNP+-/SO+러시아/NNP
관계	관계/NNG
강화를	강화/NNG+를/JKO
우려하는	우려/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
최근	최근/MAG
남중국해에서	남중국해/NNP+에서/JKB
해저	해저/NNG
석유	석유/NNG
굴착으로	굴착/NNG+으로/JKB
중국과	중국/NNP+과/JC
베트남의	베트남/NNP+의/JKG
영토	영토/NNG
갈등이	갈등/NNG+이/JKS
격화하고	격화/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
러시아	러시아/NNP
끌어들이기가	끌어들이/VV+기/ETN+가/JKS
심상치	심상하/VA+지/EC
않기	않/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


