# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.193
metadata : {}


# id : NWRW1800000052.193.1.1
‘딸 암매장’ 한지붕 어른들 학대·묵인 탓

‘딸	‘/SS+딸/NNG
암매장’	암매장/NNG+’/SS
한지붕	한/MMN+지붕/NNG
어른들	어른/NNG+들/XSN
학대·묵인	학대/NNG+·/SP+묵인/NNG
탓	탓/NNG


# id : NWRW1800000052.193.2.1
어머니·집주인 ‘상해치사’ 혐의 구속

어머니·집주인	어머니/NNG+·/SP+집주인/NNG
‘상해치사’	‘/SS+상해/NNG+치사/NNG+’/SS
혐의	혐의/NNG
구속	구속/NNG


# id : NWRW1800000052.193.3.1
어른 6명·어린이 6명 한집에 살아

어른	어른/NNG
6명·어린이	6/SN+명/NNB+·/SP+어린이/NNG
6명	6/SN+명/NNB
한집에	한집/NNG+에/JKB
살아	살/VV+아/EC


# id : NWRW1800000052.193.4.1
“말 안듣는다”고 폭행·암매장 가담

“말	“/SS+말/NNG
안듣는다”고	안/MAG+듣/VV+는다/EF+”/SS+고/JKQ
폭행·암매장	폭행/NNG+·/SP+암매장/NNG
가담	가담/NNG


# id : NWRW1800000052.193.5.1
발생 5년 만에 드러난 ‘7살 딸 상해치사·암매장 사건’은 함께 살던 어른들의 상습적인 학대와 묵인의 결과로 밝혀졌다.

발생	발생/NNG
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
드러난	드러나/VV+ㄴ/ETM
‘7살	‘/SS+7/SN+살/NNB
딸	딸/NNG
상해치사·암매장	상해/NNG+치사/NNG+·/SP+암매장/NNG
사건’은	사건/NNG+’/SS+은/JX
함께	함께/MAG
살던	살/VV+던/ETM
어른들의	어른/NNG+들/XSN+의/JKG
상습적인	상습/NNG+적/XSN+이/VCP+ㄴ/ETM
학대와	학대/NNG+와/JC
묵인의	묵인/NNG+의/JKG
결과로	결과/NNG+로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.193.6.1
경남 고성경찰서는 19일 숨진 김아무개(당시 7살)양의 어머니 박아무개(42)씨와 이아무개(45·여)씨를 상해치사·사체유기·아동복지법위반 혐의로 구속하고, 박씨의 친구 백아무개(42·여)씨를 사체유기 혐의로 구속했다고 밝혔다.

경남	경남/NNP
고성경찰서는	고성경찰서/NNP+는/JX
19일	19/SN+일/NNB
숨진	숨지/VV+ㄴ/ETM
김아무개(당시	김/NNP+아무개/NP+(/SS+당시/NNG
7살)양의	7/SN+살/NNB+)/SS+양/NNB+의/JKG
어머니	어머니/NNG
박아무개(42)씨와	박/NNP+아무개/NP+(/SS+42/SN+)/SS+씨/NNB+와/JC
이아무개(45·여)씨를	이/NNP+아무개/NP+(/SS+45/SN+·/SP+여/NNG+)/SS+씨/NNB+를/JKO
상해치사·사체유기·아동복지법위반	상해/NNG+치사/NNG+·/SP+사체/NNG+유기/NNG+·/SP+아동/NNG+복지법/NNG+위반/NNG
혐의로	혐의/NNG+로/JKB
구속하고,	구속/NNG+하/XSV+고/EC+,/SP
박씨의	박/NNP+씨/NNB+의/JKG
친구	친구/NNG
백아무개(42·여)씨를	백/NNP+아무개/NP+(/SS+42/SN+·/SP+여/NNG+)/SS+씨/NNB+를/JKO
사체유기	사체/NNG+유기/NNG
구속했다고	구속/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.193.6.2
또 이씨의 언니(50)를 사체유기 혐의, 백씨의 어머니 유아무개(69)씨를 아동복지법위반 혐의로 불구속 입건했다.

또	또/MAG
이씨의	이/NNP+씨/NNB+의/JKG
언니(50)를	언니/NNG+(/SS+50/SN+)/SS+를/JKO
사체유기	사체/NNG+유기/NNG
혐의,	혐의/NNG+,/SP
백씨의	백/NNP+씨/NNB+의/JKG
어머니	어머니/NNG
유아무개(69)씨를	유/NNP+아무개/NP+(/SS+69/SN+)/SS+씨/NNB+를/JKO
아동복지법위반	아동/NNG+복지법/NNG+위반/NNG
혐의로	혐의/NNG+로/JKB
불구속	불/XPN+구속/NNG
입건했다.	입건/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.193.6.3
이들 5명은 모두 사건 당시 이씨의 집에서 함께 살고 있었다.

이들	이/NP+들/XSN
5명은	5/SN+명/NNB+은/JX
모두	모두/MAG
사건	사건/NNG
당시	당시/NNG
이씨의	이/NNP+씨/NNB+의/JKG
집에서	집/NNG+에서/JKB
함께	함께/MAG
살고	살/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.193.7.1
경찰 조사 결과, 서울 서초구 서초동에 살던 어머니 박씨는 2009년 1월 5살·2살이던 두 딸을 데리고 가출해 평소 알던 이씨의 경기도 용인시 집에서 지난해 초까지 살았다.

경찰	경찰/NNG
조사	조사/NNG
결과,	결과/NNG+,/SP
서울	서울/NNP
서초구	서초구/NNP
서초동에	서초동/NNP+에/JKB
살던	살/VV+던/ETM
어머니	어머니/NNG
박씨는	박/NNP+씨/NNB+는/JX
2009년	2009/SN+년/NNB
1월	1/SN+월/NNB
5살·2살이던	5/SN+살/NNB+·/SP+2/SN+살/NNB+이/VCP+던/ETM
두	두/MMN
딸을	딸/NNG+을/JKO
데리고	데리/VV+고/EC
가출해	가출/NNG+하/XSV+아/EC
평소	평소/NNG
알던	알/VV+던/ETM
이씨의	이/NNP+씨/NNB+의/JKG
경기도	경기도/NNP
용인시	용인시/NNP
집에서	집/NNG+에서/JKB
지난해	지난해/NNG
초까지	초/NNB+까지/JX
살았다.	살/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.193.7.2
박씨는 이씨가 운영하던 휴대전화 대리점 사업에 10억원가량 투자했던 것으로 조사됐다.

박씨는	박/NNP+씨/NNB+는/JX
이씨가	이/NNP+씨/NNB+가/JKS
운영하던	운영/NNG+하/XSV+던/ETM
휴대전화	휴대/NNG+전화/NNG
대리점	대리점/NNG
사업에	사업/NNG+에/JKB
10억원가량	10/SN+억/NR+원/NNB+가량/XSN
투자했던	투자/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.193.7.3
당시 이씨의 72평짜리 아파트에는 이씨 남편을 포함해 어른 6명과 어린이 6명 등 이씨와 박씨, 백씨 가족 12명이 함께 살았다.

당시	당시/NNG
이씨의	이/NNP+씨/NNB+의/JKG
72평짜리	72/SN+평/NNB+짜리/XSN
아파트에는	아파트/NNG+에/JKB+는/JX
이씨	이/NNP+씨/NNB
남편을	남편/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
어른	어른/NNG
6명과	6/SN+명/NNB+과/JC
어린이	어린이/NNG
6명	6/SN+명/NNB
등	등/NNB
이씨와	이/NNP+씨/NNB+와/JC
박씨,	박/NNP+씨/NNB+,/SP
백씨	백/NNP+씨/NNB
가족	가족/NNG
12명이	12/SN+명/NNB+이/JKS
함께	함께/MAG
살았다.	살/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.193.8.1
경찰은 “어른들은 말을 듣지 않는다는 이유로 박씨와 백씨의 아이들을 수시로 베란다에 가뒀으며, 이 때문에 아이들이 베란다에서 용변을 보기도 했다.

경찰은	경찰/NNG+은/JX
“어른들은	“/SS+어른/NNG+들/XSN+은/JX
말을	말/NNG+을/JKO
듣지	듣/VV+지/EC
않는다는	않/VX+는다는/ETM
이유로	이유/NNG+로/JKB
박씨와	박/NNP+씨/NNB+와/JC
백씨의	백/NNP+씨/NNB+의/JKG
아이들을	아이/NNG+들/XSN+을/JKO
수시로	수시로/MAG
베란다에	베란다/NNG+에/JKB
가뒀으며,	가두/VV+었/EP+으며/EC+,/SP
이	이/NP
때문에	때문/NNB+에/JKB
아이들이	아이/NNG+들/XSN+이/JKS
베란다에서	베란다/NNG+에서/JKB
용변을	용변/NNG+을/JKO
보기도	보/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.193.8.2
박씨는 자신의 전재산을 이씨에게 투자했으나, 이씨의 사업이 망하는 바람에 오갈 곳 없는 처지였던 것으로 파악됐다”고 밝혔다.

박씨는	박/NNP+씨/NNB+는/JX
자신의	자신/NNG+의/JKG
전재산을	전/MMN+재산/NNG+을/JKO
이씨에게	이/NNP+씨/NNB+에게/JKB
투자했으나,	투자/NNG+하/XSV+았/EP+으나/EC+,/SP
이씨의	이/NNP+씨/NNB+의/JKG
사업이	사업/NNG+이/JKS
망하는	망하/VV+는/ETM
바람에	바람/NNB+에/JKB
오갈	오가/VV+ㄹ/ETM
곳	곳/NNG
없는	없/VA+는/ETM
처지였던	처지/NNG+이/VCP+었/EP+던/ETM
것으로	것/NNB+으로/JKB
파악됐다”고	파악/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.193.9.1
박씨는 두 딸을 학교에 보내지 않았으며, 2011년 10월25일 밤 큰딸을 방 안에서 회초리로 30분~1시간 동안 마구 때리고, 다음날 아침에도 의자에 손발을 묶고 테이프로 입을 막은 뒤 회초리로 30분~1시간 동안 때린 뒤 방치해 숨지게 한 혐의를 받고 있다.

박씨는	박/NNP+씨/NNB+는/JX
두	두/MMN
딸을	딸/NNG+을/JKO
학교에	학교/NNG+에/JKB
보내지	보내/VV+지/EC
않았으며,	않/VX+았/EP+으며/EC+,/SP
2011년	2011/SN+년/NNB
10월25일	10/SN+월/NNB+25/SN+일/NNB
밤	밤/NNG
큰딸을	큰딸/NNG+을/JKO
방	방/NNG
안에서	안/NNG+에서/JKB
회초리로	회초리/NNG+로/JKB
30분~1시간	30/SN+분/NNB+~/SO+1/SN+시간/NNB
동안	동안/NNG
마구	마구/MAG
때리고,	때리/VV+고/EC+,/SP
다음날	다음날/NNG
아침에도	아침/NNG+에/JKB+도/JX
의자에	의자/NNG+에/JKB
손발을	손발/NNG+을/JKO
묶고	묶/VV+고/EC
테이프로	테이프/NNG+로/JKB
입을	입/NNG+을/JKO
막은	막/VV+은/ETM
뒤	뒤/NNG
때린	때리/VV+ㄴ/ETM
방치해	방치/NNG+하/XSV+아/EC
숨지게	숨지/VV+게/EC
한	하/VX+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.193.9.2
집주인 이씨는 2011년 10월 하순 가구를 긁어 훼손했다는 이유로 김양을 때리고, 박씨에게 “(딸을) 때리려면 제대로 때려라.

집주인	집주인/NNG
이씨는	이/NNP+씨/NNB+는/JX
2011년	2011/SN+년/NNB
10월	10/SN+월/NNB
하순	하순/NNG
가구를	가구/NNG+를/JKO
긁어	긁/VV+어/EC
훼손했다는	훼손/NNG+하/XSV+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
김양을	김/NNP+양/NNB+을/JKO
때리고,	때리/VV+고/EC+,/SP
박씨에게	박/NNP+씨/NNB+에게/JKB
“(딸을)	“/SS+(/SS+딸/NNG+을/JKO+)/SS
때리려면	때리/VV+려면/EC
제대로	제대로/MAG
때려라.	때리/VV+어라/EF+./SF


# id : NWRW1800000052.193.9.3
동네 시끄럽게 하지 말고 입을 막아서라도 교육하라”며 김양을 때려서 훈육할 것을 지시한 혐의를 받고 있다.

동네	동네/NNG
시끄럽게	시끄럽/VA+게/EC
하지	하/VX+지/EC
말고	말/VX+고/EC
입을	입/NNG+을/JKO
막아서라도	막/VV+아서/EC+라도/JX
교육하라”며	교육/NNG+하/XSV+라/EF+”/SS+며/EC
김양을	김/NNP+양/NNB+을/JKO
때려서	때리/VV+어서/EC
훈육할	훈육/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
지시한	지시/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.193.10.1
김양이 숨진 뒤 함께 살던 이 여성들은 ‘뒷수습’을 어떻게 할 것인지 의논한 뒤 유씨를 제외한 4명이 함께 김양의 주검을 암매장한 것으로 조사됐다.

김양이	김/NNP+양/NNB+이/JKS
숨진	숨지/VV+ㄴ/ETM
뒤	뒤/NNG
함께	함께/MAG
살던	살/VV+던/ETM
이	이/MMD
여성들은	여성/NNG+들/XSN+은/JX
‘뒷수습’을	‘/SS+뒷수습/NNG+’/SS+을/JKO
어떻게	어떻/VA+게/EC
할	하/VV+ㄹ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EF
의논한	의논/NNG+하/XSV+ㄴ/ETM
유씨를	유/NNP+씨/NNB+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
4명이	4/SN+명/NNB+이/JKS
김양의	김/NNP+양/NNB+의/JKG
주검을	주검/NNG+을/JKO
암매장한	암매장/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.193.10.2
박씨는 암매장 당시 작은딸도 데리고 다닌 것으로 밝혀졌다.

박씨는	박/NNP+씨/NNB+는/JX
암매장	암매장/NNG
당시	당시/NNG
작은딸도	작은딸/NNG+도/JX
데리고	데리/VV+고/EC
다닌	다니/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.193.10.3
경찰은 “함께 살았던 이씨의 남편은 집안에서 일어난 상습적인 아동학대와 김양 폭행치사·암매장 사실을 전혀 몰랐던 것으로 조사됐다”고 밝혔다.

경찰은	경찰/NNG+은/JX
“함께	“/SS+함께/MAG
살았던	살/VV+았/EP+던/ETM
이씨의	이/NNP+씨/NNB+의/JKG
남편은	남편/NNG+은/JX
집안에서	집안/NNG+에서/JKB
일어난	일어나/VV+ㄴ/ETM
상습적인	상습/NNG+적/XSN+이/VCP+ㄴ/ETM
아동학대와	아동/NNG+학대/NNG+와/JC
김양	김/NNP+양/NNB
폭행치사·암매장	폭행/NNG+치사/NNG+·/SP+암매장/NNG
사실을	사실/NNG+을/JKO
전혀	전혀/MAG
몰랐던	모르/VV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
조사됐다”고	조사/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


