# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.198
metadata : {}


# id : NWRW1800000026.198.1.1
[색연필] 속옷 상습 절도범에 징역 3년 중형 선고

[색연필]	[/SS+색연필/NNG+]/SS
속옷	속옷/NNG
상습	상습/NNG
절도범에	절도범/NNG+에/JKB
징역	징역/NNG
3년	3/SN+년/NNB
중형	중형/NNG
선고	선고/NNG


# id : NWRW1800000026.198.2.1
남의 속옷을 상습적으로 훔치던 20대 남성이 징역 3년의 중형(重刑)을 선고받았다.

남의	남/NNG+의/JKG
속옷을	속옷/NNG+을/JKO
상습적으로	상습/NNG+적/XSN+으로/JKB
훔치던	훔치/VV+던/ETM
20대	20/SN+대/NNB
남성이	남성/NNG+이/JKS
징역	징역/NNG
3년의	3/SN+년/NNB+의/JKG
중형(重刑)을	중형/NNG+(/SS+重刑/SH+)/SS+을/JKO
선고받았다.	선고/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.198.2.2
서울북부지법 형사1부(재판장 오천석)는 남의 속옷을 훔친 혐의(특정범죄가중처벌법상 절도)로 기소된 서모(28)씨에게 징역 3년을 선고했다고 20일 밝혔다.

서울북부지법	서울북부지법/NNP
형사1부(재판장	형사/NNG+1/SN+부/NNG+(/SS+재판장/NNG
오천석)는	오천석/NNP+)/SS+는/JX
남의	남/NNG+의/JKG
속옷을	속옷/NNG+을/JKO
훔친	훔치/VV+ㄴ/ETM
혐의(특정범죄가중처벌법상	혐의/NNG+(/SS+특정/NNG+범죄/NNG+가중/NNG+처벌법/NNG+상/XSN
절도)로	절도/NNG+)/SS+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
서모(28)씨에게	서/NNP+모/NP+(/SS+28/SN+)/SS+씨/NNB+에게/JKB
징역	징역/NNG
3년을	3/SN+년/NNB+을/JKO
선고했다고	선고/NNG+하/XSV+았/EP+다고/EC
20일	20/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.198.2.3
서씨는 지난 2월 28일 서울 강북구 우이동의 빌라 창문을 몰래 열어 베란다 빨래건조대에 있던 여성용 속옷 3점과 남성용 속옷 1점을 각각 훔친 혐의로 구속 기소됐다.

서씨는	서/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
28일	28/SN+일/NNB
서울	서울/NNP
강북구	강북구/NNP
우이동의	우이동/NNP+의/JKG
빌라	빌라/NNG
창문을	창문/NNG+을/JKO
몰래	몰래/MAG
열어	열/VV+어/EC
베란다	베란다/NNG
빨래건조대에	빨래/NNG+건조대/NNG+에/JKB
있던	있/VA+던/ETM
여성용	여성/NNG+용/XSN
속옷	속옷/NNG
3점과	3/SN+점/NNB+과/JC
남성용	남성/NNG+용/XSN
1점을	1/SN+점/NNB+을/JKO
각각	각각/MAG
훔친	훔치/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
구속	구속/NNG
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.198.2.4
서씨가 속옷을 훔친 죄로 '철창신세'를 지게 된 것은 이번이 7번째다.

서씨가	서/NNP+씨/NNB+가/JKS
속옷을	속옷/NNG+을/JKO
훔친	훔치/VV+ㄴ/ETM
죄로	죄/NNG+로/JKB
'철창신세'를	'/SS+철창신세/NNG+'/SS+를/JKO
지게	지/VV+게/EC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
7번째다.	7/SN+번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000026.198.2.5
서씨는 2002년부터 비슷한 범행을 저질렀고, 2008년 9월에도 징역 1년6월을 선고받아 복역하다 지난 1월 출소했다.

서씨는	서/NNP+씨/NNB+는/JX
2002년부터	2002/SN+년/NNB+부터/JX
비슷한	비슷하/VA+ㄴ/ETM
범행을	범행/NNG+을/JKO
저질렀고,	저지르/VV+었/EP+고/EC+,/SP
2008년	2008/SN+년/NNB
9월에도	9/SN+월/NNB+에/JKB+도/JX
징역	징역/NNG
1년6월을	1/SN+년/NNB+6/SN+월/NNB+을/JKO
선고받아	선고/NNG+받/XSV+아/EC
복역하다	복역/NNG+하/XSV+다/EC
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
출소했다.	출소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.198.2.6
특가법상 강·절도 등으로 2회 이상 처벌받고 3년이 지나지 않아 상습적으로 동종 범죄를 저지르면 무기 또는 6년 이상의 징역형을 선고받을 수 있다.

특가법상	특가법/NNG+상/XSN
강·절도	강·절도/NNG
등으로	등/NNB+으로/JKB
2회	2/SN+회/NNB
이상	이상/NNG
처벌받고	처벌/NNG+받/XSV+고/EC
3년이	3/SN+년/NNB+이/JKS
지나지	지나/VV+지/EC
않아	않/VX+아/EC
상습적으로	상습/NNG+적/XSN+으로/JKB
동종	동종/NNG
범죄를	범죄/NNG+를/JKO
저지르면	저지르/VV+면/EC
무기	무기/NNG
또는	또는/MAG
6년	6/SN+년/NNB
이상의	이상/NNG+의/JKG
징역형을	징역형/NNG+을/JKO
선고받을	선고/NNG+받/XSV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.198.3.1
재판부는 판결문에서 "같은 범죄로 여러 차례 처벌받은데다 출소 후 얼마 안 돼 같은 범행을 다시 저지르는 등 상습적으로 속옷을 훔친 점이 인정된다"고 선고이유를 밝혔다.

재판부는	재판부/NNG+는/JX
판결문에서	판결문/NNG+에서/JKB
"같은	"/SS+같/VA+은/ETM
범죄로	범죄/NNG+로/JKB
여러	여러/MMN
차례	차례/NNG
처벌받은데다	처벌/NNG+받/XSV+은/ETM+데/NNB+다/JX
출소	출소/NNG
후	후/NNG
얼마	얼마/NNG
안	안/MAG
돼	되/VV+어/EC
같은	같/VA+은/ETM
범행을	범행/NNG+을/JKO
다시	다시/MAG
저지르는	저지르/VV+는/ETM
등	등/NNB
상습적으로	상습/NNG+적/XSN+으로/JKB
속옷을	속옷/NNG+을/JKO
훔친	훔치/VV+ㄴ/ETM
점이	점/NNG+이/JKS
인정된다"고	인정/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
선고이유를	선고/NNG+이유/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


