# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.384
metadata : {}


# id : NWRW1800000022.384.1.1
[울산] 공원같은 울산지검 신청사 2013년 준공 당선작 발표

[울산]	[/SS+울산/NNP+]/SS
공원같은	공원/NNG+같/VA+은/ETM
울산지검	울산지검/NNP
신청사	신/XPN+청사/NNG
2013년	2013/SN+년/NNB
준공	준공/NNG
당선작	당선작/NNG
발표	발표/NNG


# id : NWRW1800000022.384.2.1
2013년 하반기 준공 예정인 울산지검 신청사는 담장 없이 설계돼 민원인 누구나 편안하게 찾을 수 있는 공원처럼 조성된다.

2013년	2013/SN+년/NNB
하반기	하반기/NNG
준공	준공/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
울산지검	울산지검/NNP
신청사는	신/XPN+청사/NNG+는/JX
담장	담장/NNG
없이	없이/MAG
설계돼	설계/NNG+되/XSV+어/EC
민원인	민원인/NNG
누구나	누구/NP+나/JX
편안하게	편안/NNG+하/XSA+게/EC
찾을	찾/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
공원처럼	공원/NNG+처럼/JKB
조성된다.	조성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.384.3.1
울산지검은 2일 신청사 건축설계 공모 당선작을 발표했다.

울산지검은	울산지검/NNP+은/JX
2일	2/SN+일/NNB
신청사	신/XPN+청사/NNG
건축설계	건축/NNG+설계/NNG
공모	공모/NNG
당선작을	당선작/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.384.3.2
이 작품은 ㈜유선엔지니어링건축사사무소와 선진엔지니어링건축사무소 컨소시엄이 출품한 것으로, 설계단계에서부터 담장을 모두 없애고 대규모 잔디밭과 연못을 조성해 누구나 공원처럼 드나들 수 있도록한 점이 눈길을 끈다.

이	이/MMD
작품은	작품/NNG+은/JX
㈜유선엔지니어링건축사사무소와	㈜/SW+유선엔지니어링건축사사무소/NNP+와/JC
선진엔지니어링건축사무소	선진엔지니어링건축사무소/NNP
컨소시엄이	컨소시엄/NNG+이/JKS
출품한	출품/NNG+하/XSV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
설계단계에서부터	설계/NNG+단계/NNG+에서부터/JKB
담장을	담장/NNG+을/JKO
모두	모두/MAG
없애고	없애/VV+고/EC
대규모	대/XPN+규모/NNG
잔디밭과	잔디밭/NNG+과/JC
연못을	연못/NNG+을/JKO
조성해	조성/NNG+하/XSV+아/EC
누구나	누구/NP+나/JX
공원처럼	공원/NNG+처럼/JKB
드나들	드나들/VV+ㄹ/ETM
수	수/NNB
있도록한	있/VA+도록/EC+하/VV+ㄴ/ETM
점이	점/NNG+이/JKS
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.384.4.1
신청사는 현 청사 바로 뒤편인 남구 옥동 1412 일원 3만4200여㎡ 부지에 지상 13층(지하 1층) 연면적 3만4195㎡ 규모로 2013년 완공예정이다.

신청사는	신/XPN+청사/NNG+는/JX
현	현/MMD
청사	청사/NNG
바로	바로/MAG
뒤편인	뒤편/NNG+이/VCP+ㄴ/ETM
남구	남구/NNP
옥동	옥동/NNP
1412	1412/SN
일원	일원/NNG
3만4200여㎡	3/SN+만/NR+4200/SN+여/XSN+㎡/SW
부지에	부지/NNG+에/JKB
지상	지상/NNG
13층(지하	13/SN+층/NNG+(/SS+지하/NNG
1층)	1/SN+층/NNG+)/SS
연면적	연면적/NNG
3만4195㎡	3/SN+만/NR+4195/SN+㎡/SW
규모로	규모/NNG+로/JKB
2013년	2013/SN+년/NNB
완공예정이다.	완공/NNG+예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.384.4.2
총사업비는 741억원이다.

총사업비는	총/MMA+사업비/NNG+는/JX
741억원이다.	741/SN+억/NR+원/NNB+이/VCP+다/EF+./SF


