# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.253
metadata : {}


# id : NWRW1800000021.253.1.1
北선박 안보리 제재강화 후 첫 나포

北선박	北/SH+선박/NNG
안보리	안보리/NNG
제재강화	제재/NNG+강화/NNG
후	후/NNG
첫	첫/MMN
나포	나포/NNG


# id : NWRW1800000021.253.2.1
인도가 자국 해상에 불법 정박한 북한 선박을 추격한 끝에 7일 나포했다.

인도가	인도/NNP+가/JKS
자국	자국/NNG
해상에	해상/NNG+에/JKB
불법	불법/NNG
정박한	정박/NNG+하/XSV+ㄴ/ETM
북한	북한/NNP
선박을	선박/NNG+을/JKO
추격한	추격/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
7일	7/SN+일/NNB
나포했다.	나포/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.253.2.2
6월 유엔 안전보장이사회가 결의 1874호를 채택해 대북 제재를 강화한 이후 북한 선박이 나포된 것은 처음이다.

6월	6/SN+월/NNB
유엔	유엔/NNP
안전보장이사회가	안전/NNG+보장/NNG+이사회/NNG+가/JKS
결의	결의/NNG
1874호를	1874/SN+호/NNB+를/JKO
채택해	채택/NNG+하/XSV+아/EC
대북	대북/NNG
제재를	제재/NNG+를/JKO
강화한	강화/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
북한	북한/NNP
선박이	선박/NNG+이/JKS
나포된	나포/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.253.2.3
하지만 이 선박에 불법 무기나 핵물질을 싣지는 않은 것으로 확인됐다.

하지만	하지만/MAJ
이	이/MMD
선박에	선박/NNG+에/JKB
불법	불법/NNG
무기나	무기/NNG+나/JC
핵물질을	핵물질/NNG+을/JKO
싣지는	싣/VV+지/EC+는/JX
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.253.3.1
8일 인도 일간지 타임스 오브 인디아는 “인도 해안경비대가 7일 벵골 만 인근 인도령인 안다만 니코바르 제도 해상에서 불법 정박해 있던 북한 선적 ‘MV 무산(Musan)’ 호에 위협 사격을 가하며 약 6시간 동안 추격한 끝에 붙잡았다”고 보도했다.

8일	8/SN+일/NNB
인도	인도/NNP
일간지	일간지/NNG
타임스	타임스/NNP
오브	오브/NNP
인디아는	인디아/NNP+는/JX
“인도	“/SS+인도/NNP
해안경비대가	해안/NNG+경비대/NNG+가/JKS
7일	7/SN+일/NNB
벵골	벵골/NNP
만	만/NNG
인근	인근/NNG
인도령인	인도령/NNG+이/VCP+ㄴ/ETM
안다만	안다만/NNP
니코바르	니코바르/NNP
제도	제도/NNG
해상에서	해상/NNG+에서/JKB
불법	불법/NNG
정박해	정박/NNG+하/XSV+아/EC
있던	있/VX+던/ETM
북한	북한/NNP
선적	선적/NNG
‘MV	‘/SS+MV/SL
무산(Musan)’	무산/NNP+(/SS+Musan/SL+)/SS+’/SS
호에	호/NA+에/JKB
위협	위협/NNG
사격을	사격/NNG+을/JKO
가하며	가하/VV+며/EC
약	약/MMA
6시간	6/SN+시간/NNB
동안	동안/NNG
추격한	추격/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
붙잡았다”고	붙잡/VV+았/EP+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.253.3.2
인도 해군에 따르면 이 배는 지난달 27일 설탕 1만6500t을 싣고 태국 라엠 차방 항구를 출발해 이라크 움카스트르 항구로 갈 예정이었다.

인도	인도/NNP
해군에	해군/NNG+에/JKB
따르면	따르/VV+면/EC
이	이/MMD
배는	배/NNG+는/JX
지난달	지난달/NNG
27일	27/SN+일/NNB
설탕	설탕/NNG
1만6500t을	1/SN+만/NR+6500/SN+t/SW+을/JKO
싣고	싣/VV+고/EC
태국	태국/NNP
라엠	라엠/NNP
차방	차방/NNP
항구를	항구/NNG+를/JKO
출발해	출발/NNG+하/XSV+아/EC
이라크	이라크/NNP
움카스트르	움카스트르/NNP
항구로	항구/NNG+로/JKB
갈	가/VV+ㄹ/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.253.3.3
하지만 지난달 30일 갑자기 싱가포르에 들렀으며 5일에는 안다만 니코바르 제도 해상에 들어온 뒤 인도 당국의 허가 없이 이틀간 머물렀다.

하지만	하지만/MAJ
지난달	지난달/NNG
30일	30/SN+일/NNB
갑자기	갑자기/MAG
싱가포르에	싱가포르/NNP+에/JKB
들렀으며	들르/VV+었/EP+으며/EC
5일에는	5/SN+일/NNB+에/JKB+는/JX
안다만	안다만/NNP
니코바르	니코바르/NNP
제도	제도/NNG
해상에	해상/NNG+에/JKB
들어온	들어오/VV+ㄴ/ETM
뒤	뒤/NNG
인도	인도/NNP
당국의	당국/NNG+의/JKG
허가	허가/NNG
없이	없이/MAG
이틀간	이틀/NNG+간/XSN
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.253.3.4
7일 인도 해안경비대의 교신에 응답하지 않았고 이에 경비함이 출동하자 도주하다 붙잡혔다.

7일	7/SN+일/NNB
인도	인도/NNP
해안경비대의	해안/NNG+경비대/NNG+의/JKG
교신에	교신/NNG+에/JKB
응답하지	응답/NNG+하/XSV+지/EC
않았고	않/VX+았/EP+고/EC
이에	이/NP+에/JKB
경비함이	경비함/NNG+이/JKS
출동하자	출동/NNG+하/XSV+자/EC
도주하다	도주/NNG+하/XSV+다/EC
붙잡혔다.	붙잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.253.4.1
인도 당국은 1999년 북한 선박 구월산 호가 미사일 부품을 싣고 파키스탄으로 향하다 인도 해상에서 적발된 사례가 있는 점을 고려해 검색을 시도했으나 별다른 이상 징후를 발견하지 못했다.

인도	인도/NNP
당국은	당국/NNG+은/JX
1999년	1999/SN+년/NNB
북한	북한/NNP
선박	선박/NNG
구월산	구월산/NNP
호가	호/NA+가/JKS
미사일	미사일/NNG
부품을	부품/NNG+을/JKO
싣고	싣/VV+고/EC
파키스탄으로	파키스탄/NNP+으로/JKB
향하다	향하/VV+다/EC
해상에서	해상/NNG+에서/JKB
적발된	적발/NNG+되/XSV+ㄴ/ETM
사례가	사례/NNG+가/JKS
있는	있/VA+는/ETM
점을	점/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
검색을	검색/NNG+을/JKO
시도했으나	시도/NNG+하/XSV+았/EP+으나/EC
별다른	별다르/VA+ㄴ/ETM
이상	이상/NNG
징후를	징후/NNG+를/JKO
발견하지	발견/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.253.4.2
하지만 인도 해군 관계자는 이 배가 △허가 없이 정박하고 정선 명령에 불응했으며 △선원들의 진술이 오락가락하고 △선원들의 여권에 싱가포르 입국 기록이 남아 있지 않은 등 석연찮은 점이 많아 추가 조사가 필요하다고 밝혔다.

하지만	하지만/MAJ
인도	인도/NNP
해군	해군/NNG
관계자는	관계자/NNG+는/JX
이	이/MMD
배가	배/NNG+가/JKS
△허가	△/SW+허가/NNG
없이	없이/MAG
정박하고	정박/NNG+하/XSV+고/EC
정선	정선/NNG
명령에	명령/NNG+에/JKB
불응했으며	불응/NNG+하/XSV+았/EP+으며/EC
△선원들의	△/SW+선원/NNG+들/XSN+의/JKG
