# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.147
metadata : {}


# id : NWRW1800000052.147.1.1
‘대산문학상’ 시 이장욱·소설 김이정·평론 정홍수 수상

‘대산문학상’	‘/SS+대산/NNP+문학상/NNG+’/SS
시	시/NNG
이장욱·소설	이장욱/NNP+·/SP+소설/NNG
김이정·평론	김이정/NNP+·/SP+평론/NNG
정홍수	정홍수/NNP
수상	수상/NNG


# id : NWRW1800000052.147.2.1
번역엔 정민정·이르마 자네스 공동

번역엔	번역/NNG+에/JKB+ㄴ/JX
정민정·이르마	정민정/NNP+·/SP+이르마/NNP
자네스	자네스/NNP
공동	공동/NNG


# id : NWRW1800000052.147.3.1
대산문화재단이 주관하는 제24회 대산문학상 수상작이 1일 발표되었다.

대산문화재단이	대산문화재단/NNP+이/JKS
주관하는	주관/NNG+하/XSV+는/ETM
제24회	제/XPN+24/SN+회/NNB
대산문학상	대산/NNP+문학상/NNG
수상작이	수상작/NNG+이/JKS
1일	1/SN+일/NNB
발표되었다.	발표/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.147.3.2
시 부문에 이장욱 시집 <영원이 아니라서 가능한>, 소설 부문에 김이정 장편 <유령의 시간>, 평론 부문에 정홍수 평론집 <흔들리는 사이 언뜻 보이는 푸른빛>, 그리고 번역 부문에 정민정과 이르마 시안자 힐 자녜스가 공동 작업한 구병모 소설 <위저드 베이커리> 스페인어 번역이 각각 뽑혔다.

시	시/NNG
부문에	부문/NNG+에/JKB
이장욱	이장욱/NNP
시집	시집/NNG
<영원이	</SS+영원/NNG+이/JKC
아니라서	아니/VCN+라서/EC
가능한>,	가능/NNG+하/XSA+ㄴ/ETM+>/SS+,/SP
소설	소설/NNG
김이정	김이정/NNP
장편	장편/NNG
<유령의	</SS+유령/NNG+의/JKG
시간>,	시간/NNG+>/SS+,/SP
평론	평론/NNG
정홍수	정홍수/NNP
평론집	평론집/NNG
<흔들리는	</SS+흔들리/VV+는/ETM
사이	사이/NNG
언뜻	언뜻/MAG
보이는	보이/VV+는/ETM
푸른빛>,	푸른빛/NNG+>/SS+,/SP
그리고	그리고/MAJ
번역	번역/NNG
정민정과	정민정/NNP+과/JC
이르마	이르마/NNP
시안자	시안자/NNP
힐	힐/NNP
자녜스가	자녜스/NNP+가/JKS
공동	공동/NNG
작업한	작업/NNG+하/XSV+ㄴ/ETM
구병모	구병모/NNP
