# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.20
metadata : {}


# id : NWRW1800000029.20.1.1
東日本 대지진 / 물가苦 한반도에 ‘인플레 쓰나미’ 덮치나

東日本	東日本/SH
대지진	대/XPN+지진/NNG
/	//SP
물가苦	물가/NNG+苦/SH
한반도에	한반도/NNP+에/JKB
‘인플레	‘/SS+인플레/NNG
쓰나미’	쓰나미/NNG+’/SS
덮치나	덮치/VV+나/EF


# id : NWRW1800000029.20.2.1
日 천문학적인 돈 풀고… 美 양적완화 지속 결정

日	日/SH
천문학적인	천문학/NNG+적/XSN+이/VCP+ㄴ/ETM
돈	돈/NNG
풀고…	풀/VV+고/EC+…/SE
美	美/SH
양적완화	양/NNG+적/XSN+완화/NNG
지속	지속/NNG
결정	결정/NNG


# id : NWRW1800000029.20.3.1
일본이 동일본 대지진의 수습책으로 시중에 막대한 자금을 푼 데 이어 미국도 경기회복 속도를 높이기 위해 자금 방출을 지속하기로 결정하면서, 가뜩이나 인플레에 취약한 국내 경제에 물가부담이 높아지고 있다.

일본이	일본/NNP+이/JKS
동일본	동일본/NNP
대지진의	대/XPN+지진/NNG+의/JKG
수습책으로	수습책/NNG+으로/JKB
시중에	시중/NNG+에/JKB
막대한	막대하/VA+ㄴ/ETM
자금을	자금/NNG+을/JKO
푼	풀/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
미국도	미국/NNP+도/JX
경기회복	경기/NNG+회복/NNG
속도를	속도/NNG+를/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+아/EC
자금	자금/NNG
방출을	방출/NNG+을/JKO
지속하기로	지속/NNG+하/XSV+기/ETN+로/JKB
결정하면서,	결정/NNG+하/XSV+면서/EC+,/SP
가뜩이나	가뜩이나/MAG
인플레에	인플레/NNG+에/JKB
취약한	취약/NNG+하/XSA+ㄴ/ETM
국내	국내/NNG
경제에	경제/NNG+에/JKB
물가부담이	물가/NNG+부담/NNG+이/JKS
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.20.3.2
세계 경제의 양대 축인 미국과 일본이 돈 풀기에 나서고, 원자재값 반등과 엔화 약세가 본격화되면 자칫 ‘인플레 쓰나미’가 몰려올 수 있다는 우려도 나오고 있다.

세계	세계/NNG
경제의	경제/NNG+의/JKG
양대	양대/MMA
축인	축/NNG+이/VCP+ㄴ/ETM
미국과	미국/NNP+과/JC
일본이	일본/NNP+이/JKS
돈	돈/NNG
풀기에	풀/VV+기/ETN+에/JKB
나서고,	나서/VV+고/EC+,/SP
원자재값	원자재/NNG+값/NNG
반등과	반등/NNG+과/JC
