# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.197
metadata : {}


# id : NWRW1800000022.197.1.1
[대구·경북] 구상회화 저렴한 가격에 구입 아트-마켓 특별전

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS
구상회화	구상/NNG+회화/NNG
저렴한	저렴하/VA+ㄴ/ETM
가격에	가격/NNG+에/JKB
구입	구입/NNG
아트-마켓	아트/NNG+-/SO+마켓/NNG
특별전	특별전/NNG


# id : NWRW1800000022.197.2.1
대구에서 활동 중인 중견 작가들의 작품을 저렴한 가격으로 구입할 수 있는 전시회가 열린다.

대구에서	대구/NNP+에서/JKB
활동	활동/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
중견	중견/NNG
작가들의	작가/NNG+들/XSN+의/JKG
작품을	작품/NNG+을/JKO
저렴한	저렴하/VA+ㄴ/ETM
가격으로	가격/NNG+으로/JKB
구입할	구입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
전시회가	전시회/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.197.3.1
대백프라자갤러리가 3일부터 8일까지 열 '2009 대구구상회화 아트-마켓 특별전'이 그것.

대백프라자갤러리가	대백프라자갤러리/NNP+가/JKS
3일부터	3/SN+일/NNB+부터/JX
8일까지	8/SN+일/NNB+까지/JX
열	열/VV+ㄹ/ETM
'2009	'/SS+2009/SN
대구구상회화	대구/NNP+구상/NNG+회화/NNG
아트-마켓	아트/NNG+-/SO+마켓/NNG
특별전'이	특별전/NNG+'/SS+이/JKS
그것.	그것/NP+./SF


# id : NWRW1800000022.197.4.1
출품 작가로 이원희, 전재경, 장이규, 안효, 김병수, 박종경 등 대구지역의 중견 작가들과 국내 미술시장에서 인기작가로 알려진 박성렬, 김대연, 이용학, 모기홍 등이 눈에 띈다.

출품	출품/NNG
작가로	작가/NNG+로/JKB
이원희,	이원희/NNP+,/SP
전재경,	전재경/NNP+,/SP
장이규,	장이규/NNP+,/SP
안효,	안효/NNP+,/SP
김병수,	김병수/NNP+,/SP
박종경	박종경/NNP
등	등/NNB
대구지역의	대구/NNP+지역/NNG+의/JKG
중견	중견/NNG
작가들과	작가/NNG+들/XSN+과/JC
국내	국내/NNG
미술시장에서	미술/NNG+시장/NNG+에서/JKB
인기작가로	인기/NNG+작가/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
박성렬,	박성렬/NNP+,/SP
김대연,	김대연/NNP+,/SP
이용학,	이용학/NNP+,/SP
모기홍	모기홍/NNP
등이	등/NNB+이/JKS
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.197.4.2
대구의 차세대 젊은 작가로 손꼽히는 김대섭, 예진우, 김성진 등도 참가해 출품작가는 총 17명이다.

대구의	대구/NNP+의/JKG
차세대	차세대/NNG
젊은	젊/VA+은/ETM
작가로	작가/NNG+로/JKB
손꼽히는	손꼽히/VV+는/ETM
김대섭,	김대섭/NNP+,/SP
예진우,	예진우/NNP+,/SP
김성진	김성진/NNP
등도	등/NNB+도/JX
참가해	참가/NNG+하/XSV+아/EC
출품작가는	출품/NNG+작가/NNG+는/JX
총	총/MMA
17명이다.	17/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.197.4.3
구상회화의 다양한 면모를 감상하면서 작품도 구입할 수 있는 절호의 기회로 꼽힌다.

구상회화의	구상/NNG+회화/NNG+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
면모를	면모/NNG+를/JKO
감상하면서	감상/NNG+하/XSV+면서/EC
작품도	작품/NNG+도/JX
구입할	구입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
절호의	절호/NNG+의/JKG
기회로	기회/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.197.5.1
이와 함께 4~8호 정도 크기의 소품의 경우 80만원의 저렴한 가격으로 판매하는 행사도 열린다.

이와	이/NP+와/JKB
함께	함께/MAG
4~8호	4/SN+~/SO+8/SN+호/NNB
정도	정도/NNG
크기의	크기/NNG+의/JKG
소품의	소품/NNG+의/JKG
경우	경우/NNG
80만원의	80/SN+만/NR+원/NNB+의/JKG
저렴한	저렴하/VA+ㄴ/ETM
가격으로	가격/NNG+으로/JKB
판매하는	판매/NNG+하/XSV+는/ETM
행사도	행사/NNG+도/JX
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.197.5.2
이는 정상적인 작품 가격보다 20~30% 할인된 가격이다.

이는	이/NP+는/JX
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
작품	작품/NNG
가격보다	가격/NNG+보다/JKB
20~30%	20/SN+~/SO+30/SN+%/SW
할인된	할인/NNG+되/XSV+ㄴ/ETM
가격이다.	가격/NNG+이/VCP+다/EF+./SF


