# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.202
metadata : {}


# id : NWRW1800000022.202.1.1
[울산] 전국장수축구대회 13~14일

[울산]	[/SS+울산/NNP+]/SS
전국장수축구대회	전국/NNG+장수/NNG+축구/NNG+대회/NNG
13~14일	13/SN+~/SO+14/SN+일/NNB


# id : NWRW1800000022.202.2.1
전국에서 축구를 사랑하는 70세 이상 어르신들이 울산에 모여 노익장을 과시한다.

전국에서	전국/NNG+에서/JKB
축구를	축구/NNG+를/JKO
사랑하는	사랑/NNG+하/XSV+는/ETM
70세	70/SN+세/NNB
이상	이상/NNG
어르신들이	어르신/NNG+들/XSN+이/JKS
울산에	울산/NNP+에/JKB
모여	모이/VV+어/EC
노익장을	노/XPN+익장/NNG+을/JKO
과시한다.	과시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.202.3.1
전국 70세 이상 노인들만 선수로 참가하는 '제2회 국민생활체육 장수축구진흥회 후원장배 전국대회'가 13~14일 이틀 동안 울산시 동구 울산과학대학 인조잔디구장과 서부구장에서 개최된다.

전국	전국/NNG
70세	70/SN+세/NNB
이상	이상/NNG
노인들만	노인/NNG+들/XSN+만/JX
선수로	선수/NNG+로/JKB
참가하는	참가/NNG+하/XSV+는/ETM
'제2회	'/SS+제/XPN+2/SN+회/NNB
국민생활체육	국민/NNG+생활/NNG+체육/NNG
장수축구진흥회	장수/NNG+축구/NNG+진흥회/NNG
후원장배	후원장/NNG+배/NNB
전국대회'가	전국/NNG+대회/NNG+'/SS+가/JKS
13~14일	13/SN+~/SO+14/SN+일/NNB
이틀	이틀/NNG
동안	동안/NNG
울산시	울산시/NNP
동구	동구/NNP
울산과학대학	울산과학대학/NNP
인조잔디구장과	인조/NNG+잔디/NNG+구장/NNG+과/JC
서부구장에서	서부/NNG+구장/NNG+에서/JKB
개최된다.	개최/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.202.4.1
울산에서는 처음 열리는 전국장수축구대회는 국민생활체육 전국장수축구진흥회가 주최하고 국민생활체육 울산시 축구연합회 울산70대 축구단 주관, 전국 70세 이상 선수 16개팀 모두 400여명이 참가한다.

울산에서는	울산/NNP+에서/JKB+는/JX
처음	처음/NNG
열리는	열리/VV+는/ETM
전국장수축구대회는	전국/NNG+장수/NNG+축구/NNG+대회/NNG+는/JX
국민생활체육	국민/NNG+생활/NNG+체육/NNG
전국장수축구진흥회가	전국/NNG+장수/NNG+축구/NNG+진흥회/NNG+가/JKS
주최하고	주최/NNG+하/XSV+고/EC
울산시	울산시/NNP
축구연합회	축구/NNG+연합회/NNG
울산70대	울산/NNP+70/SN+대/NNB
축구단	축구단/NNG
주관,	주관/NNG+,/SP
전국	전국/NNG
70세	70/SN+세/NNB
이상	이상/NNG
선수	선수/NNG
16개팀	16/SN+개/NNB+팀/NNG
모두	모두/MAG
400여명이	400/SN+여/XSN+명/NNB+이/JKS
참가한다.	참가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.202.5.1
대회 첫날 13일에는 울산과학대학과 현대미포조선 내 축구장 등에서 예선전이 치러지며, 14일에는 결승전과 시상식 등 다채로운 행사로 이뤄진다.

대회	대회/NNG
첫날	첫날/NNG
13일에는	13/SN+일/NNB+에/JKB+는/JX
울산과학대학과	울산과학대학/NNP+과/JC
현대미포조선	현대미포조선/NNP
내	내/NNB
축구장	축구장/NNG
등에서	등/NNB+에서/JKB
예선전이	예선전/NNG+이/JKS
치러지며,	치르/VV+어/EC+지/VX+며/EC+,/SP
14일에는	14/SN+일/NNB+에/JKB+는/JX
결승전과	결승전/NNG+과/JC
시상식	시상식/NNG
등	등/NNB
다채로운	다채롭/VA+ㄴ/ETM
행사로	행사/NNG+로/JKB
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.202.6.1
아울러 이번 대회에 참가선수들에게 산업체 견학시간도 제공될 계획이다.

아울러	아울러/MAG
이번	이번/NNG
대회에	대회/NNG+에/JKB
참가선수들에게	참가/NNG+선수/NNG+들/XSN+에게/JKB
산업체	산업체/NNG
견학시간도	견학/NNG+시간/NNG+도/JX
제공될	제공/NNG+되/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.202.7.1
한편 전국장수축구대회는 지난해 10월 수원 월드컵 보조경기장에서 첫 대회가 열렸다.

한편	한편/MAG
전국장수축구대회는	전국/NNG+장수/NNG+축구/NNG+대회/NNG+는/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
수원	수원/NNP
월드컵	월드컵/NNG
보조경기장에서	보조/NNG+경기장/NNG+에서/JKB
첫	첫/MMN
대회가	대회/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


