# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.76
metadata : {}


# id : NWRW1800000030.76.1.1
[방송 TALK] 슈퍼스타K, 毒이 된 현란한 편집 •앞·뒤 맥락 무시… 자극적 발언으로 시청률 올리기, 왜곡·과장 논란에 제작진은 "예능 프로인 점 이해해달라"

[방송	[/SS+방송/NNG
TALK]	TALK/SL+]/SS
슈퍼스타K,	슈퍼스타/NNG+K/SL+,/SP
毒이	毒/SH+이/JKC
된	되/VV+ㄴ/ETM
현란한	현란/NNG+하/XSA+ㄴ/ETM
편집	편집/NNG
•앞·뒤	•/SW+앞·뒤/NNG
맥락	맥락/NNG
무시…	무시/NNG+…/SE
자극적	자극/NNG+적/XSN
발언으로	발언/NNG+으로/JKB
시청률	시청/NNG+률/XSN
올리기,	올리/VV+기/ETN+,/SP
왜곡·과장	왜곡/NNG+·/SP+과장/NNG
논란에	논란/NNG+에/JKB
제작진은	제작진/NNG+은/JX
"예능	"/SS+예능/NNG
프로인	프로/NNG+이/VCP+ㄴ/ETM
점	점/NNG
이해해달라"	이해/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS


# id : NWRW1800000030.76.2.1
지상파·케이블 통틀어 동시간대 최고 시청률을 기록하며 인기를 모으고 있는 엠넷 '슈퍼스타K3'(이하 슈스케3)가 최종 톱10에 든 예리밴드의 '조작 방송' 의혹 제기와 숙소 무단이탈로 또다시 논란의 중심에 섰다.

지상파·케이블	지상파/NNG+·/SP+케이블/NNG
통틀어	통틀어/MAG
동시간대	동/MMD+시간대/NNG
최고	최고/NNG
시청률을	시청/NNG+률/XSN+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
인기를	인기/NNG+를/JKO
모으고	모으/VV+고/EC
있는	있/VX+는/ETM
엠넷	엠넷/NNP
'슈퍼스타K3'(이하	'/SS+슈퍼스타/NNG+K/SL+3/SN+'/SS+(/SS+이하/NNG
슈스케3)가	슈스케/NNG+3/SN+)/SS+가/JKS
최종	최종/NNG
톱10에	톱/NNG+10/SN+에/JKB
든	들/VV+ㄴ/ETM
예리밴드의	예리밴드/NNP+의/JKG
'조작	'/SS+조작/NNG
방송'	방송/NNG+'/SS
의혹	의혹/NNG
제기와	제기/NNG+와/JC
숙소	숙소/NNG
