# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.296
metadata : {}


# id : NWRW1800000040.296.1.1
37살 메이저리거, 임창용

37살	37/SN+살/NNB
메이저리거,	메이저리거/NNG+,/SP
임창용	임창용/NNP


# id : NWRW1800000040.296.2.1
트리플A서 빅리그로 전격 승격

트리플A서	트리플/NNG+A/SL+서/JKB
빅리그로	빅리그/NNG+로/JKB
전격	전격/NNG
승격	승격/NNG


# id : NWRW1800000040.296.3.1
한국인 14번째…최고령 진출

한국인	한국인/NNG
14번째…최고령	14/SN+번/NNB+째/XSN+…/SE+최/XPN+고령/NNG
진출	진출/NNG


# id : NWRW1800000040.296.4.1
컵스, 내년 시즌 위해 테스트

컵스,	컵스/NNP+,/SP
내년	내년/NNG
시즌	시즌/NNG
위해	위하/VV+아/EC
테스트	테스트/NNG


# id : NWRW1800000040.296.5.1
한·일·미국서 모두 성공할지 주목

한·일·미국서	한·일/NNP+·/SP+미국/NNP+서/JKB
모두	모두/MAG
성공할지	성공/NNG+하/XSV+ㄹ지/EF
주목	주목/NNG


# id : NWRW1800000040.296.6.1
다음주 추신수와 대결 가능성도

다음주	다음/NNG+주/NNG
추신수와	추신수/NNP+와/JKB
대결	대결/NNG
가능성도	가능/NNG+성/XSN+도/JX


# id : NWRW1800000040.296.7.1
‘뱀직구’로 ‘염소의 저주’를 풀어라.

‘뱀직구’로	‘/SS+뱀직구/NNG+’/SS+로/JKB
‘염소의	‘/SS+염소/NNG+의/JKG
저주’를	저주/NNG+’/SS+를/JKO
풀어라.	풀/VV+어라/EF+./SF


# id : NWRW1800000040.296.8.1
염소의 저주는 1945년 시카고 컵스와 디트로이트의 월드시리즈 4차전이 열린 리글리필드구장에 염소를 데리고 입장하려던 관중이 구단주의 제지를 받자 “다시는 여기서 월드시리즈가 열리지 못할 것”이라고 독설을 퍼부은 데서 유래한다.

염소의	염소/NNG+의/JKG
저주는	저주/NNG+는/JX
1945년	1945/SN+년/NNB
시카고	시카고/NNP
컵스와	컵스/NNP+와/JC
디트로이트의	디트로이트/NNP+의/JKG
월드시리즈	월드시리즈/NNG
4차전이	4/SN+차전/NNB+이/JKS
열린	열리/VV+ㄴ/ETM
리글리필드구장에	리글리필드구장/NNP+에/JKB
염소를	염소/NNG+를/JKO
데리고	데리/VV+고/EC
입장하려던	입장/NNG+하/XSV+려던/ETM
관중이	관중/NNG+이/JKS
구단주의	구단주/NNG+의/JKG
제지를	제지/NNG+를/JKO
받자	받/VV+자/EC
“다시는	“/SS+다시/MAG+는/JX
여기서	여기/NP+서/JKB
월드시리즈가	월드시리즈/NNG+가/JKS
열리지	열리/VV+지/EC
못할	못하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
독설을	독설/NNG+을/JKO
퍼부은	퍼붓/VV+은/ETM
데서	데/NNB+서/JKB
유래한다.	유래/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.296.8.2
‘염소의 저주’ 탓인지 시카고 컵스는 1907년과 1908년 2년 연속으로 월드시리즈에서 우승한 이후 메이저리그 30개 팀 중에서 100년이 넘도록 단 한 번도 우승을 하지 못한 유일한 팀이 됐다.

‘염소의	‘/SS+염소/NNG+의/JKG
저주’	저주/NNG+’/SS
탓인지	탓/NNG+이/VCP+ㄴ지/EC
시카고	시카고/NNP
컵스는	컵스/NNP+는/JX
1907년과	1907/SN+년/NNB+과/JC
1908년	1908/SN+년/NNB
2년	2/SN+년/NNB
연속으로	연속/NNG+으로/JKB
월드시리즈에서	월드시리즈/NNG+에서/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
메이저리그	메이저리그/NNG
30개	30/SN+개/NNB
팀	팀/NNG
중에서	중/NNB+에서/JKB
100년이	100/SN+년/NNB+이/JKS
넘도록	넘/VV+도록/EC
단	단/MMA
한	한/MMN
번도	번/NNB+도/JX
우승을	우승/NNG+을/JKO
하지	하/VV+지/EC
못한	못하/VX+ㄴ/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
팀이	팀/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.296.9.1
지난해 연말 특급대우를 받던 일본 야쿠르트에서 방출된 뒤 메이저리그 진출을 위해 미국행을 택한 임창용(37)이 빅리그 입성의 꿈을 이뤘다.

지난해	지난해/NNG
연말	연말/NNG
특급대우를	특급/NNG+대우/NNG+를/JKO
받던	받/VV+던/ETM
일본	일본/NNP
야쿠르트에서	야쿠르트/NNP+에서/JKB
방출된	방출/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
메이저리그	메이저리그/NNG
진출을	진출/NNG+을/JKO
위해	위하/VV+아/EC
