# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.25
metadata : {}


# id : NWRW1800000026.25.1.1
초반 20분 '실점의 추억'을 지워라;1986년 월드컵부터 전체실점의 30% 차지 "지나친 신중함보다 몰아치는 플레이 필요"

초반	초반/NNG
20분	20/SN+분/NNB
'실점의	'/SS+실점/NNG+의/JKG
추억'을	추억/NNG+'/SS+을/JKO
지워라;1986년	지우/VV+어라/EF+;/SP+1986/SN+년/NNB
월드컵부터	월드컵/NNG+부터/JX
전체실점의	전체/NNG+실점/NNG+의/JKG
30%	30/SN+%/SW
차지	차지/NNG
"지나친	"/SS+지나치/VA+ㄴ/ETM
신중함보다	신중/NNG+하/XSA+ㅁ/ETN+보다/JKB
몰아치는	몰아치/VV+는/ETM
플레이	플레이/NNG
필요"	필요/NNG+"/SS


# id : NWRW1800000026.25.2.1
'첫 20분을 잘 버텨라.' 6월 남아공월드컵을 앞둔 축구 국가대표의 핵심 숙제다.

'첫	'/SS+첫/MMN
20분을	20/SN+분/NNB+을/JKO
잘	잘/MAG
버텨라.'	버티/VV+어라/EF+./SF+'/SS
6월	6/SN+월/NNB
남아공월드컵을	남아공/NNP+월드컵/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
축구	축구/NNG
국가대표의	국가/NNG+대표/NNG+의/JKG
핵심	핵심/NNG
숙제다.	숙제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.25.3.1
스페인에서 전지훈련 중인 대표팀은 19일(한국 시각) 새벽 핀란드와 평가전에서 2대0으로 이겼다.

스페인에서	스페인/NNP+에서/JKB
전지훈련	전지훈련/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
대표팀은	대표/NNG+팀/NNG+은/JX
19일(한국	19/SN+일/NNB+(/SS+한국/NNP
시각)	시각/NNG+)/SS
새벽	새벽/NNG
핀란드와	핀란드/NNP+와/JKB
평가전에서	평가전/NNG+에서/JKB
2대0으로	2/SN+대/NNB+0/SN+으로/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


