# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.123
metadata : {}


# id : NWRW1800000024.123.1.1
송진우 3천이닝 투구 ‘전설은 계속된다’

송진우	송진우/NNP
3천이닝	3/SN+천/NR+이닝/NNG
투구	투구/NNG
‘전설은	‘/SS+전설/NNG+은/JX
계속된다’	계속/NNG+되/XSV+ㄴ다/EF+’/SS


# id : NWRW1800000024.123.2.1
국내 프로야구 최고령 투수 송진우(44·한화)가 마침내 3천이닝 투구 금자탑을 세웠다.

국내	국내/NNG
프로야구	프로/NNG+야구/NNG
최고령	최/XPN+고령/NNG
투수	투수/NNG
송진우(44·한화)가	송진우/NNP+(/SS+44/SN+·/SP+한화/NNP+)/SS+가/JKS
마침내	마침내/MAG
3천이닝	3/SN+천/NR+이닝/NNG
투구	투구/NNG
금자탑을	금자탑/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.123.3.1
송진우는 9일 대전구장에서 열린 프로야구 두산과의 안방경기에서 1-6으로 뒤진 7회초 마운드에 올라 아웃카운트 2개를 잡았다.

송진우는	송진우/NNP+는/JX
9일	9/SN+일/NNB
대전구장에서	대전구장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
프로야구	프로/NNG+야구/NNG
두산과의	두산/NNP+과/JKB+의/JKG
안방경기에서	안방/NNG+경기/NNG+에서/JKB
1-6으로	1/SN+-/SO+6/SN+으로/JKB
뒤진	뒤지/VV+ㄴ/ETM
7회초	7/SN+회/NNB+초/NNB
마운드에	마운드/NNG+에/JKB
올라	오르/VV+아/EC
아웃카운트	아웃/NNG+카운트/NNG
2개를	2/SN+개/NNB+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.123.3.2
첫 타자 김재호를 중견수 뜬공으로 처리한 뒤 3번 김현수에게는 좌중간 2루타를 맞았다.

첫	첫/MMN
타자	타자/NNG
김재호를	김재호/NNP+를/JKO
중견수	중견수/NNG
뜬공으로	뜬공/NNG+으로/JKB
처리한	처리/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
3번	3/SN+번/NNB
김현수에게는	김현수/NNP+에게/JKB+는/JX
좌중간	좌중간/NNG
2루타를	2루타/NNG+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.123.3.3
송진우는 이어 타석에 나선 이대수를 상대로 2구 만에 우익수 뜬공을 유도해 대망의 3천이닝째를 채웠다.

송진우는	송진우/NNP+는/JX
이어	이어/MAG
타석에	타석/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
이대수를	이대수/NNP+를/JKO
상대로	상대/NNG+로/JKB
2구	2/SN+구/NNG
만에	만/NNB+에/JKB
우익수	우익수/NNG
뜬공을	뜬공/NNG+을/JKO
유도해	유도/NNG+하/XSV+아/EC
대망의	대망/NNG+의/JKG
3천이닝째를	3/SN+천/NR+이닝/NNG+째/XSN+를/JKO
채웠다.	채우/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.123.4.1
송진우는 다섯 타자를 상대로 3안타 1실점했으나, 1989년 데뷔 이후 21시즌 만에 최초로 개인 통산 3천이닝을 기록하는 전인미답의 기록을 세웠다.

송진우는	송진우/NNP+는/JX
다섯	다섯/NR
타자를	타자/NNG+를/JKO
상대로	상대/NNG+로/JKB
3안타	3/SN+안타/NNG
1실점했으나,	1/SN+실점/NNG+하/XSV+았/EP+으나/EC+,/SP
1989년	1989/SN+년/NNB
데뷔	데뷔/NNG
이후	이후/NNG
21시즌	21/SN+시즌/NNG
만에	만/NNB+에/JKB
최초로	최초/NNG+로/JKB
개인	개인/NNG
통산	통산/NNG
3천이닝을	3/SN+천/NR+이닝/NNG+을/JKO
기록하는	기록/NNG+하/XSV+는/ETM
전인미답의	전인미답/NNG+의/JKG
기록을	기록/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.123.4.2
송진우는 개인 통산 210승 153패 103세이브로 최다승과 최다패 기록 보유자이며, 상대 타자 수도 1만2688명으로 독보적인 1위 기록을 이어가고 있다.

송진우는	송진우/NNP+는/JX
개인	개인/NNG
통산	통산/NNG
210승	210/SN+승/NNB
153패	153/SN+패/NNB
103세이브로	103/SN+세이브/NNG+로/JKB
최다승과	최/XPN+다승/NNG+과/JC
최다패	최다/NNG+패/NNG
기록	기록/NNG
보유자이며,	보유자/NNG+이/VCP+며/EC+,/SP
상대	상대/NNG
타자	타자/NNG
수도	수/NNG+도/JX
1만2688명으로	1/SN+만/NR+2688/SN+명/NNB+으로/JKB
독보적인	독보/NNG+적/XSN+이/VCP+ㄴ/ETM
1위	1/SN+위/NNB
기록을	기록/NNG+을/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.123.5.1
현역 선수 중 최다 투구이닝 2위는 한화 정민철(2368⅔이닝)로 차이가 많아 송진우의 기록은 당분간 깨지기 어려울 전망이다.

현역	현역/NNG
선수	선수/NNG
중	중/NNB
최다	최다/NNG
투구이닝	투구/NNG+이닝/NNG
2위는	2/SN+위/NNB+는/JX
한화	한화/NNP
정민철(2368⅔이닝)로	정민철/NNP+(/SS+2368/SN+⅔/SW+이닝/NNG+)/SS+로/JKB
차이가	차이/NNG+가/JKS
많아	많/VA+아/EC
송진우의	송진우/NNP+의/JKG
기록은	기록/NNG+은/JX
당분간	당분간/MAG
깨지기	깨지/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.123.5.2
미국프로야구 최다 투구이닝 기록은 전설적인 투수 사이 영의 7356이닝이고, 일본은 가네다 마사이치가 기록한 5526⅔이닝이다.

미국프로야구	미국/NNP+프로/NNG+야구/NNG
최다	최다/NNG
투구이닝	투구/NNG+이닝/NNG
기록은	기록/NNG+은/JX
전설적인	전설/NNG+적/XSN+이/VCP+ㄴ/ETM
투수	투수/NNG
사이	사이/NNP
영의	영/NNP+의/JKG
7356이닝이고,	7356/SN+이닝/NNG+이/VCP+고/EC+,/SP
일본은	일본/NNP+은/JX
가네다	가네다/NNP
마사이치가	마사이치/NNP+가/JKS
기록한	기록/NNG+하/XSV+ㄴ/ETM
5526⅔이닝이다.	5526/SN+⅔/SW+이닝/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.123.6.1
이날 경기에선 김선우와 김현수가 투타에서 활약한 두산이 한화를 11-2로 물리쳤다.

이날	이날/NNG
경기에선	경기/NNG+에서/JKB+ㄴ/JX
김선우와	김선우/NNP+와/JC
김현수가	김현수/NNP+가/JKS
투타에서	투타/NNG+에서/JKB
활약한	활약/NNG+하/XSV+ㄴ/ETM
두산이	두산/NNP+이/JKS
한화를	한화/NNP+를/JKO
11-2로	11/SN+-/SO+2/SN+로/JKB
물리쳤다.	물리치/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.123.6.2
김선우는 5회 2사까지 1점만 내주는 깔끔한 투구로 시즌 2승째를 챙겼고, 김현수는 4타수 4안타 2타점의 맹타를 휘둘렀다.

김선우는	김선우/NNP+는/JX
5회	5/SN+회/NNB
2사까지	2/SN+사/NNG+까지/JX
1점만	1/SN+점/NNB+만/JX
내주는	내주/VV+는/ETM
깔끔한	깔끔/NNG+하/XSA+ㄴ/ETM
투구로	투구/NNG+로/JKB
시즌	시즌/NNG
2승째를	2/SN+승/NNB+째/XSN+를/JKO
챙겼고,	챙기/VV+었/EP+고/EC+,/SP
김현수는	김현수/NNP+는/JX
4타수	4/SN+타수/NNG
4안타	4/SN+안타/NNG
2타점의	2/SN+타점/NNG+의/JKG
맹타를	맹타/NNG+를/JKO
휘둘렀다.	휘두르/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.123.6.3
한화는 두번째 투수 허유강이 세 타자 연속 몸맞는 공을 기록하는 등 몸맞는 공만 5개를 내줬다.

한화는	한화/NNP+는/JX
두번째	두/MMN+번/NNB+째/XSN
투수	투수/NNG
허유강이	허유강/NNP+이/JKS
세	세/MMN
타자	타자/NNG
연속	연속/NNG
몸맞는	몸/NNG+맞/VV+는/ETM
공을	공/NNG+을/JKO
기록하는	기록/NNG+하/XSV+는/ETM
등	등/NNB
공만	공/NNG+만/JX
5개를	5/SN+개/NNB+를/JKO
내줬다.	내주/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.123.7.1
잠실에선 엘지가 봉중근의 호투를 발판 삼아 롯데를 6-3으로 꺾고 시즌 2승째를 챙겼다.

잠실에선	잠실/NNP+에서/JKB+ㄴ/JX
엘지가	엘지/NNP+가/JKS
봉중근의	봉중근/NNP+의/JKG
호투를	호투/NNG+를/JKO
발판	발판/NNG
삼아	삼/VV+아/EC
롯데를	롯데/NNP+를/JKO
6-3으로	6/SN+-/SO+3/SN+으로/JKB
꺾고	꺾/VV+고/EC
시즌	시즌/NNG
2승째를	2/SN+승/NNB+째/XSN+를/JKO
챙겼다.	챙기/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.123.7.2
개막전에서 패배를 당했던 세계야구클래식 스타 봉중근은 7이닝 동안 5안타 1실점으로 시즌 첫승을 신고했다.

개막전에서	개막전/NNG+에서/JKB
패배를	패배/NNG+를/JKO
당했던	당하/VV+았/EP+던/ETM
세계야구클래식	세계/NNG+야구/NNG+클래식/NNG
스타	스타/NNG
봉중근은	봉중근/NNP+은/JX
7이닝	7/SN+이닝/NNG
동안	동안/NNG
5안타	5/SN+안타/NNG
1실점으로	1/SN+실점/NNG+으로/JKB
시즌	시즌/NNG
