# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.110
metadata : {}


# id : NWRW1800000052.110.1.1
미, 대선 해킹 개입 맞서 러시아 외교관 35명 추방…냉전의 데자뷔?

미,	미/NNP+,/SP
대선	대선/NNG
해킹	해킹/NNG
개입	개입/NNG
맞서	맞서/VV+어/EC
러시아	러시아/NNP
외교관	외교관/NNG
35명	35/SN+명/NNB
추방…냉전의	추방/NNG+…/SE+냉전/NNG+의/JKG
데자뷔?	데자뷔/NNG+?/SF


# id : NWRW1800000052.110.2.1
오바마 대통령, 고강도 대응조처 단행…72시간 안에 미국 떠나야

오바마	오바마/NNP
대통령,	대통령/NNG+,/SP
고강도	고/XPN+강도/NNG
대응조처	대응/NNG+조처/NNG
단행…72시간	단행/NNG+…/SE+72/SN+시간/NNB
안에	안/NNG+에/JKB
미국	미국/NNP
떠나야	떠나/VV+아야/EC


# id : NWRW1800000052.110.3.1
정보관련 활동 의혹 휴양시설 2곳도 폐쇄…정보기관 2곳 등 제재

정보관련	정보/NNG+관련/NNG
활동	활동/NNG
의혹	의혹/NNG
휴양시설	휴양/NNG+시설/NNG
2곳도	2/SN+곳/NNG+도/JX
폐쇄…정보기관	폐쇄/NNG+…/SE+정보기관/NNG
2곳	2/SN+곳/NNG
등	등/NNB
제재	제재/NNG


# id : NWRW1800000052.110.4.1
’민주주의 흔들릴 수 있다’는 원칙과 미국 내 반 러시아 분위기 반영

’민주주의	’/SS+민주주의/NNG
흔들릴	흔들리/VV+ㄹ/ETM
수	수/NNB
있다’는	있/VA+다/EF+’/SS+는/ETM
원칙과	원칙/NNG+과/JC
미국	미국/NNP
내	내/NNB
반	반/XPN
러시아	러시아/NNP
분위기	분위기/NNG
반영	반영/NNG


# id : NWRW1800000052.110.5.1
버락 오바마 미국 대통령이 러시아의 미 대선 해킹 개입 의혹과 관련해, 외교관 35명의 추방을 비롯한 전례없는 고강도 대응 조처를 단행했다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
