# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.195
metadata : {}


# id : NWRW1800000022.195.1.1
[수도권] 김포공항~여의도 16분만에 다닌다;9호선 다음 달 12일 개통 20분마다 급행열차도 운행

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
김포공항~여의도	김포공항/NNP+~/SO+여의도/NNP
16분만에	16/SN+분/NNB+만/NNB+에/JKB
다닌다;9호선	다니/VV+ㄴ다/EF+;/SW+9/SN+호선/NNB
다음	다음/NNG
달	달/NNG
12일	12/SN+일/NNB
개통	개통/NNG
20분마다	20/SN+분/NNB+마다/JX
급행열차도	급행열차/NNG+도/JX
운행	운행/NNG


# id : NWRW1800000022.195.2.1
지하철 9호선이 다음달 12일 개통된다.

지하철	지하철/NNG
9호선이	9/SN+호선/NNB+이/JKS
다음달	다음/NNG+달/NNG
12일	12/SN+일/NNB
개통된다.	개통/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.195.2.2
서울시 도시기반시설본부는 지난 3월부터 해 온 9호선 시운전을 마치고, 1단계 김포공항~신논현 구간에서 다음달 12일 정식 운행에 들어간다고 28일 밝혔다.

서울시	서울시/NNP
도시기반시설본부는	도시/NNG+기반/NNG+시설/NNG+본부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
3월부터	3/SN+월/NNB+부터/JX
해	하/VV+아/EC
온	오/VX+ㄴ/ETM
9호선	9/SN+호선/NNB
시운전을	시운전/NNG+을/JKO
마치고,	마치/VV+고/EC+,/SP
1단계	1/SN+단계/NNG
김포공항~신논현	김포공항/NNP+~/SO+신논현/NNP
구간에서	구간/NNG+에서/JKB
다음달	다음/NNG+달/NNG
12일	12/SN+일/NNB
정식	정식/NNG
운행에	운행/NNG+에/JKB
들어간다고	들어가/VV+ㄴ다고/EC
28일	28/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.195.2.3
이 구간 중 일부 역만 정차하는 급행열차도 함께 운행된다.

이	이/MMD
구간	구간/NNG
중	중/NNB
일부	일부/NNG
역만	역/NNG+만/JX
정차하는	정차/NNG+하/XSV+는/ETM
급행열차도	급행열차/NNG+도/JX
함께	함께/MAG
운행된다.	운행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.195.3.1
시는 현행 지하철 기본요금인 900원을 9호선 기본요금으로 정했으며, 선불·후불 교통카드는 9호선 개통과 함께 사용할 수 있다.

시는	시/NNG+는/JX
현행	현행/NNG
지하철	지하철/NNG
기본요금인	기본요금/NNG+이/VCP+ㄴ/ETM
900원을	900/SN+원/NNB+을/JKO
9호선	9/SN+호선/NNB
기본요금으로	기본요금/NNG+으로/JKB
정했으며,	정하/VV+았/EP+으며/EC+,/SP
선불·후불	선불/NNG+·/SP+후불/NNG
교통카드는	교통/NNG+카드/NNG+는/JX
개통과	개통/NNG+과/JKB
함께	함께/MAG
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.195.3.2
그러나 민간사업자인 ㈜서울9호선 운영과 요금에 이견이 있어, 9호선 정기권 발행엔 시간이 걸릴 전망이다.

그러나	그러나/MAJ
민간사업자인	민간사업자/NNG+이/VCP+ㄴ/ETM
㈜서울9호선	㈜/SW+서울9호선/NNP
운영과	운영/NNG+과/JKB
요금에	요금/NNG+에/JKB
이견이	이견/NNG+이/JKS
있어,	있/VA+어/EC+,/SP
9호선	9/SN+호선/NNB
정기권	정기/NNG+권/XSN
발행엔	발행/NNG+에/JKB+ㄴ/JX
시간이	시간/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.195.4.1
김포공항~신논현 구간 25개 역 가운데 주변 도시개발사업이 마무리되지 않은 '마곡역'은 개통에서 제외됐다.

김포공항~신논현	김포공항/NNP+~/SO+신논현/NNP
구간	구간/NNG
25개	25/SN+개/NNB
역	역/NNG
가운데	가운데/NNG
주변	주변/NNG
도시개발사업이	도시/NNG+개발/NNG+사업/NNG+이/JKS
마무리되지	마무리/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
'마곡역'은	'/SS+마곡역/NNP+'/SS+은/JX
개통에서	개통/NNG+에서/JKB
제외됐다.	제외/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.195.4.2
20분마다 운행되는 급행열차는 김포공항·가양·염창·당산·여의도·노량진·동작·고속터미널·신논현 9개 역에만 정차해 김포공항~신논현을 30분에, 김포공항~여의도를 16분에 주파한다.

20분마다	20/SN+분/NNB+마다/JX
운행되는	운행/NNG+되/XSV+는/ETM
급행열차는	급행열차/NNG+는/JX
김포공항·가양·염창·당산·여의도·노량진·동작·고속터미널·신논현	김포공항/NNP+·/SP+가양/NNP+·/SP+염창/NNP+·/SP+당산/NNP+·/SP+여의도/NNP+·/SP+노량진/NNP+·/SP+동작/NNP+·/SP+고속터미널/NNP+·/SP+신논현/NNP
9개	9/SN+개/NNB
역에만	역/NNG+에/JKB+만/JX
정차해	정차/NNG+하/XSV+아/EC
김포공항~신논현을	김포공항/NNP+~/SO+신논현/NNP+을/JKO
30분에,	30/SN+분/NNB+에/JKB+,/SP
김포공항~여의도를	김포공항/NNP+~/SO+여의도/NNP+를/JKO
16분에	16/SN+분/NNB+에/JKB
주파한다.	주파/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.195.4.3
모든 역에 서는 일반열차를 탈 경우 김포공항~신논현은 54분, 김포공항~여의도는 26분이 걸린다.

모든	모든/MMN
역에	역/NNG+에/JKB
서는	서/VV+는/ETM
일반열차를	일반/NNG+열차/NNG+를/JKO
탈	타/VV+ㄹ/ETM
경우	경우/NNG
김포공항~신논현은	김포공항/NNP+~/SO+신논현/NNP+은/JX
54분,	54/SN+분/NNB+,/SP
김포공항~여의도는	김포공항/NNP+~/SO+여의도/NNP+는/JX
26분이	26/SN+분/NNB+이/JKS
걸린다.	걸리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.195.5.1
출·퇴근 시간(오전 7~9시, 오후 6~8시)의 경우 급행열차 정차역엔 평균 5분에 1대, 일반열차 정차역엔 평균 6분40초에 1대꼴로 열차가 오고, 그 외 시간에 급행열차 정차역엔 평균 6분40초에 1대, 일반열차 정차역엔 평균 10분에 1대꼴로 열차가 운행될 예정이다.

출·퇴근	출·퇴근/NNG
시간(오전	시간/NNG+(/SS+오전/NNG
7~9시,	7/SN+~/SO+9/SN+시/NNB+,/SP
오후	오후/NNG
6~8시)의	6/SN+~/SO+8/SN+시/NNB+)/SS+의/JKG
경우	경우/NNG
급행열차	급행열차/NNG
정차역엔	정차/NNG+역/NNG+에/JKB+ㄴ/JX
평균	평균/NNG
5분에	5/SN+분/NNB+에/JKB
1대,	1/SN+대/NNB+,/SP
일반열차	일반/NNG+열차/NNG
6분40초에	6/SN+분/NNB+40/SN+초/NNB+에/JKB
1대꼴로	1/SN+대/NNB+꼴/XSN+로/JKB
열차가	열차/NNG+가/JKS
오고,	오/VV+고/EC+,/SP
그	그/MMD
외	외/NNB
시간에	시간/NNG+에/JKB
10분에	10/SN+분/NNB+에/JKB
운행될	운행/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


