# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.79
metadata : {}


# id : NWRW1800000021.79.1.1
[크로스 미디어/다윈을 따라서]‘지구온난화 충격’ 생생

[크로스	[/SS+크로스/NNG
미디어/다윈을	미디어/NNG+//SP+다윈/NNP+을/JKO
따라서]‘지구온난화	따르/VV+아서/EC+]/SS+‘/SS+지구/NNG+온난/NNG+화/XSN
충격’	충격/NNG+’/SS
생생	생생/XR


# id : NWRW1800000021.79.2.1
《11일 오후 9시 50분 EBS에서 방영하는 ‘다윈을 따라서 해양 대탐사-침몰하는 카리브’는 자연 탐사를 넘어 ‘로드 무비’에 가까운 다큐멘터리다.

《11일	《/SS+11/SN+일/NNB
오후	오후/NNG
9시	9/SN+시/NNB
50분	50/SN+분/NNB
EBS에서	EBS/SL+에서/JKB
방영하는	방영/NNG+하/XSV+는/ETM
‘다윈을	‘/SS+다윈/NNP+을/JKO
따라서	따르/VV+아서/EC
해양	해양/NNG
대탐사-침몰하는	대/XPN+탐사/NNG+-/SO+침몰/NNG+하/XSV+는/ETM
카리브’는	카리브/NNP+’/SS+는/JX
자연	자연/NNG
탐사를	탐사/NNG+를/JKO
넘어	넘/VV+어/EC
‘로드	‘/SS+로드/NNG
무비’에	무비/NNG+’/SS+에/JKB
가까운	가깝/VA+ㄴ/ETM
다큐멘터리다.	다큐멘터리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.79.2.2
1809년 찰스 다윈이 탄생한 지 200주년이 되는 시점을 맞아 다윈이 진화론을 발표하는 데 근간이 된 ‘비글호 항해’의 항로를 추적한 한 과학자의 꿈이 담겨 있다.》

1809년	1809/SN+년/NNB
찰스	찰스/NNP
다윈이	다윈/NNP+이/JKS
탄생한	탄생/NNG+하/XSV+ㄴ/ETM
지	지/NNB
200주년이	200/SN+주년/NNB+이/JKC
되는	되/VV+는/ETM
시점을	시점/NNG+을/JKO
맞아	맞/VV+아/EC
진화론을	진화/NNG+론/XSN+을/JKO
발표하는	발표/NNG+하/XSV+는/ETM
데	데/NNB
근간이	근간/NNG+이/JKC
된	되/VV+ㄴ/ETM
‘비글호	‘/SS+비글호/NNP
항해’의	항해/NNG+’/SS+의/JKG
항로를	항로/NNG+를/JKO
추적한	추적/NNG+하/XSV+ㄴ/ETM
한	한/MMN
과학자의	과학자/NNG+의/JKG
꿈이	꿈/NNG+이/JKS
담겨	담기/VV+어/EC
있다.》	있/VX+다/EF+./SF+》/SS


# id : NWRW1800000021.79.3.1
국내는 물론이고 세계에서도 유례가 없는 시도다.

국내는	국내/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
세계에서도	세계/NNG+에서/JKB+도/JX
유례가	유례/NNG+가/JKS
없는	없/VA+는/ETM
시도다.	시도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.79.3.2
이 다큐멘터리는 동아일보 동아닷컴 동아사이언스 등이 크로스미디어의 일환으로 만든 프로그램이다.

이	이/MMD
다큐멘터리는	다큐멘터리/NNG+는/JX
동아일보	동아일보/NNP
동아닷컴	동아닷컴/NNP
동아사이언스	동아사이언스/NNP
등이	등/NNB+이/JKS
크로스미디어의	크로스/NNG+미디어/NNG+의/JKG
일환으로	일환/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
프로그램이다.	프로그램/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.79.4.1
○ 내레이션 맡은 최수종 씨 “보기만 해도 손에 땀이…”

○	○/SW
내레이션	내레이션/NNG
맡은	맡/VV+은/ETM
최수종	최수종/NNP
씨	씨/NNB
“보기만	“/SS+보/VV+기/ETN+만/JX
해도	하/VX+아도/EC
손에	손/NNG+에/JKB
땀이…”	땀/NNG+이/JKS+…/SE+”/SS


# id : NWRW1800000021.79.5.1
‘침몰하는 카리브’는 갑작스러운 기상이변으로 혼란에 빠진 ‘장보고호’의 장면에서 시작된다.

‘침몰하는	‘/SS+침몰/NNG+하/XSV+는/ETM
카리브’는	카리브/NNP+’/SS+는/JX
갑작스러운	갑작스럽/VA+ㄴ/ETM
기상이변으로	기상/NNG+이변/NNG+으로/JKB
혼란에	혼란/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
‘장보고호’의	‘/SS+장보고호/NNP+’/SS+의/JKG
장면에서	장면/NNG+에서/JKB
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.79.5.2
‘장보고호’는 권영인 박사(48·전 한국지질자원연구원 책임연구원)가 비글호 항해를 위해 사재를 털어 만든 배.

‘장보고호’는	‘/SS+장보고호/NNP+’/SS+는/JX
권영인	권영인/NNP
박사(48·전	박사/NNG+(/SS+48/SN+·/SP+전/MMD
한국지질자원연구원	한국지질자원연구원/NNP
책임연구원)가	책임/NNG+연구원/NNG+)/SS+가/JKS
비글호	비글호/NNP
항해를	항해/NNG+를/JKO
위해	위하/VV+아/EC
사재를	사재/NNG+를/JKO
털어	털/VV+어/EC
만든	만들/VV+ㄴ/ETM
배.	배/NNG+./SF


# id : NWRW1800000021.79.5.3
권 박사와 송동윤 대원이 “더는 촬영이 어렵다”고 말한 대목에서 이 탐사가 얼마나 위험한 도전인지 가늠하게 한다.

권	권/NNP
박사와	박사/NNG+와/JC
송동윤	송동윤/NNP
대원이	대원/NNG+이/JKS
“더는	“/SS+더/MAG+는/JX
촬영이	촬영/NNG+이/JKS
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
대목에서	대목/NNG+에서/JKB
이	이/MMD
탐사가	탐사/NNG+가/JKS
얼마나	얼마나/MAG
위험한	위험/NNG+하/XSA+ㄴ/ETM
도전인지	도전/NNG+이/VCP+ㄴ지/EC
가늠하게	가늠/NNG+하/XSV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.79.6.1
위험은 여기서 그치지 않는다.

위험은	위험/NNG+은/JX
여기서	여기/NP+서/JKB
그치지	그치/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000021.79.6.2
현지 시간으로 지난해 11월 25일.

현지	현지/NNG
시간으로	시간/NNG+으로/JKB
지난해	지난해/NNG
11월	11/SN+월/NNB
25일.	25/SN+일/NNB+./SF


# id : NWRW1800000021.79.6.3
장보고호는 카리브 해의 한 무인도를 향해 갔다가 낭패를 본다.

장보고호는	장보고호/NNP+는/JX
카리브	카리브/NNP
해의	해/NNG+의/JKG
한	한/MMN
무인도를	무인도/NNG+를/JKO
향해	향하/VV+아/EC
갔다가	가/VV+았/EP+다가/EC
낭패를	낭패/NNG+를/JKO
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.79.6.4
위성위치확인시스템(GPS)상에 나타나는 섬이 육안으로는 보이지 않는 것.

위성위치확인시스템(GPS)상에	위성/NNG+위치/NNG+확인/NNG+시스템/NNG+(/SS+GPS/SL+)/SS+상/XSN+에/JKB
나타나는	나타나/VV+는/ETM
섬이	섬/NNG+이/JKS
육안으로는	육안/NNG+으로/JKB+는/JX
보이지	보이/VV+지/EC
않는	않/VX+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000021.79.6.5
허리케인으로 해수면이 높아져 섬이 사라진 것이다.

허리케인으로	허리케인/NNG+으로/JKB
해수면이	해수면/NNG+이/JKS
높아져	높아지/VV+어/EC
섬이	섬/NNG+이/JKS
사라진	사라지/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.79.6.6
권 박사는 “최근 10년 사이 지구온난화에 따른 기상변화로 허리케인 등 자연재해가 늘어난 결과”라고 설명했다.

권	권/NNP
박사는	박사/NNG+는/JX
“최근	“/SS+최근/NNG
10년	10/SN+년/NNB
사이	사이/NNG
지구온난화에	지구/NNG+온난/NNG+화/XSN+에/JKB
따른	따르/VV+ㄴ/ETM
기상변화로	기상/NNG+변화/NNG+로/JKB
허리케인	허리케인/NNG
등	등/NNB
자연재해가	자연재해/NNG+가/JKS
늘어난	늘어나/VV+ㄴ/ETM
결과”라고	결과/NNG+”/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.79.7.1
권 박사가 비글호 항로를 따라가며 조사한 지역 생태계 및 지질 상태도 심각하다.

권	권/NNP
박사가	박사/NNG+가/JKS
비글호	비글호/NNP
항로를	항로/NNG+를/JKO
따라가며	따라가/VV+며/EC
조사한	조사/NNG+하/XSV+ㄴ/ETM
지역	지역/NNG
생태계	생태/NNG+계/XSN
및	및/MAG
지질	지질/NNG
상태도	상태/NNG+도/JX
심각하다.	심각하/VA+다/EF+./SF


# id : NWRW1800000021.79.7.2
투명하고 맑은 카리브 해에서 흔히 볼 수 있던 산호들이 죽어 시꺼먼 석회질 덩어리로 변했고, 그 때문에 섬들의 해안은 심하게 깎여 있다.

투명하고	투명/NNG+하/XSA+고/EC
맑은	맑/VA+은/ETM
카리브	카리브/NNP
해에서	해/NNG+에서/JKB
흔히	흔히/MAG
볼	보/VV+ㄹ/ETM
수	수/NNB
있던	있/VA+던/ETM
산호들이	산호/NNG+들/XSN+이/JKS
죽어	죽/VV+어/EC
시꺼먼	시꺼멓/VA+ㄴ/ETM
석회질	석회질/NNG
덩어리로	덩어리/NNG+로/JKB
변했고,	변하/VV+았/EP+고/EC+,/SP
그	그/MMD
때문에	때문/NNB+에/JKB
섬들의	섬/NNG+들/XSN+의/JKG
해안은	해안/NNG+은/JX
심하게	심하/VA+게/EC
깎여	깎이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.79.7.3
이 지역 대표식물인 맹그로브 숲도 상당 부분 파괴돼 앙상한 고목이 됐다.

이	이/MMD
지역	지역/NNG
대표식물인	대표/NNG+식물/NNG+이/VCP+ㄴ/ETM
맹그로브	맹그로브/NNG
숲도	숲/NNG+도/JX
상당	상당/NNG
부분	부분/NNG
파괴돼	파괴/NNG+되/XSV+어/EC
