# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.47
metadata : {}


# id : NWRW1800000030.47.1.1
자생적 테러리스트 수사, FBI가 참여 안한 까닭은

자생적	자생/NNG+적/XSN
테러리스트	테러리스트/NNG
수사,	수사/NNG+,/SP
FBI가	FBI/SL+가/JKS
참여	참여/NNG
안한	안/MAG+하/VV+ㄴ/ETM
까닭은	까닭/NNG+은/JX


# id : NWRW1800000030.47.2.1
•정보원이 테러 부추기는 함정수사는 무리라 여겨

•정보원이	•/SW+정보원/NNG+이/JKS
테러	테러/NNG
부추기는	부추기/VV+는/ETM
함정수사는	함정/NNG+수사/NNG+는/JX
무리라	무리/NNG+이/VCP+라/EC
여겨	여기/VV+어/EF


# id : NWRW1800000030.47.3.1
뉴욕 경찰에 지난 19일 체포된 테러 모의자 호세 피멘텔(27)이 뉴욕경찰의 정보원으로부터 폭탄 제조법과 장소를 제공받았다는 사실이 알려지면서 9·11 테러 이후 확대되고 있는 함정수사가 논란에 휩싸였다.

뉴욕	뉴욕/NNP
경찰에	경찰/NNG+에/JKB
지난	지나/VV+ㄴ/ETM
19일	19/SN+일/NNB
체포된	체포/NNG+되/XSV+ㄴ/ETM
테러	테러/NNG
모의자	모의자/NNG
호세	호세/NNP
피멘텔(27)이	피멘텔/NNP+(/SS+27/SN+)/SS+이/JKS
뉴욕경찰의	뉴욕/NNP+경찰/NNG+의/JKG
정보원으로부터	정보원/NNG+으로부터/JKB
폭탄	폭탄/NNG
제조법과	제조법/NNG+과/JC
장소를	장소/NNG+를/JKO
제공받았다는	제공/NNG+받/XSV+았/EP+다는/ETM
사실이	사실/NNG+이/JKS
알려지면서	알려지/VV+면서/EC
9·11	9/SN+·/SP+11/SN
이후	이후/NNG
확대되고	확대/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
함정수사가	함정/NNG+수사/NNG+가/JKS
논란에	논란/NNG+에/JKB
휩싸였다.	휩싸이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.47.4.1
미 연방수사국(FBI)은 피멘텔의 테러 모의에 지나치게 큰 역할을 한 뉴욕경찰의 정보원에 대한 우려 때문에 수사 불참을 결정했다고 뉴욕타임스(NYT)가 22일 보도했다.

미	미/NNP
연방수사국(FBI)은	연방수사국/NNP+(/SS+FBI/SL+)/SS+은/JX
피멘텔의	피멘텔/NNP+의/JKG
테러	테러/NNG
모의에	모의/NNG+에/JKB
지나치게	지나치/VA+게/EC
큰	크/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
한	하/VV+ㄴ/ETM
뉴욕경찰의	뉴욕/NNP+경찰/NNG+의/JKG
정보원에	정보원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려	우려/NNG
때문에	때문/NNB+에/JKB
수사	수사/NNG
불참을	불참/NNG+을/JKO
결정했다고	결정/NNG+하/XSV+았/EP+다고/EC
뉴욕타임스(NYT)가	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+가/JKS
22일	22/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.47.4.2
FBI는 통상적으로 테러범 검거를 위해 지역 경찰과 함께 일하지만 피멘텔의 수사나 체포에는 전혀 관여하지 않았다.

FBI는	FBI/SL+는/JX
통상적으로	통상/NNG+적/XSN+으로/JKB
테러범	테러범/NNG
검거를	검거/NNG+를/JKO
위해	위하/VV+아/EC
지역	지역/NNG
경찰과	경찰/NNG+과/JKB
함께	함께/MAG
일하지만	일/NNG+하/XSV+지만/EC
피멘텔의	피멘텔/NNP+의/JKG
수사나	수사/NNG+나/JC
체포에는	체포/NNG+에/JKB+는/JX
전혀	전혀/MAG
관여하지	관여/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.47.5.1
뉴욕 경찰은 20일 미국인이자 무직자인 피멘텔의 체포를 발표하며 그를 '알카에다에 경도된 단독범'이라고 설명했다.

뉴욕	뉴욕/NNP
경찰은	경찰/NNG+은/JX
20일	20/SN+일/NNB
미국인이자	미국인/NNG+이/VCP+자/EC
무직자인	무직자/NNG+이/VCP+ㄴ/ETM
피멘텔의	피멘텔/NNP+의/JKG
체포를	체포/NNG+를/JKO
발표하며	발표/NNG+하/XSV+며/EC
그를	그/NP+를/JKO
'알카에다에	'/SS+알카에다/NNP+에/JKB
경도된	경도/NNG+되/XSV+ㄴ/ETM
단독범'이라고	단독범/NNG+'/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.47.5.2
휴대전화 요금을 낼 돈이 없었던 피멘텔은 테러에 사용할 폭탄 재료를 사려고 주변 사람들에게 돈을 얻으러 다녔다.

휴대전화	휴대/NNG+전화/NNG
요금을	요금/NNG+을/JKO
낼	내/VV+ㄹ/ETM
돈이	돈/NNG+이/JKS
없었던	없/VA+었/EP+던/ETM
피멘텔은	피멘텔/NNP+은/JX
테러에	테러/NNG+에/JKB
사용할	사용/NNG+하/XSV+ㄹ/ETM
폭탄	폭탄/NNG
재료를	재료/NNG+를/JKO
사려고	사/VV+려고/EC
주변	주변/NNG
사람들에게	사람/NNG+들/XSN+에게/JKB
돈을	돈/NNG+을/JKO
얻으러	얻/VV+으러/EC
다녔다.	다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.47.5.3
스스로 할례를 시도할 정도로 정신적으로 불안정했던 피멘텔은 폭탄을 제대로 조립하기 위해 뉴욕 경찰이 심어 놓은 비밀 정보원의 도움을 받았다.

스스로	스스로/MAG
할례를	할례/NNG+를/JKO
시도할	시도/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
정신적으로	정신/NNG+적/XSN+으로/JKB
불안정했던	불/XPN+안정/NNG+하/XSA+았/EP+던/ETM
피멘텔은	피멘텔/NNP+은/JX
폭탄을	폭탄/NNG+을/JKO
제대로	제대로/MAG
조립하기	조립/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
뉴욕	뉴욕/NNP
경찰이	경찰/NNG+이/JKS
심어	심/VV+어/EC
놓은	놓/VX+은/ETM
비밀	비밀/NNG
정보원의	정보원/NNG+의/JKG
도움을	도움/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.47.5.4
정보원은 몰래 카메라가 설치된 자신의 집을 폭탄 제조 장소로 제공했다.

정보원은	정보원/NNG+은/JX
몰래	몰래/MAG
카메라가	카메라/NNG+가/JKS
설치된	설치/NNG+되/XSV+ㄴ/ETM
자신의	자신/NNG+의/JKG
집을	집/NNG+을/JKO
폭탄	폭탄/NNG
제조	제조/NNG
장소로	장소/NNG+로/JKB
