# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.73
metadata : {}


# id : NWRW1800000026.73.1.1
[부산·경남] "신비의 약수, 고로쇠 드시고 건강 챙기러 오세요";덕유산, 지리산, 배내골… 축제 잇따라

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
"신비의	"/SS+신비/NNG+의/JKG
약수,	약수/NNG+,/SP
고로쇠	고로쇠/NNG
드시고	들/VV+시/EP+고/EC
건강	건강/NNG
챙기러	챙기/VV+러/EC
오세요";덕유산,	오/VV+시/EP+어요/EF+"/SS+;/SP+덕유산/NNP+,/SP
지리산,	지리산/NNP+,/SP
배내골…	배내골/NNP+…/SE
축제	축제/NNG
잇따라	잇따르/VV+아/EC


# id : NWRW1800000026.73.2.1
봄기운이 완연한 요즘 지리산 자락 경남 하동군과 산청군 등지에서 고로쇠 수액(樹液) 채취가 본격화하면서 고로쇠 축제가 잇따라 열린다.

봄기운이	봄기운/NNG+이/JKS
완연한	완연하/VA+ㄴ/ETM
요즘	요즘/NNG
지리산	지리산/NNP
자락	자락/NNG
경남	경남/NNP
하동군과	하동군/NNP+과/JC
산청군	산청군/NNP
등지에서	등지/NNB+에서/JKB
고로쇠	고로쇠/NNG
수액(樹液)	수액/NNG+(/SS+樹液/SH+)/SS
채취가	채취/NNG+가/JKS
본격화하면서	본격/NNG+화/XSN+하/XSV+면서/EC
축제가	축제/NNG+가/JKS
잇따라	잇따르/VV+아/EC
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.73.3.1
고로쇠축제는 수액 채취가 한창인 이들 청정지역에서 가족들과 함께 신비의 약수(藥水)인 고로쇠 수액을 나눠 마시면서 건강을 챙기고, 다양한 민속놀이 등도 함께 즐길 수 있다는 것이 최대 매력이다.

고로쇠축제는	고로쇠/NNG+축제/NNG+는/JX
수액	수액/NNG
채취가	채취/NNG+가/JKS
한창인	한창/NNG+이/VCP+ㄴ/ETM
이들	이/NP+들/XSN
청정지역에서	청정/NNG+지역/NNG+에서/JKB
가족들과	가족/NNG+들/XSN+과/JKB
함께	함께/MAG
신비의	신비/NNG+의/JKG
약수(藥水)인	약수/NNG+(/SS+藥水/SH+)/SS+이/VCP+ㄴ/ETM
고로쇠	고로쇠/NNG
수액을	수액/NNG+을/JKO
나눠	나누/VV+어/EC
마시면서	마시/VV+면서/EC
건강을	건강/NNG+을/JKO
챙기고,	챙기/VV+고/EC+,/SP
다양한	다양/NNG+하/XSA+ㄴ/ETM
민속놀이	민속놀이/NNG
등도	등/NNB+도/JX
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이	것/NNB+이/JKS
최대	최대/NNG
매력이다.	매력/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.73.4.1
덕유산 자락인 경남 거창군 북상면 북상초등학교에서는 오는 6~7일 하늘마을 고로쇠축제가 열린다.

덕유산	덕유산/NNP
자락인	자락/NNG+이/VCP+ㄴ/ETM
경남	경남/NNP
거창군	거창군/NNP
북상면	북상면/NNP
북상초등학교에서는	북상초등학교/NNP+에서/JKB+는/JX
오는	오/VV+는/ETM
6~7일	6/SN+~/SO+7/SN+일/NNB
하늘마을	하늘/NNG+마을/NNG
고로쇠축제가	고로쇠/NNG+축제/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.73.5.1
축제는 6일 오후 5시 30분 산신제로 막이 올라 국악공연, 달집태우기, 불꽃놀이 등이 펼쳐진다.

축제는	축제/NNG+는/JX
6일	6/SN+일/NNB
오후	오후/NNG
5시	5/SN+시/NNB
30분	30/SN+분/NNB
산신제로	산신제/NNG+로/JKB
막이	막/NNG+이/JKS
올라	오르/VV+아/EC
국악공연,	국악/NNG+공연/NNG+,/SP
달집태우기,	달집태우기/NNG+,/SP
불꽃놀이	불꽃놀이/NNG
등이	등/NNB+이/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.73.5.2
7일 참가자를 대상으로 한 고로쇠 수액 시음과 각종 게임 등이 열리고, 고로쇠 푸딩 만들기, 고로쇠 주먹밥 만들기, 맨손으로 가물치 잡기 등 다양한 체험 행사가 마련됐다.

7일	7/SN+일/NNB
참가자를	참가자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
고로쇠	고로쇠/NNG
수액	수액/NNG
시음과	시음/NNG+과/JC
각종	각종/NNG
