# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.166
metadata : {}


# id : NWRW1800000025.166.1.1
경남 뺀 영남 시도지사 “4대강 중단 없다”

경남	경남/NNP
뺀	빼/VV+ㄴ/ETM
영남	영남/NNP
시도지사	시도지사/NNG
“4대강	“/SS+4/SN+대/NNG+강/NNG
중단	중단/NNG
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000025.166.2.1
6·2지방선거에서 승리한 충북·충남·대전·경남의 민주당과 친노그룹 출신 시도지사들이 4대강 사업 중단을 요구하고 있는 가운데 경남을 제외한 영남권 시도지사가 이에 반대하고 나서 광역자치단체 간에 대립 양상을 보이고 있다.

6·2지방선거에서	6/SN+·/SP+2/SN+지방/NNG+선거/NNG+에서/JKB
승리한	승리/NNG+하/XSV+ㄴ/ETM
충북·충남·대전·경남의	충북/NNP+·/SP+충남/NNP+·/SP+대전/NNP+·/SP+경남/NNP+의/JKG
민주당과	민주당/NNP+과/JC
친노그룹	친/XPN+노/NNP+그룹/NNG
출신	출신/NNG
시도지사들이	시도지사/NNG+들/XSN+이/JKS
4대강	4/SN+대/NNG+강/NNG
사업	사업/NNG
중단을	중단/NNG+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
경남을	경남/NNP+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
영남권	영남/NNP+권/XSN
시도지사가	시도지사/NNG+가/JKS
이에	이/NP+에/JKB
반대하고	반대/NNG+하/XSV+고/EC
나서	나/VX+아서/EC
광역자치단체	광역/NNG+자치/NNG+단체/NNG
간에	간/NNB+에/JKB
대립	대립/NNG
양상을	양상/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.166.3.1
김범일 대구시장과 김관용 경북지사가 ‘4대강 살리기 사업’의 중단 없는 추진을 강력히 촉구하고, 낙동강 살리기 사업을 논의하기 위해 낙동강 주변 자치단체와 민간 전문가 등이 참여하는 ‘낙동강 연안 정책 협의체’(가칭) 설치를 제안했다.

김범일	김범일/NNP
대구시장과	대구시장/NNG+과/JC
김관용	김관용/NNP
경북지사가	경북/NNP+지사/NNG+가/JKS
‘4대강	‘/SS+4/SN+대/NNG+강/NNG
살리기	살리/VV+기/ETN
사업’의	사업/NNG+’/SS+의/JKG
중단	중단/NNG
없는	없/VA+는/ETM
추진을	추진/NNG+을/JKO
강력히	강력히/MAG
촉구하고,	촉구/NNG+하/XSV+고/EC+,/SP
낙동강	낙동강/NNP
사업을	사업/NNG+을/JKO
논의하기	논의/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
주변	주변/NNG
자치단체와	자치/NNG+단체/NNG+와/JC
민간	민간/NNG
전문가	전문가/NNG
등이	등/NNB+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
‘낙동강	‘/SS+낙동강/NNP
연안	연안/NNG
정책	정책/NNG
협의체’(가칭)	협의체/NNG+’/SS+(/SS+가칭/NNG+)/SS
설치를	설치/NNG+를/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.166.4.1
재선에 성공한 두 단체장은 9일 오전 대구시청과 경북도청에서 각각 기자회견을 열고 이 같은 내용의 공동성명을 발표했다.

재선에	재선/NNG+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
두	두/MMN
단체장은	단체장/NNG+은/JX
9일	9/SN+일/NNB
오전	오전/NNG
대구시청과	대구시청/NNP+과/JC
경북도청에서	경북도청/NNP+에서/JKB
각각	각각/MAG
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
이	이/NP
같은	같/VA+은/ETM
내용의	내용/NNG+의/JKG
공동성명을	공동/NNG+성명/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.166.4.2
이들은 “대구와 경북은 상습 수해지역으로 주민들의 재산과 생명 보호를 위해 4대강 살리기 사업 추진에 차질이 발생하지 않도록 조기 추진을 강력히 요구한다”고 밝혔다.

이들은	이/NP+들/XSN+은/JX
“대구와	“/SS+대구/NNP+와/JC
경북은	경북/NNP+은/JX
상습	상습/NNG
수해지역으로	수해/NNG+지역/NNG+으로/JKB
주민들의	주민/NNG+들/XSN+의/JKG
재산과	재산/NNG+과/JC
생명	생명/NNG
보호를	보호/NNG+를/JKO
위해	위하/VV+아/EC
4대강	4/SN+대/NNG+강/NNG
살리기	살리/VV+기/ETN
사업	사업/NNG
추진에	추진/NNG+에/JKB
차질이	차질/NNG+이/JKS
발생하지	발생/NNG+하/XSV+지/EC
않도록	않/VX+도록/EC
조기	조기/NNG
추진을	추진/NNG+을/JKO
강력히	강력히/MAG
요구한다”고	요구/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.166.4.3
또 “4대강 사업은 해마다 반복되는 홍수피해 예방과 고질적인 물 문제 해결 등을 위한 국민의 생명과 삶의 질 향상에 직결된 사안”이라며 “이번 지방선거에서 당선된 일부 단체장들이 반대 입장을 표명하고 있으나, 대구·경북 주민들의 뜻을 존중해 소모적 정쟁을 중단해 달라”고 당부했다.

또	또/MAG
“4대강	“/SS+4/SN+대/NNG+강/NNG
사업은	사업/NNG+은/JX
해마다	해마다/MAG
반복되는	반복/NNG+되/XSV+는/ETM
홍수피해	홍수/NNG+피해/NNG
예방과	예방/NNG+과/JC
고질적인	고질/NNG+적/XSN+이/VCP+ㄴ/ETM
물	물/NNG
문제	문제/NNG
해결	해결/NNG
등을	등/NNB+을/JKO
