# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.346
metadata : {}


# id : NWRW1800000037.346.1.1
美하원 “한국인 전문직 비자 年 1만5000개로”

美하원	美/SH+하원/NNG
“한국인	“/SS+한국인/NNG
전문직	전문직/NNG
비자	비자/NNG
年	年/SH
1만5000개로”	1/SN+만/NR+5000/SN+개/NNB+로/JKB+”/SS


# id : NWRW1800000037.346.2.1
취업 확대 법안 발의

취업	취업/NNG
확대	확대/NNG
법안	법안/NNG
발의	발의/NNG


# id : NWRW1800000037.346.3.1
미국 하원이 연간 1만5000명의 대졸 이상 전문직 한국인에게 취업비자를 발급하도록 하는 법안을 초당적으로 발의했다.

미국	미국/NNP
하원이	하원/NNG+이/JKS
연간	연간/NNG
1만5000명의	1/SN+만/NR+5000/SN+명/NNB+의/JKG
대졸	대졸/NNG
이상	이상/NNG
전문직	전문직/NNG
한국인에게	한국인/NNG+에게/JKB
취업비자를	취업/NNG+비자/NNG+를/JKO
발급하도록	발급/NNG+하/XSV+도록/EC
하는	하/VX+는/ETM
법안을	법안/NNG+을/JKO
초당적으로	초당/NNG+적/XSN+으로/JKB
발의했다.	발의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.346.3.2
미국 상원이 포괄적 이민법 개혁안에 유사 규정을 삽입한 것에 이은 희소식이다.

미국	미국/NNP
상원이	상원/NNG+이/JKS
포괄적	포괄/NNG+적/XSN
이민법	이민법/NNG
개혁안에	개혁안/NNG+에/JKB
유사	유사/NNG
규정을	규정/NNG+을/JKO
삽입한	삽입/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
이은	잇/VV+은/ETM
희소식이다.	희소식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.346.4.1
25일(현지 시간) 미 하원에 발의된 ‘한국과 동반자 법안(Partner with Korea Act)’은 국무부가 대한민국 국적의 대졸 이상 전문직 종사자에게 연간 1만5000개 한도의 취업비자(E-4)를 발급하도록 했다.

25일(현지	25/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
미	미/NNP
하원에	하원/NNG+에/JKB
발의된	발의/NNG+되/XSV+ㄴ/ETM
‘한국과	‘/SS+한국/NNP+과/JKB
동반자	동반자/NNG
법안(Partner	법안/NNG+(/SS+Partner/SL
with	with/SL
Korea	Korea/SL
Act)’은	Act/SL+)/SS+’/SS+은/JX
국무부가	국무부/NNG+가/JKS
대한민국	대한민국/NNP
국적의	국적/NNG+의/JKG
대졸	대졸/NNG
이상	이상/NNG
전문직	전문직/NNG
종사자에게	종사자/NNG+에게/JKB
연간	연간/NNG
1만5000개	1/SN+만/NR+5000/SN+개/NNB
한도의	한도/NNG+의/JKG
취업비자(E-4)를	취업/NNG+비자/NNG+(/SS+E/SL+-/SO+4/SN+)/SS+를/JKO
발급하도록	발급/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.346.4.2
미국 내 친한파 의원의 모임인 코리아 코커스의 공화당 측 공동의장이며 하원 수석 원내 부총무 겸 세입위원회 소속인 피터 로스캠 의원(일리노이)이 발의하고 하원 외교위원장인 에드 로이스 의원(캘리포니아) 등 공화당 의원 4명, 제임스 모런 의원(버지니아) 등 민주당 의원 3명도 공동발의자로 참여했다.

미국	미국/NNP
내	내/NNB
친한파	친한파/NNG
의원의	의원/NNG+의/JKG
모임인	모임/NNG+이/VCP+ㄴ/ETM
코리아	코리아/NNP
코커스의	코커스/NNG+의/JKG
공화당	공화당/NNP
측	측/NNB
공동의장이며	공동/NNG+의장/NNG+이/VCP+며/EC
하원	하원/NNG
수석	수석/NNG
원내	원내/NNG
부총무	부총무/NNG
겸	겸/NNB
세입위원회	세입/NNG+위원회/NNG
소속인	소속/NNG+이/VCP+ㄴ/ETM
피터	피터/NNP
로스캠	로스캠/NNP
의원(일리노이)이	의원/NNG+(/SS+일리노이/NNP+)/SS+이/JKS
발의하고	발의/NNG+하/XSV+고/EC
외교위원장인	외교/NNG+위원장/NNG+이/VCP+ㄴ/ETM
에드	에드/NNP
로이스	로이스/NNP
의원(캘리포니아)	의원/NNG+(/SS+캘리포니아/NNP+)/SS
등	등/NNB
의원	의원/NNG
4명,	4/SN+명/NNB+,/SP
제임스	제임스/NNP
모런	모런/NNP
의원(버지니아)	의원/NNG+(/SS+버지니아/NNP+)/SS
민주당	민주당/NNP
3명도	3/SN+명/NNB+도/JX
공동발의자로	공동/NNG+발의자/NNG+로/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.346.5.1
이에 앞서 상원의 양당 중진 의원 8명이 마련한 포괄적 이민법 개혁안도 미국과 자유무역협정(FTA)을 체결한 국가에 연간 5000개까지의 E-4 비자를 주기로 규정하면서 한국에는 연간 발급 한도를 특정하지 않은 별도의 E-5 비자 조항을 뒀다.

이에	이/NP+에/JKB
앞서	앞서/MAG
상원의	상원/NNG+의/JKG
양당	양당/NNG
중진	중진/NNG
의원	의원/NNG
8명이	8/SN+명/NNB+이/JKS
마련한	마련/NNG+하/XSV+ㄴ/ETM
포괄적	포괄/NNG+적/XSN
이민법	이민법/NNG
개혁안도	개혁안/NNG+도/JX
미국과	미국/NNP+과/JKB
자유무역협정(FTA)을	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS+을/JKO
체결한	체결/NNG+하/XSV+ㄴ/ETM
국가에	국가/NNG+에/JKB
연간	연간/NNG
5000개까지의	5000/SN+개/NNB+까지/JX+의/JKG
E-4	E/SL+-/SO+4/SN
비자를	비자/NNG+를/JKO
주기로	주/VV+기/ETN+로/JKB
규정하면서	규정/NNG+하/XSV+면서/EC
한국에는	한국/NNP+에/JKB+는/JX
발급	발급/NNG
한도를	한도/NNG+를/JKO
특정하지	특정/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
별도의	별도/NNG+의/JKG
E-5	E/SL+-/SO+5/SN
비자	비자/NNG
조항을	조항/NNG+을/JKO
뒀다.	두/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.346.5.2
하원 외교위원회 아시아·태평양소위 민주당 간사인 에니 팔레오마바에가 의원(미국령 사모아)과 공화당 소속 전 외교위원장인 일리애나 로스레티넌 의원(플로리다)이 발의한 ‘한미 FTA 공정성 법안’도 하원에 계류 중이다.

하원	하원/NNG
외교위원회	외교/NNG+위원회/NNG
아시아·태평양소위	아시아/NNP+·/SP+태평양/NNP+소위/NNG
민주당	민주당/NNP
간사인	간사/NNG+이/VCP+ㄴ/ETM
에니	에니/NNP
팔레오마바에가	팔레오마바에가/NNP
의원(미국령	의원/NNG+(/SS+미국령/NNG
사모아)과	사모아/NNP+)/SS+과/JC
공화당	공화당/NNP
소속	소속/NNG
전	전/MMD
외교위원장인	외교/NNG+위원장/NNG+이/VCP+ㄴ/ETM
일리애나	일리애나/NNP
로스레티넌	로스레티넌/NNP
의원(플로리다)이	의원/NNG+(/SS+플로리다/NNP+)/SS+이/JKS
발의한	발의/NNG+하/XSV+ㄴ/ETM
‘한미	‘/SS+한미/NNP
FTA	FTA/SL
공정성	공정/NNG+성/XSN
법안’도	법안/NNG+’/SS+도/JX
하원에	하원/NNG+에/JKB
계류	계류/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.346.6.1
이처럼 상·하원이 동시에 나선 것은 정부가 대졸 이상 전문직 종사자의 미국 취업을 확대하기 위해 미 의회를 상대로 전방위 총력전을 펼친 결과다.

이처럼	이/NP+처럼/JKB
상·하원이	상·하원/NNG+이/JKS
동시에	동시/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
정부가	정부/NNG+가/JKS
대졸	대졸/NNG
이상	이상/NNG
전문직	전문직/NNG
종사자의	종사자/NNG+의/JKG
미국	미국/NNP
취업을	취업/NNG+을/JKO
확대하기	확대/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
미	미/NNP
의회를	의회/NNG+를/JKO
상대로	상대/NNG+로/JKB
전방위	전방위/NNG
총력전을	총력전/NNG+을/JKO
펼친	펼치/VV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.346.6.2
로스캠 의원이 발의한 하원 E-4 법안은 한국 정부와 사전 협의를 거친 것.

로스캠	로스캠/NNP
의원이	의원/NNG+이/JKS
발의한	발의/NNG+하/XSV+ㄴ/ETM
하원	하원/NNG
E-4	E/SL+-/SO+4/SN
법안은	법안/NNG+은/JX
한국	한국/NNP
정부와	정부/NNG+와/JKB
사전	사전/NNG
협의를	협의/NNG+를/JKO
거친	거치/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000037.346.7.1
워싱턴 외교 소식통은 “상원에 이어 하원도 이민법 개혁안을 5개의 법안 묶음으로 준비하고 있으며 이번에 발의된 법안은 여기에 편입될 가능성이 크다”며 “상원과 하원이 각각의 이민법 개혁안을 마련하면 종국적으로는 공동위원회 협상을 거쳐 하나의 법안으로 통합될 것”이라고 전망했다.

워싱턴	워싱턴/NNP
외교	외교/NNG
소식통은	소식통/NNG+은/JX
“상원에	“/SS+상원/NNG+에/JKB
이어	잇/VV+어/EC
하원도	하원/NNG+도/JX
이민법	이민법/NNG
개혁안을	개혁안/NNG+을/JKO
5개의	5/SN+개/NNB+의/JKG
법안	법안/NNG
묶음으로	묶음/NNG+으로/JKB
준비하고	준비/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
이번에	이번/NNG+에/JKB
발의된	발의/NNG+되/XSV+ㄴ/ETM
법안은	법안/NNG+은/JX
여기에	여기/NP+에/JKB
편입될	편입/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다”며	크/VA+다/EF+”/SS+며/EC
“상원과	“/SS+상원/NNG+과/JC
하원이	하원/NNG+이/JKS
각각의	각각/NNG+의/JKG
마련하면	마련/NNG+하/XSV+면/EC
종국적으로는	종국/NNG+적/XSN+으로/JKB+는/JX
공동위원회	공동/NNG+위원회/NNG
협상을	협상/NNG+을/JKO
거쳐	거치/VV+어/EC
하나의	하나/NR+의/JKG
법안으로	법안/NNG+으로/JKB
통합될	통합/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.346.8.1
정부의 최종 목표는 이민법 개혁안에 ‘한국 전문직 비자 1만5000명 쿼터’를 확보한다는 것.

정부의	정부/NNG+의/JKG
최종	최종/NNG
목표는	목표/NNG+는/JX
이민법	이민법/NNG
개혁안에	개혁안/NNG+에/JKB
‘한국	‘/SS+한국/NNP
전문직	전문직/NNG
비자	비자/NNG
1만5000명	1/SN+만/NR+5000/SN+명/NNB
쿼터’를	쿼터/NNG+’/SS+를/JKO
확보한다는	확보/NNG+하/XSV+ㄴ다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000037.346.8.2
미국이 국내정치적 이유로 이민법 개혁안 마련에 실패하더라도 25일 발의된 별도 법안을 추진할 것으로 기대하고 있다.

미국이	미국/NNP+이/JKS
국내정치적	국내/NNG+정치/NNG+적/XSN
이유로	이유/NNG+로/JKB
이민법	이민법/NNG
개혁안	개혁안/NNG
마련에	마련/NNG+에/JKB
실패하더라도	실패/NNG+하/XSV+더라도/EC
25일	25/SN+일/NNB
발의된	발의/NNG+되/XSV+ㄴ/ETM
별도	별도/NNG
법안을	법안/NNG+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


