# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.382
metadata : {}


# id : NWRW1800000046.382.1.1
韓, 첫 여성 총리에서 첫 '收監(수감) 총리'로

韓,	韓/SH+,/SP
첫	첫/MMN
여성	여성/NNG
총리에서	총리/NNG+에서/JKB
'收監(수감)	'/SS+收監/SH+(/SS+수감/NNG+)/SS
총리'로	총리/NNG+'/SS+로/JKB


# id : NWRW1800000046.382.2.1
역대 총리들의 수난史… 14명은 검찰 조사받고 7명은 재판까지 받아

역대	역대/NNG
총리들의	총리/NNG+들/XSN+의/JKG
수난史…	수난/NNG+史/SH+…/SE
14명은	14/SN+명/NNB+은/JX
검찰	검찰/NNG
조사받고	조사/NNG+받/XSV+고/EC
7명은	7/SN+명/NNB+은/JX
재판까지	재판/NNG+까지/JX
받아	받/VV+아/EF


# id : NWRW1800000046.382.3.1
한명숙(71) 전 총리는 헌정 사상 처음으로 실형(實刑)을 살게 된 총리 출신이라는 불명예를 안게 됐다.

한명숙(71)	한명숙/NNP+(/SS+71/SN+)/SS
전	전/MMD
총리는	총리/NNG+는/JX
헌정	헌정/NNG
사상	사상/NNG
처음으로	처음/NNG+으로/JKB
실형(實刑)을	실형/NNG+(/SS+實刑/SH+)/SS+을/JKO
살게	살/VV+게/EC
된	되/VV+ㄴ/ETM
총리	총리/NNG
출신이라는	출신/NNG+이/VCP+라는/ETM
불명예를	불/XPN+명예/NNG+를/JKO
안게	안/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.382.3.2
그동안 검찰 조사를 받거나 법정에 선 전직 총리는 여럿 있었지만, 수감 생활을 하는 사람은 한 전 총리가 처음이다.

그동안	그동안/NNG
검찰	검찰/NNG
조사를	조사/NNG+를/JKO
받거나	받/VV+거나/EC
법정에	법정/NNG+에/JKB
선	서/VV+ㄴ/ETM
전직	전직/NNG
총리는	총리/NNG+는/JX
여럿	여럿/NNG
있었지만,	있/VA+었/EP+지만/EC+,/SP
수감	수감/NNG
생활을	생활/NNG+을/JKO
하는	하/VV+는/ETM
사람은	사람/NNG+은/JX
한	한/NNP
전	전/MMD
총리가	총리/NNG+가/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.382.4.1
1944년 평양에서 태어나 월남한 한 전 총리는 1974년 한국크리스천아카데미 간사로 여성 운동에 뛰어들었다.

1944년	1944/SN+년/NNB
평양에서	평양/NNP+에서/JKB
태어나	태어나/VV+아/EC
월남한	월남/NNG+하/XSV+ㄴ/ETM
한	한/NNP
전	전/MMD
총리는	총리/NNG+는/JX
1974년	1974/SN+년/NNB
한국크리스천아카데미	한국크리스천아카데미/NNP
간사로	간사/NNG+로/JKB
여성	여성/NNG
운동에	운동/NNG+에/JKB
뛰어들었다.	뛰어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.382.4.2
1979년 동료 간사들과 함께 구속돼 2년 6개월 동안 수감 생활을 하다 특별사면으로 석방되기도 했다.

1979년	1979/SN+년/NNB
동료	동료/NNG
간사들과	간사/NNG+들/XSN+과/JKB
함께	함께/MAG
구속돼	구속/NNG+되/XSV+어/EC
2년	2/SN+년/NNB
6개월	6/SN+개월/NNB
동안	동안/NNG
수감	수감/NNG
생활을	생활/NNG+을/JKO
하다	하/VV+다/EC
특별사면으로	특별/NNG+사면/NNG+으로/JKB
석방되기도	석방/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.382.4.3
이후 한국여성민우회 회장, 한국여성단체연합 공동대표, 참여연대 공동대표 등을 지내면서 '한국 여성 운동의 대모'라는 수식어가 붙었다.

이후	이후/NNG
한국여성민우회	한국여성민우회/NNP
회장,	회장/NNG+,/SP
한국여성단체연합	한국여성단체연합/NNP
공동대표,	공동/NNG+대표/NNG+,/SP
참여연대	참여연대/NNP
공동대표	공동/NNG+대표/NNG
등을	등/NNB+을/JKO
지내면서	지내/VV+면서/EC
'한국	'/SS+한국/NNP
여성	여성/NNG
운동의	운동/NNG+의/JKG
대모'라는	대모/NNG+'/SS+이/VCP+라는/ETM
수식어가	수식어/NNG+가/JKS
붙었다.	붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.382.4.4
1999년에는 김대중 전 대통령의 권유로 정계에 입문해 2000년 새천년민주당 비례대표로 16대 국회의원에 당선됐다.

1999년에는	1999/SN+년/NNB+에/JKB+는/JX
김대중	김대중/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
권유로	권유/NNG+로/JKB
정계에	정계/NNG+에/JKB
입문해	입문/NNG+하/XSV+아/EC
2000년	2000/SN+년/NNB
새천년민주당	새천년민주당/NNP
비례대표로	비례/NNG+대표/NNG+로/JKB
