# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.95
metadata : {}


# id : NWRW1800000032.95.1.1
중, 3월 외국인 티베트 관광 금지

중,	중/NNP+,/SP
3월	3/SN+월/NNB
외국인	외국인/NNG
티베트	티베트/NNP
관광	관광/NNG
금지	금지/NNG


# id : NWRW1800000032.95.2.1
반중국 봉기 3돌 앞두고 ‘민감’

반중국	반/XPN+중국/NNP
봉기	봉기/NNG
3돌	3/SN+돌/NNB
앞두고	앞두/VV+고/EC
‘민감’	‘/SS+민감/NNG+’/SS


# id : NWRW1800000032.95.3.1
티베트인들의 반중국 봉기 3주년이 다가오면서 중국 당국이 3월 한 달 동안 외국인들의 티베트 여행을 중단시켰다.

티베트인들의	티베트인/NNG+들/XSN+의/JKG
반중국	반/XPN+중국/NNP
봉기	봉기/NNG
3주년이	3/SN+주년/NNB+이/JKS
다가오면서	다가오/VV+면서/EC
중국	중국/NNP
당국이	당국/NNG+이/JKS
3월	3/SN+월/NNB
한	한/MMN
달	달/NNB
동안	동안/NNG
외국인들의	외국인/NNG+들/XSN+의/JKG
티베트	티베트/NNP
여행을	여행/NNG+을/JKO
중단시켰다.	중단/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.95.4.1
장칭리 시짱(티베트)자치구 공산당 서기는 7일 전국인민대표대회(전인대) 기자회견에서 “3월이지만 티베트 고원은 여전히 두꺼운 얼음으로 뒤덮여 있고 많은 종교행사가 열리고 있어, 외국 관광객들이 잘못되는 일이 발생하는 것을 원하지 않는다”며 외국인 여행 금지 조처를 확인했다.

장칭리	장칭리/NNP
시짱(티베트)자치구	시짱/NNP+(/SS+티베트/NNP+)/SS+자치구/NNG
공산당	공산당/NNP
서기는	서기/NNG+는/JX
7일	7/SN+일/NNB
전국인민대표대회(전인대)	전국인민대표대회/NNP+(/SS+전인대/NNP+)/SS
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“3월이지만	“/SS+3/SN+월/NNB+이/VCP+지만/EC
티베트	티베트/NNP
고원은	고원/NNG+은/JX
여전히	여전히/MAG
두꺼운	두껍/VA+ㄴ/ETM
얼음으로	얼음/NNG+으로/JKB
뒤덮여	뒤덮이/VV+어/EC
있고	있/VX+고/EC
많은	많/VA+은/ETM
종교행사가	종교/NNG+행사/NNG+가/JKS
열리고	열리/VV+고/EC
있어,	있/VX+어/EC+,/SP
외국	외국/NNG
관광객들이	관광객/NNG+들/XSN+이/JKS
잘못되는	잘못/MAG+되/XSV+는/ETM
일이	일/NNG+이/JKS
발생하는	발생/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
원하지	원/NNG+하/XSV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
외국인	외국인/NNG
여행	여행/NNG
금지	금지/NNG
조처를	조처/NNG+를/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.95.5.1
중국은 티베트를 여행하려는 모든 외국인은 반드시 여행허가증을 받도록 규정하고 있으며, 5일 이후 외국인에게 허가증을 발급하지 말라는 명령이 내려졌다고 여행사 관계자들은 전했다.

중국은	중국/NNP+은/JX
티베트를	티베트/NNP+를/JKO
여행하려는	여행/NNG+하/XSV+려는/ETM
모든	모든/MMN
외국인은	외국인/NNG+은/JX
반드시	반드시/MAG
여행허가증을	여행/NNG+허가증/NNG+을/JKO
받도록	받/VV+도록/EC
규정하고	규정/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
5일	5/SN+일/NNB
이후	이후/NNG
외국인에게	외국인/NNG+에게/JKB
허가증을	허가증/NNG+을/JKO
발급하지	발급/NNG+하/XSV+지/EC
말라는	말/VX+라는/ETM
명령이	명령/NNG+이/JKS
내려졌다고	내려지/VV+었/EP+다고/EC
여행사	여행사/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.95.5.2
중국 정부는 안전 문제를 이유로 내세웠지만, 2008년 3월14일 일어난 티베트인들의 반중국 봉기 3주년이 되는 민감한 시기에 외국인, 특히 외국 기자들이 티베트에 들어가는 것을 막으려는 조처로 해석된다.

중국	중국/NNP
정부는	정부/NNG+는/JX
안전	안전/NNG
문제를	문제/NNG+를/JKO
이유로	이유/NNG+로/JKB
내세웠지만,	내세우/VV+었/EP+지만/EC+,/SP
2008년	2008/SN+년/NNB
3월14일	3/SN+월/NNB+14/SN+일/NNB
일어난	일어나/VV+ㄴ/ETM
티베트인들의	티베트인/NNG+들/XSN+의/JKG
반중국	반/XPN+중국/NNP
봉기	봉기/NNG
3주년이	3/SN+주년/NNB+이/JKC
되는	되/VV+는/ETM
민감한	민감/NNG+하/XSA+ㄴ/ETM
시기에	시기/NNG+에/JKB
외국인,	외국인/NNG+,/SP
특히	특히/MAG
외국	외국/NNG
기자들이	기자/NNG+들/XSN+이/JKS
티베트에	티베트/NNP+에/JKB
들어가는	들어가/VV+는/ETM
것을	것/NNB+을/JKO
막으려는	막/VV+으려는/ETM
조처로	조처/NNG+로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.95.5.3
당시 베이징올림픽을 앞두고 티베트인들이 한족들이 운영하는 가게 등을 공격해 22명이 숨졌다.

당시	당시/NNG
베이징올림픽을	베이징/NNP+올림픽/NNG+을/JKO
앞두고	앞두/VV+고/EC
티베트인들이	티베트인/NNG+들/XSN+이/JKS
한족들이	한족/NNP+들/XSN+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
가게	가게/NNG
등을	등/NNB+을/JKO
공격해	공격/NNG+하/XSV+아/EC
22명이	22/SN+명/NNB+이/JKS
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.95.6.1
이날 기자회견에서 시짱자치구의 창바푼촉 전인대 상무위원회 주임은 “달라이 라마가 세상을 떠나도 시짱에 영향을 주지 못할 것”이라며 “그의 사망에 대비해 논의해왔으며 우리는 티베트에서 장기적으로 안정을 유지할 수 있다”고 밝혔다.

이날	이날/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
시짱자치구의	시짱자치구/NNP+의/JKG
창바푼촉	창바푼촉/NNP
전인대	전인대/NNP
상무위원회	상무/NNG+위원회/NNG
주임은	주임/NNG+은/JX
“달라이	“/SS+달라이/NNP
라마가	라마/NNP+가/JKS
세상을	세상/NNG+을/JKO
떠나도	떠나/VV+아도/EC
시짱에	시짱/NNP+에/JKB
영향을	영향/NNG+을/JKO
주지	주/VV+지/EC
못할	못하/VX+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“그의	“/SS+그/NP+의/JKG
사망에	사망/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
논의해왔으며	논의/NNG+하/XSV+아/EC+오/VX+았/EP+으며/EC
우리는	우리/NP+는/JX
티베트에서	티베트/NNP+에서/JKB
장기적으로	장기/NNG+적/XSN+으로/JKB
안정을	안정/NNG+을/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.95.6.2
인도에 망명중인 티베트의 최고 종교지도자 달라이 라마가 76살을 맞으면서 그의 사후 후계자 문제도 민감한 이슈다.

인도에	인도/NNP+에/JKB
망명중인	망명/NNG+중/NNB+이/VCP+ㄴ/ETM
티베트의	티베트/NNP+의/JKG
최고	최고/NNG
종교지도자	종교/NNG+지도자/NNG
달라이	달라이/NNP
라마가	라마/NNP+가/JKS
76살을	76/SN+살/NNB+을/JKO
맞으면서	맞/VV+으면서/EC
그의	그/NP+의/JKG
사후	사후/NNG
후계자	후계자/NNG
문제도	문제/NNG+도/JX
민감한	민감/NNG+하/XSA+ㄴ/ETM
이슈다.	이슈/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.95.7.1
파드마 촐링 시짱자치구 주석은 이날 “달라이 라마가 환생 제도를 폐지할 권리가 없다”며 “티베트 불교의 역사, 종교의식을 존중해야 한다”고 말했다.

파드마	파드마/NNP
촐링	촐링/NNP
시짱자치구	시짱자치구/NNP
주석은	주석/NNG+은/JX
이날	이날/NNG
“달라이	“/SS+달라이/NNP
라마가	라마/NNP+가/JKS
환생	환생/NNG
제도를	제도/NNG+를/JKO
폐지할	폐지/NNG+하/XSV+ㄹ/ETM
권리가	권리/NNG+가/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“티베트	“/SS+티베트/NNP
불교의	불교/NNG+의/JKG
역사,	역사/NNG+,/SP
종교의식을	종교/NNG+의식/NNG+을/JKO
존중해야	존중/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.95.7.2
