# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.12
metadata : {}


# id : NWRW1800000033.12.1.1
가로수길에 외국인들 왜 많나 했더니…

가로수길에	가로수길/NNP+에/JKB
외국인들	외국인/NNG+들/XSN
왜	왜/MAG
많나	많/VA+나/EC
했더니…	하/VV+았/EP+더니/EC+…/SE


# id : NWRW1800000033.12.2.1
《 서울에 거주하는 ‘외국인 집성촌’ 지도가 바뀌고 있다.

《	《/SS
서울에	서울/NNP+에/JKB
거주하는	거주/NNG+하/XSV+는/ETM
‘외국인	‘/SS+외국인/NNG
집성촌’	집성촌/NNG+’/SS
지도가	지도/NNG+가/JKS
바뀌고	바뀌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.12.2.2
과거에는 성북구와 용산구, 서대문구 등지가 인기 지역이었다면 최근 들어선 종로구와 마포구, 서초구, 강남구 등이 외국인이 선호하는 주거지역으로 급부상하고 있다.

과거에는	과거/NNG+에/JKB+는/JX
성북구와	성북구/NNP+와/JC
용산구,	용산구/NNP+,/SP
서대문구	서대문구/NNP
등지가	등지/NNB+가/JKS
인기	인기/NNG
지역이었다면	지역/NNG+이/VCP+었/EP+다면/EC
최근	최근/MAG
들어선	들어서/VV+ㄴ/ETM
종로구와	종로구/NNP+와/JC
마포구,	마포구/NNP+,/SP
서초구,	서초구/NNP+,/SP
강남구	강남구/NNP
등이	등/NNB+이/JKS
외국인이	외국인/NNG+이/JKS
선호하는	선호/NNG+하/XSV+는/ETM
주거지역으로	주거/NNG+지역/NNG+으로/JKB
급부상하고	급부상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.12.2.3
글로벌 경기침체로 저렴한 주택을 찾는 외국인이 늘어난 데다 외국인학교가 서울 곳곳에 생기며 주거 선택권이 다양해진 게 첫 번째 요인으로 꼽힌다.》

글로벌	글로벌/NNG
경기침체로	경기/NNG+침체/NNG+로/JKB
저렴한	저렴하/VA+ㄴ/ETM
주택을	주택/NNG+을/JKO
찾는	찾/VV+는/ETM
외국인이	외국인/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
데다	데/NNB+다/JX
외국인학교가	외국인/NNG+학교/NNG+가/JKS
서울	서울/NNP
곳곳에	곳곳/NNG+에/JKB
생기며	생기/VV+며/EC
주거	주거/NNG
선택권이	선택/NNG+권/XSN+이/JKS
다양해진	다양/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
게	거/NNB+이/JKS
첫	첫/MMN
번째	번/NNB+째/XSN
요인으로	요인/NNG+으로/JKB
꼽힌다.》	꼽히/VV+ㄴ다/EF+./SF+》/SS


# id : NWRW1800000033.12.3.1
패션 음식 문화 등 한국적인 분위기를 느낄 수 있는 지역을 거주지로 찾는 외국인이 늘어난 것도 외국인 집성촌의 경계가 허물어지는 데 한몫했다는 분석이 나온다.

패션	패션/NNG
음식	음식/NNG
문화	문화/NNG
등	등/NNB
한국적인	한국/NNP+적/XSN+이/VCP+ㄴ/ETM
분위기를	분위기/NNG+를/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
