# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.371
metadata : {}


# id : NWRW1800000038.371.1.1
"지방 財政실태 모두 공개해야"

"지방	"/SS+지방/NNG
財政실태	財政/SH+실태/NNG
모두	모두/MAG
공개해야"	공개/NNG+하/XSV+아야/EC+"/SS


# id : NWRW1800000038.371.2.1
朴대통령 밝혀… 靑 "도덕적 해이땐 국가 지원도 무의미"

朴대통령	朴/SH+대통령/NNG
밝혀…	밝히/VV+어/EF+…/SE
靑	靑/SH
"도덕적	"/SS+도덕/NNG+적/XSN
해이땐	해이/NNG+때/NNG+ㄴ/JX
국가	국가/NNG
지원도	지원/NNG+도/JX
무의미"	무/XPN+의미/NNG+"/SS


# id : NWRW1800000038.371.3.1
박근혜 대통령은 20일 지방 재정 문제와 관련, "(정보) 공개가 필요하다"며 "(지방정부가) '축제에 이렇게 돈을 썼고 교육에 이렇게 돈을 썼다'는 것을 지방 주민들이 볼 수 있도록 하고, (주민의) 의견을 들어야 한다"고 말했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
20일	20/SN+일/NNB
지방	지방/NNG
재정	재정/NNG
문제와	문제/NNG+와/JKB
관련,	관련/NNG+,/SP
"(정보)	"/SS+(/SS+정보/NNG+)/SS
공개가	공개/NNG+가/JKS
필요하다"며	필요/NNG+하/XSA+다/EF+"/SS+며/EC
"(지방정부가)	"/SS+(/SS+지방/NNG+정부/NNG+가/JKS+)/SS
'축제에	'/SS+축제/NNG+에/JKB
이렇게	이렇/VA+게/EC
돈을	돈/NNG+을/JKO
썼고	쓰/VV+었/EP+고/EC
교육에	교육/NNG+에/JKB
썼다'는	쓰/VV+었/EP+다/EF+'/SS+는/ETM
것을	것/NNB+을/JKO
주민들이	주민/NNG+들/XSN+이/JKS
볼	보/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하고,	하/VX+고/EC+,/SP
(주민의)	(/SS+주민/NNG+의/JKG+)/SS
의견을	의견/NNG+을/JKO
들어야	듣/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.371.3.2
